Nome entrada,Status,Nome,Sinonimos
Dicliptera ciliaris Juss.,NOME_ACEITO,Dicliptera ciliaris Juss.,[]
Echinodorus aschersonianus Graebn.,NOME_ACEITO,Echinodorus aschersonianus Graebn.,['Echinodorus aschersonianus var. nulliglandulosus Rataj']
Echinodorus floribundus (Seub.) Seub.,NOME_ACEITO,Echinodorus floribundus (Seub.) Seub.,"['Echinodorus grandiflorus subsp. aureus (Fassett) R.R.Haynes & Holm-Niels.', 'Echinodorus macrophyllus var. muricatus (Griseb.) Micheli', 'Echinodorus grandiflorus var. clausenii (Seub.) Hoehne', 'Echinodorus grandiflorus var. floribundus (Seub.) Micheli', 'Echinodorus grandiflorus var. claussenii (Seub.) Rataj', 'Alisma floribundum Seub.', 'Echinodorus punctatus Micheli', 'Echinodorus muricatus Griseb.', 'Echinodorus grandiflorus var. aureus Fassett']"
Echinodorus glandulosus Rataj,NOME_ACEITO,Echinodorus glandulosus Rataj,[]
Nelsonia brunelloides (Lam.) Kuntz,SINONIMO,Nelsonia brunelloides (Lam.) Kuntze,[]
Hygrophila guianensis Nees,NOME_ACEITO,Hygrophila guianensis Nees ex Benth.,[]
Hygrophila costata Nees,NOME_ACEITO,Hygrophila costata Nees,['Hygrophila brasilensis (Spreng.) Lindau']
Justicia comata (L.) Lam.,NOME_ACEITO,Justicia comata (L.) Lam.,"['Thalestris graminiformis Rizzini', 'Justicia acuminata (Nees) Lindau']"
Ruellia bahiensis (Nees) Morong,NOME_ACEITO,Ruellia bahiensis (Nees) Morong,['Dipteracanthus bahiensis Nees']
Justicia laevilinguis (Nees) Lindau,NOME_ACEITO,Justicia laevilinguis (Nees) Lindau,"['Justicia paludosa (S.Moore) V.A.W.Graham', 'Justicia anagallis (Nees) Lindau', 'Rhytiglossa repens Nees', 'Rhytiglossa obtusifolia Nees', 'Dianthera paludosa S.Moore', 'Justicia obtusifolia (Nees) Lindau', 'Justicia repens Nees', 'Rhytiglossa laevelinguis Blanch. ex Nees', 'Rhytiglossa anagalis Nees']"
Justicia aequilabris (Nees) Lindau,NOME_ACEITO,Justicia aequilabris (Nees) Lindau,"['Justicia strobilacea (Nees) Lindau', 'Justicia glabribracteata (Lindau) V.A.W.Graham', 'Orthotactus aequilabris Nees', 'Orthotactus strobilaceus Nees']"
