key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1264694563,Brazil,-2.924694,-41.327389,4,2015,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Liliopsida,Alismatales,Cymodoceaceae,Halodule,Halodule wrightii
1265915180,Brazil,-16.403056,-38.982222,4,2015,PRESERVED_SPECIMEN,FLOR - Herbário do Departamento de Botânica da Universidade Federal de Santa Catarina,Plantae,Tracheophyta,Liliopsida,Alismatales,Cymodoceaceae,Halodule,Halodule wrightii
1090917247,Brazil,-13.917472,-38.936278,4,2015,PRESERVED_SPECIMEN,HVASF - Herbário Vale do São Francisco,Plantae,Tracheophyta,Liliopsida,Alismatales,Cymodoceaceae,Halodule,Halodule wrightii
1657213331,Brazil,-11.43381,-37.40483,7,2014,PRESERVED_SPECIMEN,ASE - Herbário da Universidade Federal de Sergipe,Plantae,Tracheophyta,Liliopsida,Alismatales,Cymodoceaceae,Halodule,Halodule wrightii
1657212273,Brazil,-11.43396,-37.40534,7,2014,PRESERVED_SPECIMEN,ASE - Herbário da Universidade Federal de Sergipe,Plantae,Tracheophyta,Liliopsida,Alismatales,Cymodoceaceae,Halodule,Halodule wrightii
1657213301,Brazil,-11.466481,-37.37946,8,2014,PRESERVED_SPECIMEN,ASE - Herbário da Universidade Federal de Sergipe,Plantae,Tracheophyta,Liliopsida,Alismatales,Cymodoceaceae,Halodule,Halodule wrightii
1880807136,Brazil,-22.8815,-42.005111,9,2014,PRESERVED_SPECIMEN,R - Herbário do Museu Nacional,Plantae,Tracheophyta,Liliopsida,Alismatales,Cymodoceaceae,Halodule,Halodule wrightii
1880807487,Brazil,,,9,2014,PRESERVED_SPECIMEN,R - Herbário do Museu Nacional,Plantae,Tracheophyta,Liliopsida,Alismatales,Cymodoceaceae,Halodule,Halodule wrightii
1880807512,Brazil,,,9,2014,PRESERVED_SPECIMEN,R - Herbário do Museu Nacional,Plantae,Tracheophyta,Liliopsida,Alismatales,Cymodoceaceae,Halodule,Halodule wrightii
1880807158,Brazil,-22.882306,-42.004444,9,2014,PRESERVED_SPECIMEN,R - Herbário do Museu Nacional,Plantae,Tracheophyta,Liliopsida,Alismatales,Cymodoceaceae,Halodule,Halodule wrightii
1880807351,Brazil,,,10,2014,PRESERVED_SPECIMEN,R - Herbário do Museu Nacional,Plantae,Tracheophyta,Liliopsida,Alismatales,Cymodoceaceae,Halodule,Halodule wrightii
1880807253,Brazil,,,11,2014,PRESERVED_SPECIMEN,R - Herbário do Museu Nacional,Plantae,Tracheophyta,Liliopsida,Alismatales,Cymodoceaceae,Halodule,Halodule wrightii
1135818647,Brazil,0,0,12,2014,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Liliopsida,Alismatales,Cymodoceaceae,Halodule,Halodule wrightii
1455752595,Brazil,0,0,3,2013,PRESERVED_SPECIMEN,ALCB - Herbário Alexandre Leal Costa,Plantae,Tracheophyta,Liliopsida,Alismatales,Cymodoceaceae,Halodule,Halodule wrightii
