key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1853940877,Brazil,-23.789356,-45.363822,5,2018,PRESERVED_SPECIMEN,HUSC - Herbário Unisanta,Plantae,Tracheophyta,Liliopsida,Alismatales,Cymodoceaceae,Halodule,Halodule emarginata
1880807420,Brazil,,,10,2014,PRESERVED_SPECIMEN,R - Herbário do Museu Nacional,Plantae,Tracheophyta,Liliopsida,Alismatales,Cymodoceaceae,Halodule,Halodule emarginata
1077556990,Brazil,0,0,4,1996,PRESERVED_SPECIMEN,IPA - Herbário - IPA Dárdano de Andrade Lima,Plantae,Tracheophyta,Liliopsida,Alismatales,Cymodoceaceae,Halodule,Halodule emarginata
1077536721,Brazil,0,0,2,1981,PRESERVED_SPECIMEN,IPA - Herbário - IPA Dárdano de Andrade Lima,Plantae,Tracheophyta,Liliopsida,Alismatales,Cymodoceaceae,Halodule,Halodule emarginata
1077536710,Brazil,0,0,7,1980,PRESERVED_SPECIMEN,IPA - Herbário - IPA Dárdano de Andrade Lima,Plantae,Tracheophyta,Liliopsida,Alismatales,Cymodoceaceae,Halodule,Halodule emarginata
1314926894,Brazil,,,6,1978,UNKNOWN,,Plantae,Tracheophyta,Liliopsida,Alismatales,Cymodoceaceae,Halodule,Halodule emarginata
1900721856,Brazil,,,3,1970,PRESERVED_SPECIMEN,,Plantae,Tracheophyta,Liliopsida,Alismatales,Cymodoceaceae,Halodule,Halodule emarginata
1900721868,Brazil,,,3,1970,PRESERVED_SPECIMEN,,Plantae,Tracheophyta,Liliopsida,Alismatales,Cymodoceaceae,Halodule,Halodule emarginata
1900721864,Brazil,,,8,1970,PRESERVED_SPECIMEN,,Plantae,Tracheophyta,Liliopsida,Alismatales,Cymodoceaceae,Halodule,Halodule emarginata
1138416864,Brazil,-23.8,-45.383333,10,1969,PRESERVED_SPECIMEN,,Plantae,Tracheophyta,Liliopsida,Alismatales,Cymodoceaceae,Halodule,Halodule emarginata
912474276,Brazil,-23.8,-45.38,10,1969,PRESERVED_SPECIMEN,,Plantae,Tracheophyta,Liliopsida,Alismatales,Cymodoceaceae,Halodule,Halodule emarginata
1097392877,Brazil,-23.8,-45.38,10,1969,PRESERVED_SPECIMEN,Vascular plants,Plantae,Tracheophyta,Liliopsida,Alismatales,Cymodoceaceae,Halodule,Halodule emarginata
1900844222,Brazil,-23.8,-45.383333,10,1969,PRESERVED_SPECIMEN,,Plantae,Tracheophyta,Liliopsida,Alismatales,Cymodoceaceae,Halodule,Halodule emarginata
1900721873,Brazil,-23.8,-45.383333,10,1969,PRESERVED_SPECIMEN,,Plantae,Tracheophyta,Liliopsida,Alismatales,Cymodoceaceae,Halodule,Halodule emarginata
1900721871,Brazil,-23.5,-45.1,10,1968,PRESERVED_SPECIMEN,,Plantae,Tracheophyta,Liliopsida,Alismatales,Cymodoceaceae,Halodule,Halodule emarginata
1095444423,Brazil,0,0,,,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Liliopsida,Alismatales,Cymodoceaceae,Halodule,Halodule emarginata
