key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1571706189,Brazil,-21.833333,-46.588055,4,2017,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Philodendron,Philodendron brasiliense
1571706218,Brazil,-21.713056,-44.973611,4,2017,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Philodendron,Philodendron brasiliense
1423926210,Brazil,-21.512778,-48.113889,5,2016,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Philodendron,Philodendron brasiliense
1829094803,Brazil,-23.410472,-46.467194,11,2014,PRESERVED_SPECIMEN,"SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas",Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Philodendron,Philodendron brasiliense
1829094689,Brazil,-23.392,-46.425639,12,2014,PRESERVED_SPECIMEN,"SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas",Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Philodendron,Philodendron brasiliense
1090697973,Brazil,-15.580056,-42.731,3,2012,PRESERVED_SPECIMEN,HRCB - Herbário Rioclarense,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Philodendron,Philodendron brasiliense
1424412826,Brazil,-22.54,-44.595278,6,2012,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Philodendron,Philodendron brasiliense
1424417582,Brazil,-23.680556,-48.017778,8,2012,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Philodendron,Philodendron brasiliense
1424314643,Brazil,,,11,2010,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Philodendron,Philodendron brasiliense
1135929003,Brazil,,,10,2007,PRESERVED_SPECIMEN,ESA - Herbário da Escola Superior de Agricultura Luiz de Queiroz,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Philodendron,Philodendron brasiliense
1135907977,Brazil,,,5,2002,PRESERVED_SPECIMEN,ESA - Herbário da Escola Superior de Agricultura Luiz de Queiroz,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Philodendron,Philodendron brasiliense
1099301210,Brazil,,,9,2000,PRESERVED_SPECIMEN,HPL - Herbário do Jardim Botânico Plantarum,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Philodendron,Philodendron brasiliense
1099301233,Brazil,,,11,2000,PRESERVED_SPECIMEN,HPL - Herbário do Jardim Botânico Plantarum,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Philodendron,Philodendron brasiliense
1099301217,Brazil,,,12,2000,PRESERVED_SPECIMEN,HPL - Herbário do Jardim Botânico Plantarum,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Philodendron,Philodendron brasiliense
1258574071,Brazil,,,1,1999,PRESERVED_SPECIMEN,Tropicos,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Philodendron,Philodendron brasiliense
1258949113,Brazil,,,12,1999,PRESERVED_SPECIMEN,Tropicos,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Philodendron,Philodendron brasiliense
1889172681,Brazil,-21.6,-47.566667,2,1996,PRESERVED_SPECIMEN,"SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas",Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Philodendron,Philodendron brasiliense
1889172936,Brazil,0,0,10,1995,PRESERVED_SPECIMEN,"SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas",Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Philodendron,Philodendron brasiliense
1889173234,Brazil,0,0,10,1995,PRESERVED_SPECIMEN,"SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas",Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Philodendron,Philodendron brasiliense
1090717328,Brazil,0,0,9,1994,PRESERVED_SPECIMEN,UFG - Herbário da Universidade Federal de Goiás,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Philodendron,Philodendron brasiliense
1258531869,Brazil,-15.8,-47.96666,7,1993,PRESERVED_SPECIMEN,Tropicos,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Philodendron,Philodendron brasiliense
1135843428,Brazil,,,1,1990,PRESERVED_SPECIMEN,ESA - Herbário da Escola Superior de Agricultura Luiz de Queiroz,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Philodendron,Philodendron brasiliense
1260195390,Brazil,,,8,1990,PRESERVED_SPECIMEN,Tropicos,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Philodendron,Philodendron brasiliense
1261054451,Brazil,,,10,1987,PRESERVED_SPECIMEN,Tropicos,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Philodendron,Philodendron brasiliense
1261078221,Brazil,,,12,1987,PRESERVED_SPECIMEN,Tropicos,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Philodendron,Philodendron brasiliense
1258386305,Brazil,,,12,1987,PRESERVED_SPECIMEN,Tropicos,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Philodendron,Philodendron brasiliense
1258415471,Brazil,-23.85,-46.15,11,1986,PRESERVED_SPECIMEN,Tropicos,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Philodendron,Philodendron brasiliense
1257782693,Brazil,,,2,1985,PRESERVED_SPECIMEN,Tropicos,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Philodendron,Philodendron brasiliense
1797146267,Brazil,-18.17,-43.63,11,1985,PRESERVED_SPECIMEN,Vascular plants,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Philodendron,Philodendron brasiliense
1259686221,Brazil,-15.666667,-47.866667,6,1982,PRESERVED_SPECIMEN,Tropicos,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Philodendron,Philodendron brasiliense
1259686253,Brazil,-13.83333,-59.7,6,1982,PRESERVED_SPECIMEN,Tropicos,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Philodendron,Philodendron brasiliense
