key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1837380305,Brazil,-27.54,-49.41,1,2018,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Adenostemma,Adenostemma brasilianum
1902143981,Brazil,-27.54,-49.770556,1,2018,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Adenostemma,Adenostemma brasilianum
1837380402,Brazil,-27.54,-49.770556,1,2018,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Adenostemma,Adenostemma brasilianum
1570750551,Brazil,-26.920833,-49.091667,1,2017,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Adenostemma,Adenostemma brasilianum
1840912055,Brazil,-26.91,-49.410833,3,2017,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Adenostemma,Adenostemma brasilianum
1455391132,Brazil,-24.781639,-52.133222,3,2017,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Adenostemma,Adenostemma brasilianum
1563171577,Brazil,-26.91,-49.410833,3,2017,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Adenostemma,Adenostemma brasilianum
1801099198,Brazil,-26.264722,-49.461667,4,2017,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Adenostemma,Adenostemma brasilianum
1563172103,Brazil,-27.449444,-50.940833,4,2017,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Adenostemma,Adenostemma brasilianum
1275058672,Brazil,-26.923889,-49.4075,1,2016,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Adenostemma,Adenostemma brasilianum
1077425009,Brazil,-26.393611,-49.354167,1,2015,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Adenostemma,Adenostemma brasilianum
1077425593,Brazil,-26.82,-52.016944,2,2015,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Adenostemma,Adenostemma brasilianum
1424514422,Brazil,-26.82,-52.016944,2,2015,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Adenostemma,Adenostemma brasilianum
1135076211,Brazil,-26.236667,-48.877778,7,2015,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Adenostemma,Adenostemma brasilianum
1135947061,Brazil,,,3,2014,PRESERVED_SPECIMEN,ESA - Herbário da Escola Superior de Agricultura Luiz de Queiroz,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Adenostemma,Adenostemma brasilianum
1291822822,Brazil,,,8,2014,PRESERVED_SPECIMEN,MBML-Herbario - Herbário Mello Leitão,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Adenostemma,Adenostemma brasilianum
1077480767,Brazil,-25.179833,-48.384583,10,2014,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Adenostemma,Adenostemma brasilianum
1077419282,Brazil,-27.064444,-49.098333,1,2013,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Adenostemma,Adenostemma brasilianum
1135948548,Brazil,-22.5262,-44.2232,2,2013,PRESERVED_SPECIMEN,ESA - Herbário da Escola Superior de Agricultura Luiz de Queiroz,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Adenostemma,Adenostemma brasilianum
1424479778,Brazil,-24.116667,-47.75,3,2013,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Adenostemma,Adenostemma brasilianum
1077419796,Brazil,-27.056944,-49.086667,3,2013,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Adenostemma,Adenostemma brasilianum
1094927043,Brazil,-24,-47,3,2013,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Adenostemma,Adenostemma brasilianum
1086916536,Brazil,-24.0725,-47.633333,3,2013,PRESERVED_SPECIMEN,SPSF - Herbário Dom Bento José Pickel,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Adenostemma,Adenostemma brasilianum
1135942903,Brazil,-24.020444,-47.315861,3,2013,PRESERVED_SPECIMEN,ESA - Herbário da Escola Superior de Agricultura Luiz de Queiroz,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Adenostemma,Adenostemma brasilianum
1094927038,Brazil,-24,-47,3,2013,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Adenostemma,Adenostemma brasilianum
1135945588,Brazil,-24.038166,-47.380012,3,2013,PRESERVED_SPECIMEN,ESA - Herbário da Escola Superior de Agricultura Luiz de Queiroz,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Adenostemma,Adenostemma brasilianum
1135945570,Brazil,-24.07,-47.45,3,2013,PRESERVED_SPECIMEN,ESA - Herbário da Escola Superior de Agricultura Luiz de Queiroz,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Adenostemma,Adenostemma brasilianum
1135945563,Brazil,-24.020444,-47.315861,3,2013,PRESERVED_SPECIMEN,ESA - Herbário da Escola Superior de Agricultura Luiz de Queiroz,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Adenostemma,Adenostemma brasilianum
1424483067,Brazil,-24,-47,3,2013,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Adenostemma,Adenostemma brasilianum
1213657154,Brazil,-24.0725,-47.633333,3,2013,PRESERVED_SPECIMEN,UB - Herbário da Universidade de Brasília,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Adenostemma,Adenostemma brasilianum
1234558380,Brazil,-24.072683,-47.633367,3,2013,PRESERVED_SPECIMEN,UEC - Herbário da Universidade Estadual de Campinas,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Adenostemma,Adenostemma brasilianum
1234558391,Brazil,-24.116667,-47.75,3,2013,PRESERVED_SPECIMEN,UEC - Herbário da Universidade Estadual de Campinas,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Adenostemma,Adenostemma brasilianum
1424483943,Brazil,,,3,2013,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Adenostemma,Adenostemma brasilianum
1090832235,Brazil,-24.072778,-47.633333,3,2013,PRESERVED_SPECIMEN,HUFU - Herbarium Uberlandense,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Adenostemma,Adenostemma brasilianum
1077294353,Brazil,0,0,1,2012,PRESERVED_SPECIMEN,CESJ - Herbário Leopoldo Krieger,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Adenostemma,Adenostemma brasilianum
1087712075,Brazil,,,2,2012,PRESERVED_SPECIMEN,LUSC - Herbário de Lages da Universidade do Estado de Santa Catarina,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Adenostemma,Adenostemma brasilianum
1077505008,Brazil,-26.927086,-49.414906,4,2012,PRESERVED_SPECIMEN,HUCS - Herbário da Universidade de Caxias do Sul,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Adenostemma,Adenostemma brasilianum
1077417320,Brazil,-26.927222,-49.415,4,2012,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Adenostemma,Adenostemma brasilianum
1090607940,Brazil,-30.101167,-51.328056,3,2011,PRESERVED_SPECIMEN,MPUC - Herbário do Museu da Pontifícia Universidade Católica do Rio Grande do Sul,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Adenostemma,Adenostemma brasilianum
1077474633,Brazil,-24.532722,-52.433389,3,2011,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Adenostemma,Adenostemma brasilianum
1095349007,Brazil,0,0,3,2011,PRESERVED_SPECIMEN,ICN - Herbário do Instituto de Ciências Naturais,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Adenostemma,Adenostemma brasilianum
1077409095,Brazil,-26.552222,-49.175833,1,2010,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Adenostemma,Adenostemma brasilianum
1087384412,Brazil,0,0,3,2010,PRESERVED_SPECIMEN,"SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas",Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Adenostemma,Adenostemma brasilianum
1086683874,Brazil,-25.316,-48.661,12,2010,PRESERVED_SPECIMEN,UPCB - Herbário do Departamento de Botânica,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Adenostemma,Adenostemma brasilianum
1424309955,Brazil,-8.566667,-67.645556,12,2009,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Adenostemma,Adenostemma brasilianum
