key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1585967831,Brazil,-11.592222,-41.208611,3,2016,PRESERVED_SPECIMEN,ALCB - Herbário Alexandre Leal Costa,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Lepidaploa,Lepidaploa chalybaea
1836918893,Brazil,-10.45126,-37.20393,3,2016,PRESERVED_SPECIMEN,ASE - Herbário da Universidade Federal de Sergipe,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Lepidaploa,Lepidaploa chalybaea
1324953518,Brazil,-12.288611,-41.160833,3,2016,PRESERVED_SPECIMEN,ALCB - Herbário Alexandre Leal Costa,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Lepidaploa,Lepidaploa chalybaea
1586031916,Brazil,,,3,2016,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Lepidaploa,Lepidaploa chalybaea
1324589830,Brazil,-10.45138,-37.20265,4,2016,PRESERVED_SPECIMEN,ASE - Herbário da Universidade Federal de Sergipe,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Lepidaploa,Lepidaploa chalybaea
1324953420,Brazil,-12.989722,-41.348333,4,2016,PRESERVED_SPECIMEN,ALCB - Herbário Alexandre Leal Costa,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Lepidaploa,Lepidaploa chalybaea
1699426466,Brazil,-4.064167,-39.9975,5,2016,PRESERVED_SPECIMEN,ALCB - Herbário Alexandre Leal Costa,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Lepidaploa,Lepidaploa chalybaea
1303604003,Brazil,,,7,2016,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Lepidaploa,Lepidaploa chalybaea
1423837367,Brazil,-13.605,-41.772778,10,2016,PRESERVED_SPECIMEN,ALCB - Herbário Alexandre Leal Costa,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Lepidaploa,Lepidaploa chalybaea
1585192971,Brazil,0,0,11,2016,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Lepidaploa,Lepidaploa chalybaea
1503331737,Brazil,-9.047222,-3.711111,11,2016,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Lepidaploa,Lepidaploa chalybaea
1143431932,Brazil,0,0,2,2015,PRESERVED_SPECIMEN,HTSA - Herbário do Trópico Semiárido,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Lepidaploa,Lepidaploa chalybaea
1423935495,Brazil,-8.611667,-39.611389,3,2015,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Lepidaploa,Lepidaploa chalybaea
1423935388,Brazil,-8.021389,-39.142222,3,2015,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Lepidaploa,Lepidaploa chalybaea
1423932644,Brazil,-5.838333,-37.9375,4,2015,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Lepidaploa,Lepidaploa chalybaea
1423935378,Brazil,-8.923889,-38.499167,4,2015,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Lepidaploa,Lepidaploa chalybaea
1586031813,Brazil,,,5,2015,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Lepidaploa,Lepidaploa chalybaea
1586031817,Brazil,,,5,2015,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Lepidaploa,Lepidaploa chalybaea
1913591502,Brazil,-7.833333,-39.416667,5,2015,PRESERVED_SPECIMEN,HTSA - Herbário do Trópico Semiárido,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Lepidaploa,Lepidaploa chalybaea
1252590879,Brazil,-8.218333,-39.558611,5,2015,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Lepidaploa,Lepidaploa chalybaea
1423933522,Brazil,-8.218333,-39.558611,5,2015,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Lepidaploa,Lepidaploa chalybaea
1585967801,Brazil,-11.5875,-41.2025,5,2015,PRESERVED_SPECIMEN,ALCB - Herbário Alexandre Leal Costa,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Lepidaploa,Lepidaploa chalybaea
1252591408,Brazil,-8.315,-40.061389,5,2015,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Lepidaploa,Lepidaploa chalybaea
1585967869,Brazil,-11.435,-41.195833,5,2015,PRESERVED_SPECIMEN,ALCB - Herbário Alexandre Leal Costa,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Lepidaploa,Lepidaploa chalybaea
1423918600,Brazil,-8.315,-40.061389,5,2015,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Lepidaploa,Lepidaploa chalybaea
1585967976,Brazil,-11.627222,-41,6,2015,PRESERVED_SPECIMEN,ALCB - Herbário Alexandre Leal Costa,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Lepidaploa,Lepidaploa chalybaea
1252591473,Brazil,-8.316667,-38.868056,6,2015,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Lepidaploa,Lepidaploa chalybaea
1586074597,Brazil,-11.650556,-40.952778,6,2015,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Lepidaploa,Lepidaploa chalybaea
1213520526,Brazil,-9.435556,-38.566944,6,2015,PRESERVED_SPECIMEN,MAC - Herbário do Instituto do Meio Ambiente do Estado de Alagoas,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Lepidaploa,Lepidaploa chalybaea
1586031865,Brazil,,,6,2015,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Lepidaploa,Lepidaploa chalybaea
1585967930,Brazil,-11.650556,-40.952778,6,2015,PRESERVED_SPECIMEN,ALCB - Herbário Alexandre Leal Costa,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Lepidaploa,Lepidaploa chalybaea
1586031887,Brazil,,,6,2015,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Lepidaploa,Lepidaploa chalybaea
