key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1585209057,Brazil,-0.756331,-48.515453,5,2017,PRESERVED_SPECIMEN,MFS - Herbário Profª. Drª. Marlene Freitas da Silva,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Rolandra,Rolandra fruticosa
1837397167,Brazil,-7.979444,-49.449444,5,2017,PRESERVED_SPECIMEN,MFS - Herbário Profª. Drª. Marlene Freitas da Silva,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Rolandra,Rolandra fruticosa
1840926559,Brazil,-2.475306,-44.050583,10,2016,PRESERVED_SPECIMEN,MAR - Herbário do Maranhão,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Rolandra,Rolandra fruticosa
1853943790,Brazil,-11.334889,-40.503583,12,2016,PRESERVED_SPECIMEN,HVASF - Herbário Vale do São Francisco,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Rolandra,Rolandra fruticosa
1087695368,Brazil,-10.4416,-37.0454,1,2015,PRESERVED_SPECIMEN,ASE - Herbário da Universidade Federal de Sergipe,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Rolandra,Rolandra fruticosa
1087695391,Brazil,-10.4618,-37.0753,1,2015,PRESERVED_SPECIMEN,ASE - Herbário da Universidade Federal de Sergipe,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Rolandra,Rolandra fruticosa
1423896181,Brazil,-3.273611,-51.8575,6,2015,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Rolandra,Rolandra fruticosa
1413714826,Brazil,-1.056639,-46.785444,6,2015,PRESERVED_SPECIMEN,HBRA - Herbário do Instituto de Estudos Costeiros da Universidade Federal do Pará,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Rolandra,Rolandra fruticosa
1455388301,Brazil,,,7,2015,PRESERVED_SPECIMEN,PEUFR - Herbário Professor Vasconcelos Sobrinho,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Rolandra,Rolandra fruticosa
1585967404,Brazil,-6.3725,-35.033611,8,2015,PRESERVED_SPECIMEN,ALCB - Herbário Alexandre Leal Costa,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Rolandra,Rolandra fruticosa
1585194393,Brazil,-15.25,-39.418056,8,2015,PRESERVED_SPECIMEN,UESC - Herbário Universidade Estadual de Santa Cruz,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Rolandra,Rolandra fruticosa
1658213373,Brazil,-6.3725,-35.033611,8,2015,PRESERVED_SPECIMEN,HURB - Herbário do Recôncavo da Bahia,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Rolandra,Rolandra fruticosa
1264696026,Brazil,-10.5129,-37.1007,9,2015,PRESERVED_SPECIMEN,ASE - Herbário da Universidade Federal de Sergipe,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Rolandra,Rolandra fruticosa
1880794591,Brazil,-2.854,-54.92939,11,2015,PRESERVED_SPECIMEN,Vascular plants,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Rolandra,Rolandra fruticosa
1423904931,Brazil,,,11,2015,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Rolandra,Rolandra fruticosa
1563894848,Brazil,-17.459444,-39.600278,7,2014,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Rolandra,Rolandra fruticosa
1094930806,Brazil,-12.778333,-38.919444,8,2014,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Rolandra,Rolandra fruticosa
1090893647,Brazil,-1.637389,-44.873472,8,2014,PRESERVED_SPECIMEN,MAR - Herbário do Maranhão,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Rolandra,Rolandra fruticosa
1090893824,Brazil,-1.637389,-44.873472,8,2014,PRESERVED_SPECIMEN,MAR - Herbário do Maranhão,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Rolandra,Rolandra fruticosa
1135819655,Brazil,-1.867028,-45.066,8,2014,PRESERVED_SPECIMEN,MAR - Herbário do Maranhão,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Rolandra,Rolandra fruticosa
1087695283,Brazil,-11.304369,-37.344713,9,2014,PRESERVED_SPECIMEN,ASE - Herbário da Universidade Federal de Sergipe,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Rolandra,Rolandra fruticosa
1424505942,Brazil,-3.1725,-51.786389,10,2014,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Rolandra,Rolandra fruticosa
1094930871,Brazil,-12.778333,-38.919444,10,2014,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Rolandra,Rolandra fruticosa
1424505947,Brazil,-3.181944,-51.786389,10,2014,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Rolandra,Rolandra fruticosa
1424505935,Brazil,-3.156944,-51.7775,11,2014,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Rolandra,Rolandra fruticosa
1902144099,Brazil,-5.133333,-49.3,11,2014,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Rolandra,Rolandra fruticosa
1424505988,Brazil,-3.181667,-51.784167,11,2014,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Rolandra,Rolandra fruticosa
1087696067,Brazil,-10.435868,-37.095629,11,2014,PRESERVED_SPECIMEN,ASE - Herbário da Universidade Federal de Sergipe,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Rolandra,Rolandra fruticosa
1424453626,Brazil,-13.666944,-39.816111,3,2013,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Rolandra,Rolandra fruticosa
1087706727,Brazil,-13.666944,-39.816111,3,2013,PRESERVED_SPECIMEN,HURB - Herbário do Recôncavo da Bahia,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Rolandra,Rolandra fruticosa
1090892871,Brazil,-2.646625,-44.1516,7,2013,PRESERVED_SPECIMEN,MAR - Herbário do Maranhão,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Rolandra,Rolandra fruticosa
1090154524,Brazil,-1.975336,-48.198161,9,2013,PRESERVED_SPECIMEN,MFS - Herbário Profª. Drª. Marlene Freitas da Silva,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Rolandra,Rolandra fruticosa
1090152672,Brazil,-2.015978,-48.319028,10,2013,PRESERVED_SPECIMEN,MFS - Herbário Profª. Drª. Marlene Freitas da Silva,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Rolandra,Rolandra fruticosa
