key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1853942287,Brazil,-20.562719,-54.509989,9,2017,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Acilepidopsis,Acilepidopsis echitifolia
1806847154,Brazil,-18.157056,-53.412417,10,2017,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Acilepidopsis,Acilepidopsis echitifolia
1806846790,Brazil,-18.116861,-53.706694,10,2017,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Acilepidopsis,Acilepidopsis echitifolia
1213670411,Brazil,-19.623889,-52.503889,6,2015,PRESERVED_SPECIMEN,UB - Herbário da Universidade de Brasília,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Acilepidopsis,Acilepidopsis echitifolia
1303590557,Brazil,-18.157278,-53.412972,11,2015,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Acilepidopsis,Acilepidopsis echitifolia
1291009628,Brazil,-19.315,-48.060556,3,2014,PRESERVED_SPECIMEN,HUFU - Herbarium Uberlandense,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Acilepidopsis,Acilepidopsis echitifolia
1213660039,Brazil,0,0,4,2013,PRESERVED_SPECIMEN,UB - Herbário da Universidade de Brasília,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Acilepidopsis,Acilepidopsis echitifolia
1099624072,Brazil,-22.130556,-47.777925,4,2012,PRESERVED_SPECIMEN,UEC - Herbário da Universidade Estadual de Campinas,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Acilepidopsis,Acilepidopsis echitifolia
1265932734,Brazil,-22.130556,-47.777778,4,2012,PRESERVED_SPECIMEN,HRCB - Herbário Rioclarense,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Acilepidopsis,Acilepidopsis echitifolia
1234554757,Brazil,0,0,4,2012,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Acilepidopsis,Acilepidopsis echitifolia
1265932745,Brazil,-22.130556,-47.777778,4,2012,PRESERVED_SPECIMEN,HRCB - Herbário Rioclarense,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Acilepidopsis,Acilepidopsis echitifolia
1087183623,Brazil,-19.0425,-43.709444,5,2012,PRESERVED_SPECIMEN,BHZB - Herbário do Jardim Botânico da Fundação Zoo-Botânica de Belo Horizonte,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Acilepidopsis,Acilepidopsis echitifolia
1090831624,Brazil,0,0,5,2012,PRESERVED_SPECIMEN,HUFU - Herbarium Uberlandense,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Acilepidopsis,Acilepidopsis echitifolia
1090830813,Brazil,0,0,6,2012,PRESERVED_SPECIMEN,HUFU - Herbarium Uberlandense,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Acilepidopsis,Acilepidopsis echitifolia
1090828925,Brazil,-18.655278,-48.023889,9,2012,PRESERVED_SPECIMEN,HUFU - Herbarium Uberlandense,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Acilepidopsis,Acilepidopsis echitifolia
1090831428,Brazil,0,0,12,2012,PRESERVED_SPECIMEN,HUFU - Herbarium Uberlandense,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Acilepidopsis,Acilepidopsis echitifolia
1587290967,Brazil,-17.016389,-48.7925,4,2009,PRESERVED_SPECIMEN,UFG - Herbário da Universidade Federal de Goiás,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Acilepidopsis,Acilepidopsis echitifolia
1587290972,Brazil,-17.008056,-48.786944,4,2008,PRESERVED_SPECIMEN,UFG - Herbário da Universidade Federal de Goiás,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Acilepidopsis,Acilepidopsis echitifolia
1587290911,Brazil,-17.008056,-48.786944,5,2008,PRESERVED_SPECIMEN,UFG - Herbário da Universidade Federal de Goiás,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Acilepidopsis,Acilepidopsis echitifolia
1587290966,Brazil,-17.016389,-48.7925,7,2008,PRESERVED_SPECIMEN,UFG - Herbário da Universidade Federal de Goiás,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Acilepidopsis,Acilepidopsis echitifolia
1587290959,Brazil,-17.008056,-48.786944,7,2008,PRESERVED_SPECIMEN,UFG - Herbário da Universidade Federal de Goiás,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Acilepidopsis,Acilepidopsis echitifolia
