key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1837438623,Brazil,-25.9425,-49.063333,2,2018,PRESERVED_SPECIMEN,ICN - Herbário do Instituto de Ciências Naturais,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Siphocampylus,Siphocampylus sulfureus
1837438566,Brazil,-26.278889,-49.365833,12,2017,PRESERVED_SPECIMEN,ICN - Herbário do Instituto de Ciências Naturais,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Siphocampylus,Siphocampylus sulfureus
1848245307,Brazil,-25.543889,-49.233333,2,2016,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Siphocampylus,Siphocampylus sulfureus
1423907029,Brazil,-22.321944,-42.723056,4,2016,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Siphocampylus,Siphocampylus sulfureus
1275058762,Brazil,-26.278889,-49.366111,11,2015,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Siphocampylus,Siphocampylus sulfureus
1829094771,Brazil,-23.390194,-46.425417,2,2014,PRESERVED_SPECIMEN,"SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas",Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Siphocampylus,Siphocampylus sulfureus
1424478099,Brazil,-22.33,-42.720556,3,2014,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Siphocampylus,Siphocampylus sulfureus
1658341760,Brazil,-22.322222,-42.720833,3,2014,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Siphocampylus,Siphocampylus sulfureus
1435462148,Brazil,-22.791667,-49.236944,4,2014,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Siphocampylus,Siphocampylus sulfureus
1086916178,Brazil,-23.266667,-45.95,1,2013,PRESERVED_SPECIMEN,SPSF - Herbário Dom Bento José Pickel,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Siphocampylus,Siphocampylus sulfureus
1077297797,Brazil,0,0,3,2013,PRESERVED_SPECIMEN,CESJ - Herbário Leopoldo Krieger,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Siphocampylus,Siphocampylus sulfureus
1077295566,Brazil,0,0,6,2012,PRESERVED_SPECIMEN,CESJ - Herbário Leopoldo Krieger,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Siphocampylus,Siphocampylus sulfureus
1086912472,Brazil,-24.048889,-49.111667,7,2010,PRESERVED_SPECIMEN,SPSF - Herbário Dom Bento José Pickel,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Siphocampylus,Siphocampylus sulfureus
1086912923,Brazil,-24.048611,-49.111389,9,2010,PRESERVED_SPECIMEN,SPSF - Herbário Dom Bento José Pickel,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Siphocampylus,Siphocampylus sulfureus
1090629939,Brazil,-18.920152,-43.756244,3,2009,PRESERVED_SPECIMEN,SPF - Herbário da Universidade de São Paulo,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Siphocampylus,Siphocampylus sulfureus
1077388719,Brazil,-26.191111,-49.193055,1,2008,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Siphocampylus,Siphocampylus sulfureus
1086908712,Brazil,-24.073056,-49.081389,5,2008,PRESERVED_SPECIMEN,SPSF - Herbário Dom Bento José Pickel,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Siphocampylus,Siphocampylus sulfureus
1086910143,Brazil,-24.074722,-49.081389,10,2008,PRESERVED_SPECIMEN,SPSF - Herbário Dom Bento José Pickel,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Siphocampylus,Siphocampylus sulfureus
1802960751,Brazil,,,11,2008,PRESERVED_SPECIMEN,PACA-AGP - Herbarium Anchieta,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Siphocampylus,Siphocampylus sulfureus
1086960264,Brazil,-23.883333,-51.15,11,2008,PRESERVED_SPECIMEN,FUEL - Herbário da Universidade Estadual de Londrina,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Siphocampylus,Siphocampylus sulfureus
1090693647,Brazil,-23.216667,-46.933333,5,2007,PRESERVED_SPECIMEN,HRCB - Herbário Rioclarense,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Siphocampylus,Siphocampylus sulfureus
1095610589,Brazil,0,0,1,2005,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Siphocampylus,Siphocampylus sulfureus
1086669181,Brazil,,,11,2005,PRESERVED_SPECIMEN,UPCB - Herbário do Departamento de Botânica,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Siphocampylus,Siphocampylus sulfureus
1090696558,Brazil,-24.268333,-49.205278,12,2005,PRESERVED_SPECIMEN,HRCB - Herbário Rioclarense,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Siphocampylus,Siphocampylus sulfureus
1090576630,Brazil,-24.1125,-49.3317,12,2005,PRESERVED_SPECIMEN,IAC - Herbário do Instituto Agronômico de Campinas,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Siphocampylus,Siphocampylus sulfureus
1077284217,Brazil,0,0,12,2004,PRESERVED_SPECIMEN,CESJ - Herbário Leopoldo Krieger,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Siphocampylus,Siphocampylus sulfureus
1424220484,Brazil,-20.533889,-44.675556,12,2004,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Siphocampylus,Siphocampylus sulfureus
1095610586,Brazil,0,0,12,2004,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Siphocampylus,Siphocampylus sulfureus
1087634948,Brazil,0,0,12,2004,PRESERVED_SPECIMEN,BHCB - Herbário da Universidade Federal de Minas Gerais,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Siphocampylus,Siphocampylus sulfureus
1090761603,Brazil,,,12,2004,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Siphocampylus,Siphocampylus sulfureus
1675526217,Brazil,0,0,12,2004,PRESERVED_SPECIMEN,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Siphocampylus,Siphocampylus sulfureus
1077499506,Brazil,0,0,12,2004,PRESERVED_SPECIMEN,HUCS - Herbário da Universidade de Caxias do Sul,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Siphocampylus,Siphocampylus sulfureus
1077280450,Brazil,0,0,12,2004,PRESERVED_SPECIMEN,CESJ - Herbário Leopoldo Krieger,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Siphocampylus,Siphocampylus sulfureus
1135910739,Brazil,-24.085,-49.201667,12,2004,PRESERVED_SPECIMEN,ESA - Herbário da Escola Superior de Agricultura Luiz de Queiroz,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Siphocampylus,Siphocampylus sulfureus
1135907242,Brazil,,,11,2003,PRESERVED_SPECIMEN,ESA - Herbário da Escola Superior de Agricultura Luiz de Queiroz,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Siphocampylus,Siphocampylus sulfureus
1099302444,Brazil,,,12,2003,PRESERVED_SPECIMEN,HPL - Herbário do Jardim Botânico Plantarum,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Siphocampylus,Siphocampylus sulfureus
1095597811,Brazil,0,0,1,2002,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Siphocampylus,Siphocampylus sulfureus
1087620830,Brazil,0,0,2,2001,PRESERVED_SPECIMEN,BHCB - Herbário da Universidade Federal de Minas Gerais,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Siphocampylus,Siphocampylus sulfureus
1090690001,Brazil,,,12,2001,PRESERVED_SPECIMEN,HRCB - Herbário Rioclarense,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Siphocampylus,Siphocampylus sulfureus
1234544480,Brazil,0,0,1,2000,PRESERVED_SPECIMEN,SPF - Herbário da Universidade de São Paulo,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Siphocampylus,Siphocampylus sulfureus
1089059988,Brazil,0,0,11,1999,PRESERVED_SPECIMEN,UEC - Herbário da Universidade Estadual de Campinas,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Siphocampylus,Siphocampylus sulfureus
1089059474,Brazil,0,0,12,1999,PRESERVED_SPECIMEN,UEC - Herbário da Universidade Estadual de Campinas,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Siphocampylus,Siphocampylus sulfureus
1089059162,Brazil,0,0,12,1999,PRESERVED_SPECIMEN,UEC - Herbário da Universidade Estadual de Campinas,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Siphocampylus,Siphocampylus sulfureus
