key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1889177147,Brazil,-9.263333,-56.987222,5,2016,PRESERVED_SPECIMEN,HERBAM - Herbário da Amazônia Meridional,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Tynanthus,Tynanthus polyanthus
1889169943,Brazil,-11.01,-55.396944,1,2015,PRESERVED_SPECIMEN,CNMT - Herbário Centro Norte Mato Grossense,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Tynanthus,Tynanthus polyanthus
1423901974,Brazil,,,2,2015,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Tynanthus,Tynanthus polyanthus
1806876288,Brazil,-10.977222,-55.520278,2,2015,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Tynanthus,Tynanthus polyanthus
1848245884,Brazil,-10.977222,-55.520278,2,2015,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Tynanthus,Tynanthus polyanthus
1853945176,Brazil,-10.977222,-55.520278,2,2015,PRESERVED_SPECIMEN,CNMT - Herbário Centro Norte Mato Grossense,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Tynanthus,Tynanthus polyanthus
1423895875,Brazil,-3.221111,-51.773056,4,2015,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Tynanthus,Tynanthus polyanthus
1829093528,Brazil,0,0,7,2015,PRESERVED_SPECIMEN,SPF - Herbário da Universidade de São Paulo,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Tynanthus,Tynanthus polyanthus
1090667781,Brazil,-9.349444,-56.771944,2,2012,PRESERVED_SPECIMEN,HERBAM - Herbário da Amazônia Meridional,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Tynanthus,Tynanthus polyanthus
1806849084,Brazil,0,0,2,2012,PRESERVED_SPECIMEN,SPF - Herbário da Universidade de São Paulo,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Tynanthus,Tynanthus polyanthus
1234545984,Brazil,-9.960278,-67.86,3,2012,PRESERVED_SPECIMEN,SPF - Herbário da Universidade de São Paulo,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Tynanthus,Tynanthus polyanthus
1234546001,Brazil,-10.826111,-68.4275,3,2012,PRESERVED_SPECIMEN,SPF - Herbário da Universidade de São Paulo,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Tynanthus,Tynanthus polyanthus
1423905657,Brazil,-13.778056,-42.348889,3,2012,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Tynanthus,Tynanthus polyanthus
