key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1264701460,Brazil,-29.843286,-50.157028,1,2016,PRESERVED_SPECIMEN,HUCS - Herbário da Universidade de Caxias do Sul,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Oxypetalum,Oxypetalum tubatum
1291044646,Brazil,-24.523611,-49.794722,1,2016,PRESERVED_SPECIMEN,ICN - Herbário do Instituto de Ciências Naturais,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Oxypetalum,Oxypetalum tubatum
1913591793,Brazil,-29.5036,-51.0925,1,2016,PRESERVED_SPECIMEN,ASE - Herbário da Universidade Federal de Sergipe,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Oxypetalum,Oxypetalum tubatum
1563171003,Brazil,-28.934444,-49.363611,12,2016,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Oxypetalum,Oxypetalum tubatum
1801100840,Brazil,-27.655,-48.476667,2,2014,PRESERVED_SPECIMEN,FLOR - Herbário do Departamento de Botânica da Universidade Federal de Santa Catarina,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Oxypetalum,Oxypetalum tubatum
1839115670,Brazil,-27.4354,-48.3055,10,2014,PRESERVED_SPECIMEN,ASE - Herbário da Universidade Federal de Sergipe,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Oxypetalum,Oxypetalum tubatum
1077425121,Brazil,-27.731667,-48.515278,10,2014,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Oxypetalum,Oxypetalum tubatum
1077475609,Brazil,-25.553528,-49.805889,2,2012,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Oxypetalum,Oxypetalum tubatum
1077475457,Brazil,-25.291722,-49.092333,2,2012,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Oxypetalum,Oxypetalum tubatum
1275056322,Brazil,-25.17302,-49.05324,2,2012,PRESERVED_SPECIMEN,DVPR - Herbário da Universidade Tecnológica Federal do Paraná - Dois Vizinhos,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Oxypetalum,Oxypetalum tubatum
1095629935,Brazil,-25.291722,-49.092333,2,2012,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Oxypetalum,Oxypetalum tubatum
1086603993,Brazil,-25.5889,-49.3478,3,2012,PRESERVED_SPECIMEN,EFC - Herbário Escola de Florestas Curitiba,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Oxypetalum,Oxypetalum tubatum
1095351098,Brazil,0,0,1,2010,PRESERVED_SPECIMEN,ICN - Herbário do Instituto de Ciências Naturais,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Oxypetalum,Oxypetalum tubatum
1090159146,Brazil,0,0,3,2010,PRESERVED_SPECIMEN,IRAI - Herbário do Parque da Ciência Newton Freire Maia,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Oxypetalum,Oxypetalum tubatum
1424225317,Brazil,-23.958056,-48.466944,10,2007,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Oxypetalum,Oxypetalum tubatum
1135073694,Brazil,-23.958056,-48.469444,10,2007,PRESERVED_SPECIMEN,SPF - Herbário da Universidade de São Paulo,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Oxypetalum,Oxypetalum tubatum
1848242514,Brazil,0,0,1,2004,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Oxypetalum,Oxypetalum tubatum
1090696297,Brazil,,,1,2004,PRESERVED_SPECIMEN,HRCB - Herbário Rioclarense,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Oxypetalum,Oxypetalum tubatum
1135073148,Brazil,0,0,1,2004,PRESERVED_SPECIMEN,SPF - Herbário da Universidade de São Paulo,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Oxypetalum,Oxypetalum tubatum
1257561320,Brazil,,,1,2004,PRESERVED_SPECIMEN,Tropicos,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Oxypetalum,Oxypetalum tubatum
1135073153,Brazil,0,0,1,2004,PRESERVED_SPECIMEN,SPF - Herbário da Universidade de São Paulo,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Oxypetalum,Oxypetalum tubatum
1848241044,Brazil,0,0,2,2004,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Oxypetalum,Oxypetalum tubatum
1095573475,Brazil,0,0,1,1998,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Oxypetalum,Oxypetalum tubatum
1095579484,Brazil,0,0,10,1996,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Oxypetalum,Oxypetalum tubatum
1086644300,Brazil,,,10,1996,PRESERVED_SPECIMEN,UPCB - Herbário do Departamento de Botânica,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Oxypetalum,Oxypetalum tubatum
1086644547,Brazil,,,10,1996,PRESERVED_SPECIMEN,UPCB - Herbário do Departamento de Botânica,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Oxypetalum,Oxypetalum tubatum
