key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1702806058,Brazil,-18.9192,-57.6726,9,2017,PRESERVED_SPECIMEN,NMNH Extant Biology,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Rhabdadenia,Rhabdadenia madida
1853954675,Brazil,,,9,2017,PRESERVED_SPECIMEN,CRI - Herbário Pe. Dr. Raulino Reitz,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Rhabdadenia,Rhabdadenia madida
1702781345,Brazil,-19.5128,-57.0417,9,2017,PRESERVED_SPECIMEN,NMNH Extant Biology,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Rhabdadenia,Rhabdadenia madida
1829084236,Brazil,-21.24,-54.777944,3,2016,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Rhabdadenia,Rhabdadenia madida
1837382806,Brazil,-21.379583,-56.586028,10,2016,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Rhabdadenia,Rhabdadenia madida
1077425095,Brazil,-26.831111,-48.638333,1,2015,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Rhabdadenia,Rhabdadenia madida
1426752719,Brazil,-19.604494,-57.030697,1,2015,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Rhabdadenia,Rhabdadenia madida
1426752718,Brazil,-19.604494,-57.030697,2,2015,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Rhabdadenia,Rhabdadenia madida
1275068481,Brazil,-20.301389,-55.864444,2,2015,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Rhabdadenia,Rhabdadenia madida
1676473861,Brazil,-20.558,-54.788028,4,2015,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Rhabdadenia,Rhabdadenia madida
