key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1587321086,Brazil,-21.064514,-56.7409,2,2017,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Gurania,Gurania bignoniacea
1717051052,Brazil,,,3,2017,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Gurania,Gurania bignoniacea
1801350214,Brazil,-11.0125,-55.416389,3,2017,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Gurania,Gurania bignoniacea
1717051103,Brazil,,,3,2017,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Gurania,Gurania bignoniacea
1658215344,Brazil,,,4,2017,PRESERVED_SPECIMEN,HST - Herbário Sérgio Tavares,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Gurania,Gurania bignoniacea
1880740725,Brazil,-2.8756,-54.9397,11,2017,PRESERVED_SPECIMEN,Vascular plants,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Gurania,Gurania bignoniacea
1316179396,Brazil,-21.116792,-56.517567,1,2016,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Gurania,Gurania bignoniacea
1316179349,Brazil,-21.180222,-56.444472,1,2016,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Gurania,Gurania bignoniacea
1324592420,Brazil,-9.511944,-35.921389,2,2016,PRESERVED_SPECIMEN,JPB - Herbário Lauro Pires Xavier,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Gurania,Gurania bignoniacea
1889177071,Brazil,-9.833333,-56.977778,4,2016,PRESERVED_SPECIMEN,HERBAM - Herbário da Amazônia Meridional,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Gurania,Gurania bignoniacea
1889179033,Brazil,-8,-35,5,2016,PRESERVED_SPECIMEN,JPB - Herbário Lauro Pires Xavier,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Gurania,Gurania bignoniacea
1889179007,Brazil,-8,-35,7,2016,PRESERVED_SPECIMEN,JPB - Herbário Lauro Pires Xavier,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Gurania,Gurania bignoniacea
1796028163,Brazil,-4.6114,-56.3283,7,2016,PRESERVED_SPECIMEN,Vascular plants,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Gurania,Gurania bignoniacea
1676474772,Brazil,-7.14694,-34.860993,8,2016,PRESERVED_SPECIMEN,JPB - Herbário Lauro Pires Xavier,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Gurania,Gurania bignoniacea
1840932051,Brazil,-8.610556,-35.737778,3,2015,PRESERVED_SPECIMEN,UFP - Herbário UFP - Geraldo Mariz,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Gurania,Gurania bignoniacea
1585335113,Brazil,,,8,2015,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Gurania,Gurania bignoniacea
1090155121,Brazil,-0.944058,-48.020847,2,2014,PRESERVED_SPECIMEN,MFS - Herbário Profª. Drª. Marlene Freitas da Silva,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Gurania,Gurania bignoniacea
1587318841,Brazil,-9.518611,-36.575833,4,2014,PRESERVED_SPECIMEN,MAC - Herbário do Instituto do Meio Ambiente do Estado de Alagoas,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Gurania,Gurania bignoniacea
1135819845,Brazil,-9.410506,-36.733556,5,2014,PRESERVED_SPECIMEN,UFP - Herbário UFP - Geraldo Mariz,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Gurania,Gurania bignoniacea
1089194025,Brazil,-9.243782,-36.44008,5,2014,PRESERVED_SPECIMEN,JPB - Herbário Lauro Pires Xavier,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Gurania,Gurania bignoniacea
1097955621,Brazil,-9.243782,-36.44008,5,2014,PRESERVED_SPECIMEN,Vascular plants,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Gurania,Gurania bignoniacea
1089194270,Brazil,-7.508056,-34.969722,7,2014,PRESERVED_SPECIMEN,JPB - Herbário Lauro Pires Xavier,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Gurania,Gurania bignoniacea
1090888122,Brazil,,,8,2014,PRESERVED_SPECIMEN,VIES - Herbário Central da Universidade Federal do Espírito Santo VIES,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Gurania,Gurania bignoniacea
1889175626,Brazil,,,12,2014,PRESERVED_SPECIMEN,HERBAM - Herbário da Amazônia Meridional,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Gurania,Gurania bignoniacea
1889175642,Brazil,,,12,2014,PRESERVED_SPECIMEN,HERBAM - Herbário da Amazônia Meridional,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Gurania,Gurania bignoniacea
1089189018,Brazil,-8.730556,-35.848611,1,2013,PRESERVED_SPECIMEN,JPB - Herbário Lauro Pires Xavier,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Gurania,Gurania bignoniacea
1089188948,Brazil,-8.714722,-35.842778,1,2013,PRESERVED_SPECIMEN,JPB - Herbário Lauro Pires Xavier,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Gurania,Gurania bignoniacea
