key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1090754055,Brazil,-20.096472,-58.051889,7,2013,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cyclanthera,Cyclanthera hystrix
1090753209,Brazil,-19.575556,-57.003056,6,2012,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cyclanthera,Cyclanthera hystrix
1090754162,Brazil,-19.57805,-57.017331,10,2012,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cyclanthera,Cyclanthera hystrix
1090748930,Brazil,-19.619528,-56.937781,6,2011,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cyclanthera,Cyclanthera hystrix
1837437920,Brazil,0,0,2,2009,PRESERVED_SPECIMEN,ICN - Herbário do Instituto de Ciências Naturais,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cyclanthera,Cyclanthera hystrix
1077472977,Brazil,-25.064583,-51.563889,2,2009,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cyclanthera,Cyclanthera hystrix
1077392377,Brazil,-28.080278,-49.406667,4,2009,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cyclanthera,Cyclanthera hystrix
1090744376,Brazil,-18.230833,-57.453611,6,2009,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cyclanthera,Cyclanthera hystrix
1090744229,Brazil,-18.489444,-57.446389,6,2009,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cyclanthera,Cyclanthera hystrix
1095346075,Brazil,-27.183333,-53.883333,8,2009,PRESERVED_SPECIMEN,ICN - Herbário do Instituto de Ciências Naturais,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cyclanthera,Cyclanthera hystrix
1095346074,Brazil,-27.183333,-53.883333,10,2009,PRESERVED_SPECIMEN,ICN - Herbário do Instituto de Ciências Naturais,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cyclanthera,Cyclanthera hystrix
