key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1095270640,Brazil,0,0,10,2009,PRESERVED_SPECIMEN,"EAFM - Herbário do Instituto Federal de Educação, Ciência e Tecnologia do Amazonas",Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Pleonotoma,Pleonotoma clematis
1424328448,Brazil,-8.583333,-67.582778,12,2009,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Pleonotoma,Pleonotoma clematis
1042658917,Brazil,,,7,2000,PRESERVED_SPECIMEN,"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Pleonotoma,Pleonotoma clematis
1089233700,Brazil,0,0,1,1999,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Pleonotoma,Pleonotoma clematis
1089243918,Brazil,-6.742222,-40.350278,5,1998,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Pleonotoma,Pleonotoma clematis
1089247270,Brazil,-6.742361,-40.350528,5,1998,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Pleonotoma,Pleonotoma clematis
1089227729,Brazil,0,0,4,1994,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Pleonotoma,Pleonotoma clematis
1252636041,Brazil,3.37,-61.43,1,1988,PRESERVED_SPECIMEN,,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Pleonotoma,Pleonotoma clematis
1258239419,Brazil,3.36666,-61.43333,1,1988,PRESERVED_SPECIMEN,Tropicos,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Pleonotoma,Pleonotoma clematis
1094767980,Brazil,-13.616667,-41.816667,12,1988,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Pleonotoma,Pleonotoma clematis
1258237881,Brazil,3.583333,-61.833333,3,1987,PRESERVED_SPECIMEN,Tropicos,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Pleonotoma,Pleonotoma clematis
1258239425,Brazil,3.58333,-61.83333,3,1987,PRESERVED_SPECIMEN,Tropicos,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Pleonotoma,Pleonotoma clematis
1258237870,Brazil,3.58333,-61.83333,3,1987,PRESERVED_SPECIMEN,Tropicos,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Pleonotoma,Pleonotoma clematis
1252636081,Brazil,3.58,-61.83,3,1987,PRESERVED_SPECIMEN,,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Pleonotoma,Pleonotoma clematis
1042709032,Brazil,,,3,1987,PRESERVED_SPECIMEN,"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Pleonotoma,Pleonotoma clematis
1252636050,Brazil,3.58,-61.83,3,1987,PRESERVED_SPECIMEN,,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Pleonotoma,Pleonotoma clematis
