key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1827466378,Brazil,-8.938611,-58.562778,10,2017,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Mauritiella,Mauritiella armata
1840926560,Brazil,-1.858583,-45.803806,11,2017,PRESERVED_SPECIMEN,MAR - Herbário do Maranhão,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Mauritiella,Mauritiella armata
1840926536,Brazil,-6.003667,-44.389222,3,2016,PRESERVED_SPECIMEN,MAR - Herbário do Maranhão,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Mauritiella,Mauritiella armata
1264708548,Brazil,0,0,8,2015,PRESERVED_SPECIMEN,UB - Herbário da Universidade de Brasília,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Mauritiella,Mauritiella armata
1264708687,Brazil,0,0,8,2015,PRESERVED_SPECIMEN,UB - Herbário da Universidade de Brasília,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Mauritiella,Mauritiella armata
1423900405,Brazil,,,10,2015,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Mauritiella,Mauritiella armata
1848245681,Brazil,-10.919444,-55.460833,10,2015,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Mauritiella,Mauritiella armata
1587329118,Brazil,-6.951389,-47.351666,10,2015,PRESERVED_SPECIMEN,CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Mauritiella,Mauritiella armata
1853945091,Brazil,-10.919444,-55.460833,10,2015,PRESERVED_SPECIMEN,CNMT - Herbário Centro Norte Mato Grossense,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Mauritiella,Mauritiella armata
1426660710,Brazil,-1.888056,-48.770278,,2015,PRESERVED_SPECIMEN,MFS - Herbário Profª. Drª. Marlene Freitas da Silva,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Mauritiella,Mauritiella armata
1077480009,Brazil,-13.656889,-60.715833,6,2014,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Mauritiella,Mauritiella armata
1095628699,Brazil,-13.676139,-47.798639,4,2013,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Mauritiella,Mauritiella armata
1424472976,Brazil,-9.634444,-65.043055,5,2013,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Mauritiella,Mauritiella armata
1090155594,Brazil,-1.619167,-48.976111,5,2012,PRESERVED_SPECIMEN,MFS - Herbário Profª. Drª. Marlene Freitas da Silva,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Mauritiella,Mauritiella armata
1314911477,Brazil,,,5,2012,UNKNOWN,,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Mauritiella,Mauritiella armata
1090155626,Brazil,-1.619167,-48.976111,5,2012,PRESERVED_SPECIMEN,MFS - Herbário Profª. Drª. Marlene Freitas da Silva,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Mauritiella,Mauritiella armata
1090155627,Brazil,-1.619167,-48.976111,5,2012,PRESERVED_SPECIMEN,MFS - Herbário Profª. Drª. Marlene Freitas da Silva,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Mauritiella,Mauritiella armata
1090155582,Brazil,-1.619167,-48.976111,5,2012,PRESERVED_SPECIMEN,MFS - Herbário Profª. Drª. Marlene Freitas da Silva,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Mauritiella,Mauritiella armata
