key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1042667403,Brazil,-4.197222,-60.11,7,2007,PRESERVED_SPECIMEN,"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Mauritia,Mauritia carana
1042467150,Brazil,-0.133333,-62.98,8,1996,PRESERVED_SPECIMEN,"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Mauritia,Mauritia carana
1042614025,Brazil,,,11,1996,PRESERVED_SPECIMEN,"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Mauritia,Mauritia carana
1098074349,Brazil,-2.454516,-60.025864,5,1985,PRESERVED_SPECIMEN,Vascular plants,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Mauritia,Mauritia carana
1042490741,Brazil,,,5,1985,PRESERVED_SPECIMEN,"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Mauritia,Mauritia carana
1042535584,Brazil,-2.833333,-60.17,5,1985,PRESERVED_SPECIMEN,"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Mauritia,Mauritia carana
1097698833,Brazil,-2.973581,-60.01574,3,1967,PRESERVED_SPECIMEN,Vascular plants,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Mauritia,Mauritia carana
1042573933,Brazil,,,3,1967,PRESERVED_SPECIMEN,"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Mauritia,Mauritia carana
1848908080,Brazil,-10,-55,11,1928,PRESERVED_SPECIMEN,,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Mauritia,Mauritia carana
1848908159,Brazil,-10,-55,11,1928,PRESERVED_SPECIMEN,,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Mauritia,Mauritia carana
178138138,Brazil,,,5,1927,PRESERVED_SPECIMEN,,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Mauritia,Mauritia carana
465163124,Brazil,,,,,PRESERVED_SPECIMEN,,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Mauritia,Mauritia carana
911793397,Brazil,,,,,PRESERVED_SPECIMEN,,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Mauritia,Mauritia carana
911793384,Brazil,,,,,PRESERVED_SPECIMEN,,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Mauritia,Mauritia carana
1098166339,Brazil,0,0,,,PRESERVED_SPECIMEN,Vascular plants,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Mauritia,Mauritia carana
