key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1676473906,Brazil,-20.558,-54.788028,4,2015,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Dioscoreales,Burmanniaceae,Burmannia,Burmannia flava
1213670039,Brazil,-10.86275,-46.616167,6,2015,PRESERVED_SPECIMEN,UB - Herbário da Universidade de Brasília,Plantae,Tracheophyta,Liliopsida,Dioscoreales,Burmanniaceae,Burmannia,Burmannia flava
1213670226,Brazil,-10.613472,-46.529167,6,2015,PRESERVED_SPECIMEN,UB - Herbário da Universidade de Brasília,Plantae,Tracheophyta,Liliopsida,Dioscoreales,Burmanniaceae,Burmannia,Burmannia flava
1213670138,Brazil,0,0,6,2015,PRESERVED_SPECIMEN,UB - Herbário da Universidade de Brasília,Plantae,Tracheophyta,Liliopsida,Dioscoreales,Burmanniaceae,Burmannia,Burmannia flava
1213670118,Brazil,0,0,6,2015,PRESERVED_SPECIMEN,UB - Herbário da Universidade de Brasília,Plantae,Tracheophyta,Liliopsida,Dioscoreales,Burmanniaceae,Burmannia,Burmannia flava
1143412643,Brazil,-19.085,-48.040833,4,2014,PRESERVED_SPECIMEN,HUFU - Herbarium Uberlandense,Plantae,Tracheophyta,Liliopsida,Dioscoreales,Burmanniaceae,Burmannia,Burmannia flava
1135949668,Brazil,,,2,2013,PRESERVED_SPECIMEN,ESA - Herbário da Escola Superior de Agricultura Luiz de Queiroz,Plantae,Tracheophyta,Liliopsida,Dioscoreales,Burmanniaceae,Burmannia,Burmannia flava
1095629857,Brazil,-8.737817,-45.868033,5,2013,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Liliopsida,Dioscoreales,Burmanniaceae,Burmannia,Burmannia flava
1913569232,Brazil,-6.041667,-50.207778,3,2012,PRESERVED_SPECIMEN,BHCB - Herbário da Universidade Federal de Minas Gerais,Plantae,Tracheophyta,Liliopsida,Dioscoreales,Burmanniaceae,Burmannia,Burmannia flava
1913568640,Brazil,-6.157778,-50.170278,3,2012,PRESERVED_SPECIMEN,BHCB - Herbário da Universidade Federal de Minas Gerais,Plantae,Tracheophyta,Liliopsida,Dioscoreales,Burmanniaceae,Burmannia,Burmannia flava
1213656471,Brazil,-13.778333,-42.342222,3,2012,PRESERVED_SPECIMEN,UB - Herbário da Universidade de Brasília,Plantae,Tracheophyta,Liliopsida,Dioscoreales,Burmanniaceae,Burmannia,Burmannia flava
1913568642,Brazil,-6.390556,-50.371667,3,2012,PRESERVED_SPECIMEN,BHCB - Herbário da Universidade Federal de Minas Gerais,Plantae,Tracheophyta,Liliopsida,Dioscoreales,Burmanniaceae,Burmannia,Burmannia flava
