key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1571562078,Brazil,0,0,4,2017,PRESERVED_SPECIMEN,ICN - Herbário do Instituto de Ciências Naturais,Plantae,Tracheophyta,Liliopsida,Dioscoreales,Burmanniaceae,Burmannia,Burmannia australis
1324597914,Brazil,-29.511892,-49.862311,5,2017,PRESERVED_SPECIMEN,MPUC - Herbário do Museu da Pontifícia Universidade Católica do Rio Grande do Sul,Plantae,Tracheophyta,Liliopsida,Dioscoreales,Burmanniaceae,Burmannia,Burmannia australis
1503028882,Brazil,-11.591111,-41.209444,9,2016,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Liliopsida,Dioscoreales,Burmanniaceae,Burmannia,Burmannia australis
1563169965,Brazil,,,11,2016,PRESERVED_SPECIMEN,HAS - Herbário Alarich Rudolf Holger Schultz,Plantae,Tracheophyta,Liliopsida,Dioscoreales,Burmanniaceae,Burmannia,Burmannia australis
1077506212,Brazil,-33.656403,-53.273442,3,2014,PRESERVED_SPECIMEN,HUCS - Herbário da Universidade de Caxias do Sul,Plantae,Tracheophyta,Liliopsida,Dioscoreales,Burmanniaceae,Burmannia,Burmannia australis
1099619838,Brazil,-29.885056,-50.270472,11,2014,PRESERVED_SPECIMEN,HUCS - Herbário da Universidade de Caxias do Sul,Plantae,Tracheophyta,Liliopsida,Dioscoreales,Burmanniaceae,Burmannia,Burmannia australis
1500373084,Brazil,-25.423611,-51.803333,12,2013,PRESERVED_SPECIMEN,ICN - Herbário do Instituto de Ciências Naturais,Plantae,Tracheophyta,Liliopsida,Dioscoreales,Burmanniaceae,Burmannia,Burmannia australis
1848247673,Brazil,-25.423556,-51.803222,12,2013,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Liliopsida,Dioscoreales,Burmanniaceae,Burmannia,Burmannia australis
1077371892,Brazil,,,6,2011,PRESERVED_SPECIMEN,FLOR - Herbário do Departamento de Botânica da Universidade Federal de Santa Catarina,Plantae,Tracheophyta,Liliopsida,Dioscoreales,Burmanniaceae,Burmannia,Burmannia australis
1077504711,Brazil,0,0,12,2011,PRESERVED_SPECIMEN,HUCS - Herbário da Universidade de Caxias do Sul,Plantae,Tracheophyta,Liliopsida,Dioscoreales,Burmanniaceae,Burmannia,Burmannia australis
1585208014,Brazil,-30.336111,-50.298611,12,2011,PRESERVED_SPECIMEN,HAS - Herbário Alarich Rudolf Holger Schultz,Plantae,Tracheophyta,Liliopsida,Dioscoreales,Burmanniaceae,Burmannia,Burmannia australis
1090852002,Brazil,0,0,12,2011,PRESERVED_SPECIMEN,VIC - Herbário da Universidade Federal de Viçosa,Plantae,Tracheophyta,Liliopsida,Dioscoreales,Burmanniaceae,Burmannia,Burmannia australis
1087509395,Brazil,,,12,2011,PRESERVED_SPECIMEN,BOTU - Herbário Irina Delanova Gemtchújnicov,Plantae,Tracheophyta,Liliopsida,Dioscoreales,Burmanniaceae,Burmannia,Burmannia australis
1137769928,Brazil,-13.127778,-41.373056,7,2009,PRESERVED_SPECIMEN,,Plantae,Tracheophyta,Liliopsida,Dioscoreales,Burmanniaceae,Burmannia,Burmannia australis
1257634069,Brazil,,,8,2009,PRESERVED_SPECIMEN,Tropicos,Plantae,Tracheophyta,Liliopsida,Dioscoreales,Burmanniaceae,Burmannia,Burmannia australis
1095331393,Brazil,-30.358889,-50.995278,4,2007,PRESERVED_SPECIMEN,ICN - Herbário do Instituto de Ciências Naturais,Plantae,Tracheophyta,Liliopsida,Dioscoreales,Burmanniaceae,Burmannia,Burmannia australis
1095328044,Brazil,0,0,6,2006,PRESERVED_SPECIMEN,ICN - Herbário do Instituto de Ciências Naturais,Plantae,Tracheophyta,Liliopsida,Dioscoreales,Burmanniaceae,Burmannia,Burmannia australis
1094813912,Brazil,-12.585833,-41.391944,5,2005,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Liliopsida,Dioscoreales,Burmanniaceae,Burmannia,Burmannia australis
1094814650,Brazil,-12.585833,-41.391667,6,2005,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Liliopsida,Dioscoreales,Burmanniaceae,Burmannia,Burmannia australis
1802955799,Brazil,,,5,2004,PRESERVED_SPECIMEN,PACA-AGP - Herbarium Anchieta,Plantae,Tracheophyta,Liliopsida,Dioscoreales,Burmanniaceae,Burmannia,Burmannia australis
1095317272,Brazil,0,0,5,2004,PRESERVED_SPECIMEN,ICN - Herbário do Instituto de Ciências Naturais,Plantae,Tracheophyta,Liliopsida,Dioscoreales,Burmanniaceae,Burmannia,Burmannia australis
1077358272,Brazil,,,8,2004,PRESERVED_SPECIMEN,FLOR - Herbário do Departamento de Botânica da Universidade Federal de Santa Catarina,Plantae,Tracheophyta,Liliopsida,Dioscoreales,Burmanniaceae,Burmannia,Burmannia australis
1913602807,Brazil,-27.592222,-48.48,8,2004,PRESERVED_SPECIMEN,CRI - Herbário Pe. Dr. Raulino Reitz,Plantae,Tracheophyta,Liliopsida,Dioscoreales,Burmanniaceae,Burmannia,Burmannia australis
