key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1883786060,Brazil,-7,-49,5,2017,PRESERVED_SPECIMEN,ASE - Herbário da Universidade Federal de Sergipe,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Limnocharis,Limnocharis flava
1848117751,Brazil,-7,-49,5,2017,PRESERVED_SPECIMEN,MFS - Herbário Profª. Drª. Marlene Freitas da Silva,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Limnocharis,Limnocharis flava
1671186766,Brazil,-22.514167,-42.714444,7,2017,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Limnocharis,Limnocharis flava
1413715190,Brazil,-1.322949,-48.245864,5,2016,PRESERVED_SPECIMEN,HBRA - Herbário do Instituto de Estudos Costeiros da Universidade Federal do Pará,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Limnocharis,Limnocharis flava
1889178994,Brazil,-8,-35,7,2016,PRESERVED_SPECIMEN,JPB - Herbário Lauro Pires Xavier,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Limnocharis,Limnocharis flava
1848742162,Brazil,,,2,2015,PRESERVED_SPECIMEN,R - Herbário do Museu Nacional,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Limnocharis,Limnocharis flava
1848742271,Brazil,,,4,2015,PRESERVED_SPECIMEN,R - Herbário do Museu Nacional,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Limnocharis,Limnocharis flava
1848742278,Brazil,,,4,2015,PRESERVED_SPECIMEN,R - Herbário do Museu Nacional,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Limnocharis,Limnocharis flava
1424731070,Brazil,-22.828056,-42.656389,8,2015,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Limnocharis,Limnocharis flava
1424731087,Brazil,-22.828056,-42.656389,8,2015,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Limnocharis,Limnocharis flava
1435461995,Brazil,-22.593889,-43.033889,11,2015,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Limnocharis,Limnocharis flava
1563169048,Brazil,,,2,2014,PRESERVED_SPECIMEN,PEUFR - Herbário Professor Vasconcelos Sobrinho,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Limnocharis,Limnocharis flava
1086733372,Brazil,-9.753056,-41.356944,2,2014,PRESERVED_SPECIMEN,HTSA - Herbário do Trópico Semiárido,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Limnocharis,Limnocharis flava
1086733358,Brazil,-9.753056,-41.356944,3,2014,PRESERVED_SPECIMEN,HTSA - Herbário do Trópico Semiárido,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Limnocharis,Limnocharis flava
1086733357,Brazil,-9.776667,-41.356389,3,2014,PRESERVED_SPECIMEN,HTSA - Herbário do Trópico Semiárido,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Limnocharis,Limnocharis flava
1086733309,Brazil,-9.7725,-41.357222,3,2014,PRESERVED_SPECIMEN,HTSA - Herbário do Trópico Semiárido,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Limnocharis,Limnocharis flava
