key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1853942936,Brazil,-28.053836,-53.082631,1,2017,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus floribundus
1702645049,Brazil,-20,-41,3,2015,PRESERVED_SPECIMEN,VIC - Herbário da Universidade Federal de Viçosa,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus floribundus
1234559016,Brazil,-22.783333,-47.1,6,2013,PRESERVED_SPECIMEN,UEC - Herbário da Universidade Estadual de Campinas,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus floribundus
1090755117,Brazil,-16.823064,-57.558028,11,2013,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus floribundus
1077422169,Brazil,-27.036944,-49.559167,12,2013,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus floribundus
1234560180,Brazil,0,0,7,2012,PRESERVED_SPECIMEN,UEC - Herbário da Universidade Estadual de Campinas,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus floribundus
1090748102,Brazil,-22.229278,-54.831389,2,2011,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus floribundus
1042696650,Brazil,-9.991667,-56.13,9,2011,PRESERVED_SPECIMEN,"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus floribundus
1090748081,Brazil,-22.186444,-54.825361,8,2010,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus floribundus
1801178269,Brazil,-20.671361,-53.650472,2,2008,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus floribundus
