key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1438030343,Brazil,-22.933139,-53.654194,11,2015,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus longiscapus
1090761976,Brazil,-19.487833,-57.031667,12,2014,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus longiscapus
1303590722,Brazil,-19.3984,-57.042703,12,2014,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus longiscapus
1099622577,Brazil,-19.588578,-57.060078,10,2013,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus longiscapus
1095368695,Brazil,0,0,4,2012,PRESERVED_SPECIMEN,ICN - Herbário do Instituto de Ciências Naturais,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus longiscapus
1853942459,Brazil,-19.5645,-57.017972,10,2012,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus longiscapus
1090748923,Brazil,-19.482333,-57.019083,6,2011,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus longiscapus
1099622452,Brazil,-19.480667,-57.019083,7,2011,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus longiscapus
1095368682,Brazil,0,0,9,2011,PRESERVED_SPECIMEN,ICN - Herbário do Instituto de Ciências Naturais,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus longiscapus
1303590860,Brazil,-19.446361,-57.074333,3,2005,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus longiscapus
1077444540,Brazil,,,12,2005,PRESERVED_SPECIMEN,HAS - Herbário Alarich Rudolf Holger Schultz,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus longiscapus
1077444448,Brazil,,,12,2005,PRESERVED_SPECIMEN,HAS - Herbário Alarich Rudolf Holger Schultz,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus longiscapus
1316170798,Brazil,,,,2004,PRESERVED_SPECIMEN,HAS - Herbário Alarich Rudolf Holger Schultz,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus longiscapus
1303591263,Brazil,-21.266083,-56.558861,4,2003,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus longiscapus
1303591247,Brazil,-21.254972,-56.558861,8,2002,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus longiscapus
1303591273,Brazil,-18.562833,-56.883167,9,2002,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus longiscapus
1087484976,Brazil,,,12,2000,PRESERVED_SPECIMEN,HPBR - Herbário Padre Balduino Rambo,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus longiscapus
1089274214,Brazil,0,0,10,1999,PRESERVED_SPECIMEN,HUEM - Herbário UEM,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus longiscapus
1090732980,Brazil,,,,1999,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus longiscapus
1089266469,Brazil,0,0,7,1998,PRESERVED_SPECIMEN,HUEM - Herbário UEM,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus longiscapus
1090727010,Brazil,,,7,1995,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus longiscapus
1090726999,Brazil,,,7,1995,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus longiscapus
1090727004,Brazil,,,7,1995,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus longiscapus
1077317114,Brazil,-19.583333,-57.183333,8,1994,PRESERVED_SPECIMEN,CPAP - Herbário CPAP,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus longiscapus
1077317292,Brazil,-17.8,-56.75,11,1994,PRESERVED_SPECIMEN,CPAP - Herbário CPAP,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus longiscapus
1077312742,Brazil,-19.483333,-56.383333,2,1991,PRESERVED_SPECIMEN,CPAP - Herbário CPAP,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus longiscapus
1077313257,Brazil,-19.483333,-56.383333,7,1991,PRESERVED_SPECIMEN,CPAP - Herbário CPAP,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus longiscapus
1077310987,Brazil,,,4,1989,PRESERVED_SPECIMEN,CPAP - Herbário CPAP,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus longiscapus
1077310729,Brazil,-19.633333,-57.166667,6,1989,PRESERVED_SPECIMEN,CPAP - Herbário CPAP,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus longiscapus
1077311484,Brazil,-19.233333,-51.05,9,1989,PRESERVED_SPECIMEN,CPAP - Herbário CPAP,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus longiscapus
1077311527,Brazil,-19.233333,-51.05,10,1989,PRESERVED_SPECIMEN,CPAP - Herbário CPAP,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus longiscapus
1077312153,Brazil,-19.85,-55.966667,11,1989,PRESERVED_SPECIMEN,CPAP - Herbário CPAP,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus longiscapus
1077310308,Brazil,-19.233333,-51.05,5,1988,PRESERVED_SPECIMEN,CPAP - Herbário CPAP,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus longiscapus
1077315528,Brazil,-19.533333,-57.266667,10,1987,PRESERVED_SPECIMEN,CPAP - Herbário CPAP,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus longiscapus
1090724643,Brazil,,,9,1986,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus longiscapus
1872034024,Brazil,0,0,1,1985,PRESERVED_SPECIMEN,ICN - Herbário do Instituto de Ciências Naturais,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus longiscapus
1872033982,Brazil,0,0,1,1985,PRESERVED_SPECIMEN,ICN - Herbário do Instituto de Ciências Naturais,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus longiscapus
1872033902,Brazil,0,0,1,1985,PRESERVED_SPECIMEN,ICN - Herbário do Instituto de Ciências Naturais,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus longiscapus
1872033962,Brazil,0,0,2,1984,PRESERVED_SPECIMEN,ICN - Herbário do Instituto de Ciências Naturais,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus longiscapus
1872034042,Brazil,0,0,2,1984,PRESERVED_SPECIMEN,ICN - Herbário do Instituto de Ciências Naturais,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus longiscapus
1872033969,Brazil,0,0,4,1984,PRESERVED_SPECIMEN,ICN - Herbário do Instituto de Ciências Naturais,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus longiscapus
1872033953,Brazil,0,0,4,1984,PRESERVED_SPECIMEN,ICN - Herbário do Instituto de Ciências Naturais,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus longiscapus
1872033965,Brazil,0,0,4,1984,PRESERVED_SPECIMEN,ICN - Herbário do Instituto de Ciências Naturais,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus longiscapus
1872034046,Brazil,0,0,4,1984,PRESERVED_SPECIMEN,ICN - Herbário do Instituto de Ciências Naturais,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus longiscapus
1872034032,Brazil,0,0,4,1984,PRESERVED_SPECIMEN,ICN - Herbário do Instituto de Ciências Naturais,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus longiscapus
