key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1829085114,Brazil,-3.642778,-40.297222,5,2016,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella welwitschii
1303206448,Brazil,-6.399167,-39.168056,5,2015,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella welwitschii
1264694417,Brazil,-7.078611,-39.490556,6,2015,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella welwitschii
1264694535,Brazil,-7.139167,-39.326111,6,2015,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella welwitschii
1264694514,Brazil,-6.790833,-39.333056,6,2015,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella welwitschii
1837382862,Brazil,-20.932444,-57.825472,7,2013,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella welwitschii
1837382882,Brazil,-20.102364,-58.041364,7,2013,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella welwitschii
1840931997,Brazil,0,0,4,2012,PRESERVED_SPECIMEN,UFP - Herbário UFP - Geraldo Mariz,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella welwitschii
1840931994,Brazil,0,0,6,2012,PRESERVED_SPECIMEN,UFP - Herbário UFP - Geraldo Mariz,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella welwitschii
1829083921,Brazil,-8.007778,-34.948611,2,2011,PRESERVED_SPECIMEN,IPA - Herbário - IPA Dárdano de Andrade Lima,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella welwitschii
1840931814,Brazil,0,0,2,2011,PRESERVED_SPECIMEN,UFP - Herbário UFP - Geraldo Mariz,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella welwitschii
1089257314,Brazil,-4.654278,-37.3585,10,2011,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella welwitschii
1089254641,Brazil,0,0,11,2010,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella welwitschii
1658210716,Brazil,-8.355444,-39.305444,12,2010,PRESERVED_SPECIMEN,HVASF - Herbário Vale do São Francisco,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella welwitschii
1077576944,Brazil,-8.057389,-34.952472,6,2009,PRESERVED_SPECIMEN,IPA - Herbário - IPA Dárdano de Andrade Lima,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella welwitschii
1424298271,Brazil,,,6,2009,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella welwitschii
1090761214,Brazil,-18.453222,-57.447556,6,2009,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella welwitschii
1840931550,Brazil,0,0,6,2009,PRESERVED_SPECIMEN,UFP - Herbário UFP - Geraldo Mariz,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella welwitschii
1090761173,Brazil,-18.024944,-57.486833,6,2009,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella welwitschii
1840931564,Brazil,-8.248611,-35.906944,9,2009,PRESERVED_SPECIMEN,UFP - Herbário UFP - Geraldo Mariz,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella welwitschii
1840931238,Brazil,0,0,8,2006,PRESERVED_SPECIMEN,UFP - Herbário UFP - Geraldo Mariz,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella welwitschii
1077363854,Brazil,-8.055278,-34.918611,8,2006,PRESERVED_SPECIMEN,FLOR - Herbário do Departamento de Botânica da Universidade Federal de Santa Catarina,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella welwitschii
1890642157,Brazil,,,1,2005,PRESERVED_SPECIMEN,R - Herbário do Museu Nacional,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella welwitschii
1094810761,Brazil,-7.254167,-40.851389,8,2004,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella welwitschii
1420319057,Brazil,-17.92275,-57.635667,4,2003,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella welwitschii
1077321009,Brazil,-18.989444,-56.623333,7,1998,PRESERVED_SPECIMEN,CPAP - Herbário CPAP,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella welwitschii
1077321992,Brazil,-18.998889,-56.663611,10,1998,PRESERVED_SPECIMEN,CPAP - Herbário CPAP,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella welwitschii
1077322011,Brazil,-18.993333,-56.656667,10,1998,PRESERVED_SPECIMEN,CPAP - Herbário CPAP,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella welwitschii
1094745074,Brazil,-12.216667,-39.1,10,1996,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella welwitschii
1077317385,Brazil,-19.252778,-57.002778,2,1995,PRESERVED_SPECIMEN,CPAP - Herbário CPAP,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella welwitschii
