key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1853942724,Brazil,-19.021139,-57.515139,8,2015,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella oblonga
1853942525,Brazil,-21.631269,-57.825283,9,2015,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella oblonga
1587297951,Brazil,,,4,2014,PRESERVED_SPECIMEN,UPCB - Herbário do Departamento de Botânica,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella oblonga
1213673795,Brazil,0,0,6,2013,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella oblonga
1837382877,Brazil,-20.097944,-58.040528,7,2013,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella oblonga
1848242865,Brazil,0,0,5,2009,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella oblonga
1090159081,Brazil,0,0,5,2009,PRESERVED_SPECIMEN,IRAI - Herbário do Parque da Ciência Newton Freire Maia,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella oblonga
1675532455,Brazil,0,0,5,2009,PRESERVED_SPECIMEN,,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella oblonga
1090740953,Brazil,-17.702806,-57.341667,7,2008,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella oblonga
1094810708,Brazil,-11.471389,-38.788333,7,2004,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella oblonga
1094810750,Brazil,-11.471389,-38.788333,7,2004,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella oblonga
1094810769,Brazil,-12.275556,-39.052778,9,2004,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella oblonga
1086669883,Brazil,,,10,2004,PRESERVED_SPECIMEN,UPCB - Herbário do Departamento de Botânica,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella oblonga
1094810764,Brazil,-12.243333,-39.075556,11,2004,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella oblonga
1094810748,Brazil,-12.243333,-39.075556,11,2004,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella oblonga
1077321579,Brazil,-18.566667,-57.566667,6,1998,PRESERVED_SPECIMEN,CPAP - Herbário CPAP,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella oblonga
197250349,Brazil,-19.616,-56.941,8,1998,HUMAN_OBSERVATION,,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella oblonga
1077319751,Brazil,-17.845556,-57.403056,8,1996,PRESERVED_SPECIMEN,CPAP - Herbário CPAP,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella oblonga
1077318087,Brazil,-27.5,-53.466667,7,1995,PRESERVED_SPECIMEN,CPAP - Herbário CPAP,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella oblonga
1077317897,Brazil,,,7,1994,PRESERVED_SPECIMEN,CPAP - Herbário CPAP,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella oblonga
1077317057,Brazil,-19.016667,-57.5,8,1994,PRESERVED_SPECIMEN,CPAP - Herbário CPAP,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella oblonga
1077315020,Brazil,-19.516667,-57.55,2,1993,PRESERVED_SPECIMEN,CPAP - Herbário CPAP,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella oblonga
1077314643,Brazil,-19.433333,-57.483333,2,1993,PRESERVED_SPECIMEN,CPAP - Herbário CPAP,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella oblonga
1077315448,Brazil,-16.033333,-57.683333,4,1993,PRESERVED_SPECIMEN,CPAP - Herbário CPAP,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella oblonga
1077314648,Brazil,-16.316667,-56.533333,4,1993,PRESERVED_SPECIMEN,CPAP - Herbário CPAP,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella oblonga
1077315498,Brazil,-16.183333,-55.933333,4,1993,PRESERVED_SPECIMEN,CPAP - Herbário CPAP,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella oblonga
1077315514,Brazil,-20.183333,-56.483333,4,1993,PRESERVED_SPECIMEN,CPAP - Herbário CPAP,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella oblonga
1077315064,Brazil,-19.216667,-57.716667,5,1993,PRESERVED_SPECIMEN,CPAP - Herbário CPAP,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella oblonga
1077315702,Brazil,-18.916667,-56.433333,6,1993,PRESERVED_SPECIMEN,CPAP - Herbário CPAP,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella oblonga
1890640988,Brazil,-18.916667,-56.433333,6,1993,PRESERVED_SPECIMEN,R - Herbário do Museu Nacional,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella oblonga
1889172221,Brazil,-18.916667,-56.433333,6,1993,PRESERVED_SPECIMEN,"SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas",Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella oblonga
1077315030,Brazil,,,11,1993,PRESERVED_SPECIMEN,CPAP - Herbário CPAP,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella oblonga
1077314084,Brazil,-20.183333,-56.483333,7,1992,PRESERVED_SPECIMEN,CPAP - Herbário CPAP,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella oblonga
1077314075,Brazil,-20.183333,-56.483333,7,1992,PRESERVED_SPECIMEN,CPAP - Herbário CPAP,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella oblonga
1570758966,Brazil,-20.183333,-56.483333,7,1992,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella oblonga
1638347853,Brazil,-20.183333,-56.483333,7,1992,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella oblonga
1077314436,Brazil,-19.2,-57.316667,7,1992,PRESERVED_SPECIMEN,CPAP - Herbário CPAP,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella oblonga
1077314068,Brazil,-20.033333,-56.816667,7,1992,PRESERVED_SPECIMEN,CPAP - Herbário CPAP,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella oblonga
1077315038,Brazil,-19.033333,-57.516667,8,1992,PRESERVED_SPECIMEN,CPAP - Herbário CPAP,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella oblonga
1077314931,Brazil,-19.466667,-57.45,8,1992,PRESERVED_SPECIMEN,CPAP - Herbário CPAP,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella oblonga
1077314952,Brazil,-19.516667,-57.55,8,1992,PRESERVED_SPECIMEN,CPAP - Herbário CPAP,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella oblonga
1077315012,Brazil,-16.366667,-56.316667,8,1992,PRESERVED_SPECIMEN,CPAP - Herbário CPAP,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella oblonga
1077314908,Brazil,-19.666667,-57,8,1992,PRESERVED_SPECIMEN,CPAP - Herbário CPAP,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella oblonga
1077314930,Brazil,-19.533333,-57.266667,8,1992,PRESERVED_SPECIMEN,CPAP - Herbário CPAP,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella oblonga
1077314945,Brazil,-19.516667,-57.55,10,1992,PRESERVED_SPECIMEN,CPAP - Herbário CPAP,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella oblonga
1077314942,Brazil,-19.516667,-57.55,10,1992,PRESERVED_SPECIMEN,CPAP - Herbário CPAP,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella oblonga
1095504956,Brazil,-19.516667,-57.55,10,1992,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella oblonga
1077314947,Brazil,-19.016667,-57.683333,10,1992,PRESERVED_SPECIMEN,CPAP - Herbário CPAP,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella oblonga
1086627534,Brazil,,,10,1992,PRESERVED_SPECIMEN,UPCB - Herbário do Departamento de Botânica,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella oblonga
1077314963,Brazil,-19.316667,-57.616667,11,1992,PRESERVED_SPECIMEN,CPAP - Herbário CPAP,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella oblonga
1424206773,Brazil,-19.316667,-57.616667,11,1992,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella oblonga
1077309079,Brazil,-19.633333,-57.166667,9,1987,PRESERVED_SPECIMEN,CPAP - Herbário CPAP,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella oblonga
