key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1275068517,Brazil,-20.301389,-55.864444,3,2016,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella lingulata
1853942606,Brazil,-19.085472,-57.521056,8,2015,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella lingulata
1848742287,Brazil,,,10,2014,PRESERVED_SPECIMEN,R - Herbário do Museu Nacional,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella lingulata
1499624469,Brazil,-20.301389,-55.864444,4,2013,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella lingulata
1837382863,Brazil,-20.097944,-58.040528,7,2013,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella lingulata
1658211251,Brazil,-8.285722,-39.356806,2,2012,PRESERVED_SPECIMEN,HVASF - Herbário Vale do São Francisco,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella lingulata
1658210974,Brazil,-8.364333,-39.306361,7,2011,PRESERVED_SPECIMEN,HVASF - Herbário Vale do São Francisco,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella lingulata
1658210968,Brazil,-8.362,-39.309167,7,2011,PRESERVED_SPECIMEN,HVASF - Herbário Vale do São Francisco,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella lingulata
1658210976,Brazil,-8.285694,-39.356917,7,2011,PRESERVED_SPECIMEN,HVASF - Herbário Vale do São Francisco,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella lingulata
1658210745,Brazil,-8.355444,-39.305444,12,2010,PRESERVED_SPECIMEN,HVASF - Herbário Vale do São Francisco,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffiella,Wolffiella lingulata
