key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1913573416,Brazil,-18.116936,-53.706744,10,2017,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffia,Wolffia brasiliensis
1806846783,Brazil,-18.116861,-53.706694,10,2017,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffia,Wolffia brasiliensis
1213520546,Brazil,-9.435556,-38.566944,6,2015,PRESERVED_SPECIMEN,MAC - Herbário do Instituto do Meio Ambiente do Estado de Alagoas,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffia,Wolffia brasiliensis
1234553913,Brazil,-27.040886,-51.227044,6,2014,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffia,Wolffia brasiliensis
1234553910,Brazil,-26.9388,-51.183564,6,2014,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffia,Wolffia brasiliensis
1234553922,Brazil,-26.983614,-51.195639,6,2014,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffia,Wolffia brasiliensis
1094914106,Brazil,-11.691667,-40.819444,7,2013,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffia,Wolffia brasiliensis
1658211328,Brazil,-7.876444,-37.228361,3,2012,PRESERVED_SPECIMEN,HVASF - Herbário Vale do São Francisco,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffia,Wolffia brasiliensis
1087694033,Brazil,-9.4114,-37.4053,3,2012,PRESERVED_SPECIMEN,ASE - Herbário da Universidade Federal de Sergipe,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffia,Wolffia brasiliensis
1099622498,Brazil,-9.687222,-37.681389,4,2012,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffia,Wolffia brasiliensis
1087694032,Brazil,-9.4114,-37.4053,4,2012,PRESERVED_SPECIMEN,ASE - Herbário da Universidade Federal de Sergipe,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffia,Wolffia brasiliensis
1099622491,Brazil,-9.676944,-37.681111,6,2012,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffia,Wolffia brasiliensis
1087694030,Brazil,-9.4037,-37.4052,6,2012,PRESERVED_SPECIMEN,ASE - Herbário da Universidade Federal de Sergipe,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffia,Wolffia brasiliensis
1087694191,Brazil,-9.4037,-37.4052,6,2012,PRESERVED_SPECIMEN,ASE - Herbário da Universidade Federal de Sergipe,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffia,Wolffia brasiliensis
1099622486,Brazil,-9.676944,-37.681111,7,2012,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffia,Wolffia brasiliensis
1087694151,Brazil,-9.4114,-37.4053,7,2012,PRESERVED_SPECIMEN,ASE - Herbário da Universidade Federal de Sergipe,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffia,Wolffia brasiliensis
1087694144,Brazil,-9.4037,-37.4052,7,2012,PRESERVED_SPECIMEN,ASE - Herbário da Universidade Federal de Sergipe,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffia,Wolffia brasiliensis
1087694027,Brazil,-9.4037,-37.4052,7,2012,PRESERVED_SPECIMEN,ASE - Herbário da Universidade Federal de Sergipe,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffia,Wolffia brasiliensis
1087694038,Brazil,-9.4114,-37.4053,7,2012,PRESERVED_SPECIMEN,ASE - Herbário da Universidade Federal de Sergipe,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffia,Wolffia brasiliensis
1087694040,Brazil,-9.4114,-37.4053,8,2012,PRESERVED_SPECIMEN,ASE - Herbário da Universidade Federal de Sergipe,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffia,Wolffia brasiliensis
1087694023,Brazil,-9.4037,-37.4052,8,2012,PRESERVED_SPECIMEN,ASE - Herbário da Universidade Federal de Sergipe,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffia,Wolffia brasiliensis
1087694175,Brazil,-9.4037,-37.4052,8,2012,PRESERVED_SPECIMEN,ASE - Herbário da Universidade Federal de Sergipe,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffia,Wolffia brasiliensis
1099622522,Brazil,-9.676944,-37.681111,8,2012,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffia,Wolffia brasiliensis
1853942265,Brazil,-20.134722,-56.645,10,2012,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffia,Wolffia brasiliensis
1913569490,Brazil,-6.471111,-50.338056,12,2012,PRESERVED_SPECIMEN,BHCB - Herbário da Universidade Federal de Minas Gerais,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffia,Wolffia brasiliensis
1090748755,Brazil,-20.898,-56.541306,7,2011,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffia,Wolffia brasiliensis
1303590500,Brazil,-20.898,-56.541306,7,2011,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffia,Wolffia brasiliensis
1658211000,Brazil,-7.560667,-38.820139,8,2011,PRESERVED_SPECIMEN,HVASF - Herbário Vale do São Francisco,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffia,Wolffia brasiliensis
1143428918,Brazil,-11.806111,-39.359444,12,2011,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffia,Wolffia brasiliensis
1890642197,Brazil,,,2,2010,PRESERVED_SPECIMEN,R - Herbário do Museu Nacional,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffia,Wolffia brasiliensis
1094883998,Brazil,-12.248056,-39.811944,6,2010,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffia,Wolffia brasiliensis
