key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1303206422,Brazil,-6.4,-39.170556,5,2015,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffia,Wolffia columbiana
1303206416,Brazil,-6.424722,-39.148056,5,2015,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffia,Wolffia columbiana
1264694459,Brazil,-6.790833,-39.333056,6,2015,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffia,Wolffia columbiana
1095854444,Brazil,-12.470278,-40.978028,12,2014,PRESERVED_SPECIMEN,HUESB - Herbário da Universidade Estadual do Sudoeste da Bahia,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffia,Wolffia columbiana
1087694399,Brazil,-9.4114,-37.4053,11,2013,PRESERVED_SPECIMEN,ASE - Herbário da Universidade Federal de Sergipe,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffia,Wolffia columbiana
1099622510,Brazil,-9.687222,-37.681389,3,2012,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffia,Wolffia columbiana
1087694045,Brazil,-9.4114,-37.4053,3,2012,PRESERVED_SPECIMEN,ASE - Herbário da Universidade Federal de Sergipe,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffia,Wolffia columbiana
1087694016,Brazil,-9.4114,-37.4053,4,2012,PRESERVED_SPECIMEN,ASE - Herbário da Universidade Federal de Sergipe,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffia,Wolffia columbiana
1087694037,Brazil,-9.4037,-37.4052,6,2012,PRESERVED_SPECIMEN,ASE - Herbário da Universidade Federal de Sergipe,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffia,Wolffia columbiana
1087694165,Brazil,-9.4037,-37.4052,6,2012,PRESERVED_SPECIMEN,ASE - Herbário da Universidade Federal de Sergipe,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffia,Wolffia columbiana
