key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1424216295,Brazil,-8.555556,-67.750833,5,2005,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Dracontium,Dracontium longipes
1042557971,Brazil,,,2,2001,PRESERVED_SPECIMEN,"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Dracontium,Dracontium longipes
1098469977,Brazil,0,0,2,2001,PRESERVED_SPECIMEN,UFMT - Herbário UFMT,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Dracontium,Dracontium longipes
1424247393,Brazil,-8.134167,-72.829722,11,2001,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Dracontium,Dracontium longipes
1424292963,Brazil,,,11,2001,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Dracontium,Dracontium longipes
1258957257,Brazil,-8.13416,-72.82972,11,2001,PRESERVED_SPECIMEN,Tropicos,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Dracontium,Dracontium longipes
1424247469,Brazil,-8.134167,-72.829722,11,2001,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Dracontium,Dracontium longipes
1424233843,Brazil,-9.130278,-70.270278,3,1999,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Dracontium,Dracontium longipes
1097198445,Brazil,-9.1303,-70.1769,3,1999,PRESERVED_SPECIMEN,Vascular plants,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Dracontium,Dracontium longipes
1098018231,Brazil,-9.1303,-70.1769,3,1999,PRESERVED_SPECIMEN,Vascular plants,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Dracontium,Dracontium longipes
1259552919,Brazil,-9.13027,-70.17694,3,1999,PRESERVED_SPECIMEN,Tropicos,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Dracontium,Dracontium longipes
1229943029,Brazil,,,11,1995,PRESERVED_SPECIMEN,UFACPZ - Herbário da Universidade Federal do Acre,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Dracontium,Dracontium longipes
1261018009,Brazil,-7.63333,-72.58333,8,1986,PRESERVED_SPECIMEN,Tropicos,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Dracontium,Dracontium longipes
1089286950,Brazil,-0.833333,-51.75,8,1983,PRESERVED_SPECIMEN,HAMAB - Herbário Amapaense,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Dracontium,Dracontium longipes
1042551412,Brazil,,,7,1973,PRESERVED_SPECIMEN,"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Dracontium,Dracontium longipes
1261017914,Brazil,-8.65,-72.81666,5,1971,PRESERVED_SPECIMEN,Tropicos,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Dracontium,Dracontium longipes
1097957456,Brazil,-8.65,-72.82,5,1971,PRESERVED_SPECIMEN,Vascular plants,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Dracontium,Dracontium longipes
1097373417,Brazil,-8.27207623428883,-72.74585281919326,5,1971,PRESERVED_SPECIMEN,Vascular plants,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Dracontium,Dracontium longipes
1097539449,Brazil,-8.27207623428883,-72.74585281919326,5,1971,PRESERVED_SPECIMEN,Vascular plants,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Dracontium,Dracontium longipes
1042625132,Brazil,,,12,1961,PRESERVED_SPECIMEN,"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Dracontium,Dracontium longipes
1699810840,Brazil,,,9,1901,PRESERVED_SPECIMEN,,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Dracontium,Dracontium longipes
178094797,Brazil,,,9,1901,PRESERVED_SPECIMEN,,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Dracontium,Dracontium longipes
1228357643,Brazil,-10.8339,-52.8731,9,1901,PRESERVED_SPECIMEN,,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Dracontium,Dracontium longipes
1261008647,Brazil,-8.0003,-72.00076,9,1901,PRESERVED_SPECIMEN,Tropicos,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Dracontium,Dracontium longipes
1314879125,Brazil,,,,1901,UNKNOWN,,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Dracontium,Dracontium longipes
