key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1853954331,Brazil,-28.614444,-49.404167,1,2018,PRESERVED_SPECIMEN,CRI - Herbário Pe. Dr. Raulino Reitz,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1889169312,Brazil,-23.23,-45.013333,2,2018,PRESERVED_SPECIMEN,SPSF - Herbário Dom Bento José Pickel,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1853954360,Brazil,-28.441944,-49.43,1,2017,PRESERVED_SPECIMEN,CRI - Herbário Pe. Dr. Raulino Reitz,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1587336861,Brazil,-25.648306,-54.4575,7,2017,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1676469356,Brazil,-26.773333,-49.036944,9,2017,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1806847150,Brazil,-17.984806,-53.212972,10,2017,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1801099364,Brazil,-26.241667,-49.383333,10,2017,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1913570188,Brazil,-26.241667,-49.383333,10,2017,PRESERVED_SPECIMEN,HUCS - Herbário da Universidade de Caxias do Sul,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1912807617,Brazil,-26.241667,-49.383333,10,2017,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1585201884,Brazil,-26.1954,-49.1083,3,2016,PRESERVED_SPECIMEN,EFC - Herbário Escola de Florestas Curitiba,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1801099188,Brazil,-26.288889,-49.347222,12,2016,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1913592280,Brazil,-26.288889,-49.347222,12,2016,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1913570301,Brazil,-26.288889,-49.347222,12,2016,PRESERVED_SPECIMEN,HUCS - Herbário da Universidade de Caxias do Sul,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1213525856,Brazil,,,4,2015,PRESERVED_SPECIMEN,HAS - Herbário Alarich Rudolf Holger Schultz,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1848243949,Brazil,-25.443611,-49.2375,8,2015,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1424480499,Brazil,-8.546944,-43.951389,1,2014,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1086733602,Brazil,-9.584167,-40.390556,3,2014,PRESERVED_SPECIMEN,HTSA - Herbário do Trópico Semiárido,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1095635355,Brazil,0,0,3,2014,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1252589732,Brazil,-25.333889,-48.909722,4,2014,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1213677433,Brazil,-25.333794,-48.909761,4,2014,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1213674892,Brazil,0,0,5,2014,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1143421820,Brazil,,,5,2014,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1423894335,Brazil,,,5,2014,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1324595669,Brazil,,,5,2014,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1438029972,Brazil,,,5,2014,PRESERVED_SPECIMEN,UPCB - Herbário do Departamento de Botânica,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1213674798,Brazil,0,0,5,2014,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1423894290,Brazil,,,5,2014,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1270101777,Brazil,-26.036667,-48.953333,11,2014,PRESERVED_SPECIMEN,FLOR - Herbário do Departamento de Botânica da Universidade Federal de Santa Catarina,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1135948131,Brazil,-23.3298,-46.2452,2,2013,PRESERVED_SPECIMEN,ESA - Herbário da Escola Superior de Agricultura Luiz de Queiroz,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1095638688,Brazil,-26.939139,-50.695069,2,2013,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1135948531,Brazil,-23.2835,-46.8392,2,2013,PRESERVED_SPECIMEN,ESA - Herbário da Escola Superior de Agricultura Luiz de Queiroz,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1806876339,Brazil,-26.939167,-50.695,2,2013,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1143421601,Brazil,,,3,2013,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1135945915,Brazil,-24.02025,-47.315861,3,2013,PRESERVED_SPECIMEN,ESA - Herbário da Escola Superior de Agricultura Luiz de Queiroz,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1213676355,Brazil,0,0,3,2013,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1424480165,Brazil,,,3,2013,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1423896418,Brazil,,,3,2013,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1135942843,Brazil,-24.02025,-47.315861,3,2013,PRESERVED_SPECIMEN,ESA - Herbário da Escola Superior de Agricultura Luiz de Queiroz,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1423896388,Brazil,,,3,2013,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1213676408,Brazil,0,0,3,2013,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1291048692,Brazil,-24.034028,-47.532947,3,2013,PRESERVED_SPECIMEN,UEC - Herbário da Universidade Estadual de Campinas,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1077477615,Brazil,,,3,2013,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1291048660,Brazil,-24.051056,-46.6225,4,2013,PRESERVED_SPECIMEN,UEC - Herbário da Universidade Estadual de Campinas,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1424481613,Brazil,-24,-46,4,2013,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1135942830,Brazil,-24.03038,-46.3681,4,2013,PRESERVED_SPECIMEN,ESA - Herbário da Escola Superior de Agricultura Luiz de Queiroz,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1086916518,Brazil,-24.050833,-46.6225,4,2013,PRESERVED_SPECIMEN,SPSF - Herbário Dom Bento José Pickel,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1077425402,Brazil,-26.324444,-49.383611,12,2013,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1095636517,Brazil,0,0,12,2013,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1087712680,Brazil,,,1,2012,PRESERVED_SPECIMEN,LUSC - Herbário de Lages da Universidade do Estado de Santa Catarina,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1095633281,Brazil,-30.227778,-50.264444,3,2012,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1077417440,Brazil,-27.963333,-49.836944,3,2012,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1086965285,Brazil,-30.227778,-50.264444,3,2012,PRESERVED_SPECIMEN,FUEL - Herbário da Universidade Estadual de Londrina,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1089104800,Brazil,0,0,4,2012,PRESERVED_SPECIMEN,UEC - Herbário da Universidade Estadual de Campinas,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
1077418241,Brazil,-27.011111,-49.111667,10,2012,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jaegeria,Jaegeria hirta
