key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1829089184,Brazil,-24.361639,-51.905167,2,2018,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Elephantopus,Elephantopus mollis
1837382528,Brazil,0,0,2,2018,PRESERVED_SPECIMEN,DVPR - Herbário da Universidade Tecnológica Federal do Paraná - Dois Vizinhos,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Elephantopus,Elephantopus mollis
1848115635,Brazil,-25.924806,-51.858861,4,2018,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Elephantopus,Elephantopus mollis
1848115654,Brazil,-25.973556,-51.850361,4,2018,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Elephantopus,Elephantopus mollis
1848115738,Brazil,-25.9505,-51.8395,4,2018,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Elephantopus,Elephantopus mollis
1889173583,Brazil,-24.018056,-52.405833,4,2018,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Elephantopus,Elephantopus mollis
1853946869,Brazil,-25.068028,-51.605667,5,2018,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Elephantopus,Elephantopus mollis
1848743303,Brazil,-15.898056,-47.838333,5,2018,PRESERVED_SPECIMEN,HEPH - Herbário Ezechias Paulo Heringer,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Elephantopus,Elephantopus mollis
1638347971,Brazil,,,1,2017,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Elephantopus,Elephantopus mollis
1570750619,Brazil,-26.920833,-49.091667,1,2017,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Elephantopus,Elephantopus mollis
1563171787,Brazil,-26.82,-53.1,2,2017,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Elephantopus,Elephantopus mollis
1563171378,Brazil,-26.937222,-49.366944,3,2017,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Elephantopus,Elephantopus mollis
