key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1899819190,Brazil,-15.721667,-48.939167,1,2018,PRESERVED_SPECIMEN,ALCB - Herbário Alexandre Leal Costa,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Tilesia,Tilesia baccata
1889173657,Brazil,,,1,2018,PRESERVED_SPECIMEN,HURB - Herbário do Recôncavo da Bahia,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Tilesia,Tilesia baccata
1913596194,Brazil,-10.206667,-48.32,2,2018,PRESERVED_SPECIMEN,HUTO - Herbário da Universidade de Tocantins,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Tilesia,Tilesia baccata
1835179416,Brazil,-14.045278,-42.514722,2,2018,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Tilesia,Tilesia baccata
1853944020,Brazil,-6.413889,-35.101389,2,2018,PRESERVED_SPECIMEN,HUTO - Herbário da Universidade de Tocantins,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Tilesia,Tilesia baccata
1883786163,Brazil,-10.4411,-37.2201,3,2018,PRESERVED_SPECIMEN,ASE - Herbário da Universidade Federal de Sergipe,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Tilesia,Tilesia baccata
1889173595,Brazil,-24.018611,-52.405556,4,2018,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Tilesia,Tilesia baccata
1914116184,Brazil,-62.533889,-35.262222,4,2018,PRESERVED_SPECIMEN,ALCB - Herbário Alexandre Leal Costa,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Tilesia,Tilesia baccata
1570743591,Brazil,-21.137422,-44.30265,1,2017,PRESERVED_SPECIMEN,HUFSJ - Herbário da Universidade Federal de São João Del Rei,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Tilesia,Tilesia baccata
1586203435,Brazil,-23.541111,-46.244444,1,2017,PRESERVED_SPECIMEN,MBML-Herbario - Herbário Mello Leitão,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Tilesia,Tilesia baccata
