key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1837382547,Brazil,0,0,2,2018,PRESERVED_SPECIMEN,DVPR - Herbário da Universidade Tecnológica Federal do Paraná - Dois Vizinhos,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ageratum,Ageratum conyzoides
1840927263,Brazil,-25.276444,-53.857833,4,2018,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ageratum,Ageratum conyzoides
1898863350,Brazil,,,6,2018,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ageratum,Ageratum conyzoides
1889165610,Brazil,-26.359444,-49.287222,6,2018,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ageratum,Ageratum conyzoides
1889173321,Brazil,,,6,2018,PRESERVED_SPECIMEN,HST - Herbário Sérgio Tavares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ageratum,Ageratum conyzoides
1913600913,Brazil,-24.408639,-52.043306,8,2018,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ageratum,Ageratum conyzoides
1658215401,Brazil,,,2,2017,PRESERVED_SPECIMEN,HST - Herbário Sérgio Tavares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ageratum,Ageratum conyzoides
1587322152,Brazil,0,0,3,2017,PRESERVED_SPECIMEN,HUSC - Herbário Unisanta,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ageratum,Ageratum conyzoides
1585192063,Brazil,,,3,2017,PRESERVED_SPECIMEN,TEPB - Herbário Graziela Barroso,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ageratum,Ageratum conyzoides
1563171655,Brazil,-27.076389,-49.4375,3,2017,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ageratum,Ageratum conyzoides
1848112321,Brazil,-4.167694,-38.867444,4,2017,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ageratum,Ageratum conyzoides
1570755763,Brazil,-24.356472,-51.9,5,2017,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ageratum,Ageratum conyzoides
1848112350,Brazil,-3.962417,-40.818722,6,2017,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ageratum,Ageratum conyzoides
1889166523,Brazil,0,0,7,2017,PRESERVED_SPECIMEN,HUEM - Herbário UEM,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ageratum,Ageratum conyzoides
