key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1837382532,Brazil,0,0,2,2018,PRESERVED_SPECIMEN,DVPR - Herbário da Universidade Tecnológica Federal do Paraná - Dois Vizinhos,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Synedrella,Synedrella nodiflora
1853945785,Brazil,-11.868972,-55.577944,5,2018,PRESERVED_SPECIMEN,CNMT - Herbário Centro Norte Mato Grossense,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Synedrella,Synedrella nodiflora
1587331856,Brazil,,,3,2017,PRESERVED_SPECIMEN,HAS - Herbário Alarich Rudolf Holger Schultz,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Synedrella,Synedrella nodiflora
1806874474,Brazil,-12.575556,-38.989167,9,2017,PRESERVED_SPECIMEN,HURB - Herbário do Recôncavo da Bahia,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Synedrella,Synedrella nodiflora
1913591564,Brazil,-10.5537,-37.61,12,2017,PRESERVED_SPECIMEN,ASE - Herbário da Universidade Federal de Sergipe,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Synedrella,Synedrella nodiflora
1702645227,Brazil,0,0,2,2016,PRESERVED_SPECIMEN,VIC - Herbário da Universidade Federal de Viçosa,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Synedrella,Synedrella nodiflora
1275067931,Brazil,-3.632222,-40.406944,4,2016,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Synedrella,Synedrella nodiflora
1413713495,Brazil,0,0,6,2016,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Synedrella,Synedrella nodiflora
1324591438,Brazil,-12.502778,-38.765833,7,2016,PRESERVED_SPECIMEN,HURB - Herbário do Recôncavo da Bahia,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Synedrella,Synedrella nodiflora
1089097930,Brazil,-23.307447,-48.381636,2,2015,PRESERVED_SPECIMEN,UEC - Herbário da Universidade Estadual de Campinas,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Synedrella,Synedrella nodiflora
1563169655,Brazil,-22.778611,-47.825278,2,2015,PRESERVED_SPECIMEN,SPSF - Herbário Dom Bento José Pickel,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Synedrella,Synedrella nodiflora
