key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1901993993,Brazil,-19.990989,-40.609514,5,2018,PRESERVED_SPECIMEN,MBML-Herbario - Herbário Mello Leitão,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Centropogon,Centropogon cornutus
1901993980,Brazil,-19.990989,-40.609514,5,2018,PRESERVED_SPECIMEN,MBML-Herbario - Herbário Mello Leitão,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Centropogon,Centropogon cornutus
1853947496,Brazil,-14.461111,-39.033889,6,2018,PRESERVED_SPECIMEN,UESC - Herbário Universidade Estadual de Santa Cruz,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Centropogon,Centropogon cornutus
1853947360,Brazil,-14.983889,-39.2575,6,2018,PRESERVED_SPECIMEN,UESC - Herbário Universidade Estadual de Santa Cruz,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Centropogon,Centropogon cornutus
1503379078,Brazil,-19.981111,-40.649444,4,2017,PRESERVED_SPECIMEN,MBML-Herbario - Herbário Mello Leitão,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Centropogon,Centropogon cornutus
1668762983,Brazil,-13.874167,-39.155556,4,2017,PRESERVED_SPECIMEN,ALCB - Herbário Alexandre Leal Costa,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Centropogon,Centropogon cornutus
1587330036,Brazil,-15.725,-47.939722,4,2017,PRESERVED_SPECIMEN,CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Centropogon,Centropogon cornutus
1901019231,Brazil,-11.459444,-41.201667,5,2017,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Centropogon,Centropogon cornutus
1587327047,Brazil,-7.044167,-47.443055,4,2016,PRESERVED_SPECIMEN,CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Centropogon,Centropogon cornutus
1889179047,Brazil,-8,-35,5,2016,PRESERVED_SPECIMEN,JPB - Herbário Lauro Pires Xavier,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Centropogon,Centropogon cornutus
1632856791,Brazil,0,0,5,2016,PRESERVED_SPECIMEN,ALCB - Herbário Alexandre Leal Costa,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Centropogon,Centropogon cornutus
1656070627,Brazil,-22.196667,-42.098055,6,2016,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Centropogon,Centropogon cornutus
1571707100,Brazil,-21.939444,-41.961944,6,2016,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Centropogon,Centropogon cornutus
1434652878,Brazil,-12.253611,-39.475833,6,2016,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Centropogon,Centropogon cornutus
1324591631,Brazil,-12.502778,-38.765833,7,2016,PRESERVED_SPECIMEN,HURB - Herbário do Recôncavo da Bahia,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Centropogon,Centropogon cornutus
1290985123,Brazil,-15.190278,-39.038056,7,2016,PRESERVED_SPECIMEN,UESC - Herbário Universidade Estadual de Santa Cruz,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Centropogon,Centropogon cornutus
1413722876,Brazil,-12.502778,-38.765833,7,2016,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Centropogon,Centropogon cornutus
