key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1095183304,Brazil,0,0,1,2015,PRESERVED_SPECIMEN,IPA - Herbário - IPA Dárdano de Andrade Lima,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Nelsonia,Nelsonia canescens
1658211301,Brazil,,,3,2012,PRESERVED_SPECIMEN,HVASF - Herbário Vale do São Francisco,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Nelsonia,Nelsonia canescens
1658211278,Brazil,,,3,2012,PRESERVED_SPECIMEN,HVASF - Herbário Vale do São Francisco,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Nelsonia,Nelsonia canescens
1658211430,Brazil,,,6,2012,PRESERVED_SPECIMEN,HVASF - Herbário Vale do São Francisco,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Nelsonia,Nelsonia canescens
1213668339,Brazil,-17.3789,-49.8609,9,2012,PRESERVED_SPECIMEN,UB - Herbário da Universidade de Brasília,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Nelsonia,Nelsonia canescens
1213668344,Brazil,-17.3789,-49.8609,9,2012,PRESERVED_SPECIMEN,UB - Herbário da Universidade de Brasília,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Nelsonia,Nelsonia canescens
1213668356,Brazil,-17.3789,-49.8609,9,2012,PRESERVED_SPECIMEN,UB - Herbário da Universidade de Brasília,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Nelsonia,Nelsonia canescens
1819183251,Brazil,,,11,2012,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Nelsonia,Nelsonia canescens
1587319234,Brazil,0,0,11,2012,PRESERVED_SPECIMEN,MAC - Herbário do Instituto do Meio Ambiente do Estado de Alagoas,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Nelsonia,Nelsonia canescens
1213519104,Brazil,-9.623611,-36.576111,11,2011,PRESERVED_SPECIMEN,MAC - Herbário do Instituto do Meio Ambiente do Estado de Alagoas,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Nelsonia,Nelsonia canescens
1587315777,Brazil,0,0,11,2010,PRESERVED_SPECIMEN,MAC - Herbário do Instituto do Meio Ambiente do Estado de Alagoas,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Nelsonia,Nelsonia canescens
1587315680,Brazil,0,0,11,2010,PRESERVED_SPECIMEN,MAC - Herbário do Instituto do Meio Ambiente do Estado de Alagoas,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Nelsonia,Nelsonia canescens
1587308181,Brazil,0,0,2,2009,PRESERVED_SPECIMEN,MAC - Herbário do Instituto do Meio Ambiente do Estado de Alagoas,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Nelsonia,Nelsonia canescens
1090587033,Brazil,-0.913611,-46.675,10,2009,PRESERVED_SPECIMEN,HBRA - Herbário do Instituto de Estudos Costeiros da Universidade Federal do Pará,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Nelsonia,Nelsonia canescens
1587312389,Brazil,0,0,10,2009,PRESERVED_SPECIMEN,MAC - Herbário do Instituto do Meio Ambiente do Estado de Alagoas,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Nelsonia,Nelsonia canescens
1087702035,Brazil,,,11,2009,PRESERVED_SPECIMEN,HURB - Herbário do Recôncavo da Bahia,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Nelsonia,Nelsonia canescens
1087701686,Brazil,,,6,2008,PRESERVED_SPECIMEN,HURB - Herbário do Recôncavo da Bahia,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Nelsonia,Nelsonia canescens
1095246914,Brazil,-12.954722,-48.206111,7,2007,PRESERVED_SPECIMEN,CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Nelsonia,Nelsonia canescens
1844893296,Brazil,-12.954722,-48.206111,7,2007,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Nelsonia,Nelsonia canescens
1424296071,Brazil,-16.550278,-49.246667,7,2007,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Nelsonia,Nelsonia canescens
1424277260,Brazil,-15.839722,-48.926667,8,2007,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Nelsonia,Nelsonia canescens
1087070985,Brazil,-8.805639,-35.839528,11,2007,PRESERVED_SPECIMEN,UFP - Herbário UFP - Geraldo Mariz,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Nelsonia,Nelsonia canescens
1087070998,Brazil,-8.32,-35.35,11,2007,PRESERVED_SPECIMEN,UFP - Herbário UFP - Geraldo Mariz,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Nelsonia,Nelsonia canescens
1587305706,Brazil,0,0,12,2007,PRESERVED_SPECIMEN,MAC - Herbário do Instituto do Meio Ambiente do Estado de Alagoas,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Nelsonia,Nelsonia canescens
1213569600,Brazil,-15.824167,-48.995,7,2006,PRESERVED_SPECIMEN,UB - Herbário da Universidade de Brasília,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Nelsonia,Nelsonia canescens
1213648720,Brazil,-15.824167,-48.995,7,2006,PRESERVED_SPECIMEN,UB - Herbário da Universidade de Brasília,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Nelsonia,Nelsonia canescens
1424277269,Brazil,-15.824167,-48.995,7,2006,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Nelsonia,Nelsonia canescens
1087070926,Brazil,0,0,1,2004,PRESERVED_SPECIMEN,UFP - Herbário UFP - Geraldo Mariz,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Nelsonia,Nelsonia canescens
1095234633,Brazil,-14.48806,-46.85056,8,2003,PRESERVED_SPECIMEN,CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Nelsonia,Nelsonia canescens
1844893474,Brazil,-14.488055,-46.850556,8,2003,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Nelsonia,Nelsonia canescens
1424315499,Brazil,-11,-68.733333,9,2003,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Nelsonia,Nelsonia canescens
1095236701,Brazil,-13.60167,-46.83556,9,2003,PRESERVED_SPECIMEN,CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Nelsonia,Nelsonia canescens
1849302930,Brazil,-13.601667,-46.835555,9,2003,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Nelsonia,Nelsonia canescens
1095227419,Brazil,-12.795,-48.235,7,2002,PRESERVED_SPECIMEN,CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Nelsonia,Nelsonia canescens
1838085105,Brazil,-12.795,-48.235,7,2002,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Nelsonia,Nelsonia canescens
