key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1503030143,Brazil,-4.064167,-39.9975,5,2016,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Dicliptera,Dicliptera ciliaris
1848112108,Brazil,0,0,9,2015,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Dicliptera,Dicliptera ciliaris
1303205669,Brazil,-3,-40,7,2014,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Dicliptera,Dicliptera ciliaris
1264694134,Brazil,-4.072514,-38.722486,8,2014,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Dicliptera,Dicliptera ciliaris
1585198206,Brazil,-2.412944,-44.400472,9,2014,PRESERVED_SPECIMEN,MAR - Herbário do Maranhão,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Dicliptera,Dicliptera ciliaris
1585198191,Brazil,-2.412944,-44.400472,9,2014,PRESERVED_SPECIMEN,MAR - Herbário do Maranhão,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Dicliptera,Dicliptera ciliaris
1585198180,Brazil,-2.412944,-44.400472,9,2014,PRESERVED_SPECIMEN,MAR - Herbário do Maranhão,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Dicliptera,Dicliptera ciliaris
1089258924,Brazil,-5.403611,-40.064722,8,2013,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Dicliptera,Dicliptera ciliaris
1089260167,Brazil,-3.543611,-39.478056,9,2013,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Dicliptera,Dicliptera ciliaris
1089255376,Brazil,0,0,6,2011,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Dicliptera,Dicliptera ciliaris
