key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1883473183,Brazil,-9.953503,-67.869832,7,2018,HUMAN_OBSERVATION,iNaturalist research-grade observations,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Alocasia,Alocasia macrorrhizos
1324953573,Brazil,-12.966667,-38.5,2,2016,PRESERVED_SPECIMEN,ALCB - Herbário Alexandre Leal Costa,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Alocasia,Alocasia macrorrhizos
1143430969,Brazil,-25.618583,-54.476556,7,2015,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Alocasia,Alocasia macrorrhizos
1208837436,Brazil,-25.618389,-54.477694,9,2015,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Alocasia,Alocasia macrorrhizos
1291008289,Brazil,-17.875556,-41.46,11,2015,PRESERVED_SPECIMEN,HDJF - Herbário Dendrológico Jeanine Felfili,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Alocasia,Alocasia macrorrhizos
1424427291,Brazil,-25.508611,-53.671667,10,2012,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Alocasia,Alocasia macrorrhizos
1090693945,Brazil,-22.383333,-47.533333,5,2009,PRESERVED_SPECIMEN,HRCB - Herbário Rioclarense,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Alocasia,Alocasia macrorrhizos
1252596949,Brazil,-13,-38.5,4,2008,PRESERVED_SPECIMEN,ALCB - Herbário Alexandre Leal Costa,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Alocasia,Alocasia macrorrhizos
1077470267,Brazil,-24.103806,-52.325278,3,2007,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Alocasia,Alocasia macrorrhizos
1089268565,Brazil,0,0,2,2003,PRESERVED_SPECIMEN,HUEM - Herbário UEM,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Alocasia,Alocasia macrorrhizos
1587299891,Brazil,-8.231667,-35.920278,11,2002,PRESERVED_SPECIMEN,PEUFR - Herbário Professor Vasconcelos Sobrinho,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Alocasia,Alocasia macrorrhizos
1077565265,Brazil,-8.231667,-35.920278,11,2002,PRESERVED_SPECIMEN,IPA - Herbário - IPA Dárdano de Andrade Lima,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Alocasia,Alocasia macrorrhizos
1094169230,Brazil,,,4,1998,PRESERVED_SPECIMEN,UESC - Herbário Universidade Estadual de Santa Cruz,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Alocasia,Alocasia macrorrhizos
1077199846,Brazil,-12.966667,-38.5,10,1996,PRESERVED_SPECIMEN,ALCB - Herbário Alexandre Leal Costa,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Alocasia,Alocasia macrorrhizos
188379674,Brazil,,,11,1996,PRESERVED_SPECIMEN,"Colección de plantas vasculares de Brasil del Herbario ""Jaime Andrés Rodríguez"". LEB-Brasil",Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Alocasia,Alocasia macrorrhizos
1094741669,Brazil,-14.8,-39.166667,8,1995,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Alocasia,Alocasia macrorrhizos
1094168614,Brazil,-14.8,-39.166667,8,1995,PRESERVED_SPECIMEN,UESC - Herbário Universidade Estadual de Santa Cruz,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Alocasia,Alocasia macrorrhizos
1077197182,Brazil,-12.966667,-38.5,6,1994,PRESERVED_SPECIMEN,ALCB - Herbário Alexandre Leal Costa,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Alocasia,Alocasia macrorrhizos
1095492547,Brazil,0,0,4,1991,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Alocasia,Alocasia macrorrhizos
1261049657,Brazil,,,4,1991,PRESERVED_SPECIMEN,Tropicos,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Alocasia,Alocasia macrorrhizos
1090448873,Brazil,,,4,1991,PRESERVED_SPECIMEN,CEPEC - Herbário do Centro de Pesquisas do Cacau,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Alocasia,Alocasia macrorrhizos
1090448898,Brazil,,,4,1991,PRESERVED_SPECIMEN,CEPEC - Herbário do Centro de Pesquisas do Cacau,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Alocasia,Alocasia macrorrhizos
1423970288,Brazil,,,4,1991,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Alocasia,Alocasia macrorrhizos
1424149031,Brazil,,,4,1991,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Alocasia,Alocasia macrorrhizos
1260103017,Brazil,,,4,1991,PRESERVED_SPECIMEN,Tropicos,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Alocasia,Alocasia macrorrhizos
1261056382,Brazil,,,4,1991,PRESERVED_SPECIMEN,Tropicos,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Alocasia,Alocasia macrorrhizos
1090448974,Brazil,,,4,1991,PRESERVED_SPECIMEN,CEPEC - Herbário do Centro de Pesquisas do Cacau,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Alocasia,Alocasia macrorrhizos
1424149048,Brazil,,,4,1991,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Alocasia,Alocasia macrorrhizos
1090448880,Brazil,,,4,1991,PRESERVED_SPECIMEN,CEPEC - Herbário do Centro de Pesquisas do Cacau,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Alocasia,Alocasia macrorrhizos
1423970305,Brazil,,,4,1991,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Alocasia,Alocasia macrorrhizos
1094710530,Brazil,-28.598333,-49.424722,11,1990,PRESERVED_SPECIMEN,CRI - Herbário Pe. Dr. Raulino Reitz,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Alocasia,Alocasia macrorrhizos
1077539423,Brazil,0,0,6,1983,PRESERVED_SPECIMEN,IPA - Herbário - IPA Dárdano de Andrade Lima,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Alocasia,Alocasia macrorrhizos
