key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1427529258,Brazil,-16.514722,-56.297778,5,2015,PRESERVED_SPECIMEN,UEC - Herbário da Universidade Estadual de Campinas,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1424510414,Brazil,-16.514722,-56.297778,5,2015,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1090155562,Brazil,-1.312122,-51.515008,11,2014,PRESERVED_SPECIMEN,MFS - Herbário Profª. Drª. Marlene Freitas da Silva,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1095628638,Brazil,-13.674833,-47.817417,4,2013,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1090152470,Brazil,-1.434167,-48.410556,11,2012,PRESERVED_SPECIMEN,MFS - Herbário Profª. Drª. Marlene Freitas da Silva,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1090151808,Brazil,-0.669444,-48.537222,5,2011,PRESERVED_SPECIMEN,MFS - Herbário Profª. Drª. Marlene Freitas da Silva,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1089116232,Brazil,0,0,5,2011,PRESERVED_SPECIMEN,UEC - Herbário da Universidade Estadual de Campinas,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1042689342,Brazil,,,5,2011,PRESERVED_SPECIMEN,"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1314848537,Brazil,,,5,2011,UNKNOWN,,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1314848734,Brazil,,,11,2011,UNKNOWN,,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1314848703,Brazil,-1.273611,-49.315556,11,2011,UNKNOWN,,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1314848709,Brazil,-1.331667,-49.227778,11,2011,UNKNOWN,,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1314848739,Brazil,-1.546944,-49.240833,11,2011,UNKNOWN,,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1913567937,Brazil,-6.404722,-50.034444,7,2010,PRESERVED_SPECIMEN,BHCB - Herbário da Universidade Federal de Minas Gerais,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1314847944,Brazil,,,4,2009,UNKNOWN,,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1090528630,Brazil,-12.561667,-49.771667,7,2009,PRESERVED_SPECIMEN,HUTO - Herbário da Universidade de Tocantins,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1094887319,Brazil,-12.561667,-49.771667,7,2009,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1424365451,Brazil,,,10,2009,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1042687834,Brazil,,,10,2009,PRESERVED_SPECIMEN,"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1314848241,Brazil,-0.9775,-47.637778,10,2009,UNKNOWN,,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1913567373,Brazil,-6.326667,-50.174444,10,2008,PRESERVED_SPECIMEN,BHCB - Herbário da Universidade Federal de Minas Gerais,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1314847697,Brazil,,,11,2007,UNKNOWN,,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1089092426,Brazil,0,0,11,2006,PRESERVED_SPECIMEN,UEC - Herbário da Universidade Estadual de Campinas,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1314846937,Brazil,,,9,2005,UNKNOWN,,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1089105660,Brazil,-6.131111,-48.317222,4,2004,PRESERVED_SPECIMEN,UEC - Herbário da Universidade Estadual de Campinas,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1095235671,Brazil,-6.131111,-48.317222,4,2004,PRESERVED_SPECIMEN,CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1097929005,Brazil,-7.555,-72.9267,10,2001,PRESERVED_SPECIMEN,Vascular plants,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1089291773,Brazil,0,0,12,2000,PRESERVED_SPECIMEN,HAMAB - Herbário Amapaense,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1314845793,Brazil,,,10,1999,UNKNOWN,,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1314846278,Brazil,,,12,1999,UNKNOWN,,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1314854988,Brazil,,,1,1997,UNKNOWN,,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1314844062,Brazil,,,7,1997,UNKNOWN,,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1324959524,Brazil,0,0,,1997,PRESERVED_SPECIMEN,UFMT - Herbário UFMT,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1138074809,Brazil,-14.496111,-48.45,6,1996,PRESERVED_SPECIMEN,,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1135814974,Brazil,-16.628611,-55.187778,5,1995,PRESERVED_SPECIMEN,SPF - Herbário da Universidade de São Paulo,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1703067806,Brazil,-2.31667,-60.0833,8,1995,PRESERVED_SPECIMEN,,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1097750778,Brazil,-2.326638,-60.091744,8,1995,PRESERVED_SPECIMEN,Vascular plants,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1324958913,Brazil,0,0,9,1995,PRESERVED_SPECIMEN,UFMT - Herbário UFMT,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1137739441,Brazil,,,6,1994,PRESERVED_SPECIMEN,,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1095511781,Brazil,0,0,6,1994,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1314854329,Brazil,,,1,1993,UNKNOWN,,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1095502217,Brazil,0,0,11,1992,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1137964820,Brazil,,,11,1992,PRESERVED_SPECIMEN,,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1097074802,Brazil,-2.629272,-60.815849,8,1991,PRESERVED_SPECIMEN,Vascular plants,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1042696956,Brazil,,,,1991,PRESERVED_SPECIMEN,"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1095484596,Brazil,0,0,2,1990,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1042652462,Brazil,,,,1990,PRESERVED_SPECIMEN,"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1077311079,Brazil,-16.483333,-56.7,5,1989,PRESERVED_SPECIMEN,CPAP - Herbário CPAP,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1042615373,Brazil,3.366667,-61.42,2,1987,PRESERVED_SPECIMEN,"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1252630044,Brazil,3.37,-61.42,2,1987,PRESERVED_SPECIMEN,,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1252629931,Brazil,,,4,1987,PRESERVED_SPECIMEN,,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1096326725,Brazil,,,4,1987,PRESERVED_SPECIMEN,,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1137878834,Brazil,,,4,1987,PRESERVED_SPECIMEN,,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1097733368,Brazil,3.366667,-61.43,4,1987,PRESERVED_SPECIMEN,Vascular plants,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1042568725,Brazil,3.366667,-61.43,4,1987,PRESERVED_SPECIMEN,"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1042519558,Brazil,-1.883333,-54.65,11,1987,PRESERVED_SPECIMEN,"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1252629938,Brazil,,,12,1987,PRESERVED_SPECIMEN,,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
1138067469,Brazil,,,6,1986,PRESERVED_SPECIMEN,,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Odontadenia,Odontadenia nitida
