key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1324592422,Brazil,-19.117222,-40.06,3,2013,PRESERVED_SPECIMEN,JPB - Herbário Lauro Pires Xavier,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Gurania,Gurania tricuspidata
1324592412,Brazil,-19.117222,-40.06,3,2013,PRESERVED_SPECIMEN,JPB - Herbário Lauro Pires Xavier,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Gurania,Gurania tricuspidata
1090878003,Brazil,,,1,2011,PRESERVED_SPECIMEN,VIES - Herbário Central da Universidade Federal do Espírito Santo VIES,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Gurania,Gurania tricuspidata
1090878133,Brazil,,,6,2011,PRESERVED_SPECIMEN,VIES - Herbário Central da Universidade Federal do Espírito Santo VIES,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Gurania,Gurania tricuspidata
1089195329,Brazil,0,0,9,2011,PRESERVED_SPECIMEN,JPB - Herbário Lauro Pires Xavier,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Gurania,Gurania tricuspidata
1089195416,Brazil,-18.766667,-40.433333,1,2009,PRESERVED_SPECIMEN,JPB - Herbário Lauro Pires Xavier,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Gurania,Gurania tricuspidata
1090877082,Brazil,,,2,2009,PRESERVED_SPECIMEN,VIES - Herbário Central da Universidade Federal do Espírito Santo VIES,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Gurania,Gurania tricuspidata
1097661557,Brazil,-19.07,-40.02,5,2009,PRESERVED_SPECIMEN,Vascular plants,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Gurania,Gurania tricuspidata
1089195346,Brazil,0,0,4,2008,PRESERVED_SPECIMEN,JPB - Herbário Lauro Pires Xavier,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Gurania,Gurania tricuspidata
1090880794,Brazil,,,8,2008,PRESERVED_SPECIMEN,VIES - Herbário Central da Universidade Federal do Espírito Santo VIES,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Gurania,Gurania tricuspidata
1089195326,Brazil,-19.348056,-40.550833,1,2006,PRESERVED_SPECIMEN,JPB - Herbário Lauro Pires Xavier,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Gurania,Gurania tricuspidata
