key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1699872237,Brazil,-23.176944,-44.710556,1,2017,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Fevillea,Fevillea trilobata
1801097392,Brazil,-16.906389,-41.912778,3,2017,PRESERVED_SPECIMEN,HDJF - Herbário Dendrológico Jeanine Felfili,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Fevillea,Fevillea trilobata
1586074985,Brazil,-22.914722,-45.996944,6,2017,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Fevillea,Fevillea trilobata
1801097461,Brazil,-16.703056,-41.977778,7,2016,PRESERVED_SPECIMEN,HDJF - Herbário Dendrológico Jeanine Felfili,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Fevillea,Fevillea trilobata
1455393397,Brazil,-15.076389,-42.164444,12,2016,PRESERVED_SPECIMEN,HURB - Herbário do Recôncavo da Bahia,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Fevillea,Fevillea trilobata
1585337191,Brazil,-22.975556,-43.013611,9,2015,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Fevillea,Fevillea trilobata
1585194525,Brazil,-15.25,-39.418056,10,2015,PRESERVED_SPECIMEN,UESC - Herbário Universidade Estadual de Santa Cruz,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Fevillea,Fevillea trilobata
1089195791,Brazil,-8.376667,-35.096944,1,2014,PRESERVED_SPECIMEN,JPB - Herbário Lauro Pires Xavier,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Fevillea,Fevillea trilobata
1424502676,Brazil,,,2,2014,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Fevillea,Fevillea trilobata
1089195758,Brazil,-7.1375,-34.846381,6,2014,PRESERVED_SPECIMEN,JPB - Herbário Lauro Pires Xavier,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Fevillea,Fevillea trilobata
1077480214,Brazil,-23.8815,-51.98,9,2014,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Fevillea,Fevillea trilobata
1837389128,Brazil,-9.559167,-36.809167,9,2014,PRESERVED_SPECIMEN,MAC - Herbário do Instituto do Meio Ambiente do Estado de Alagoas,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Fevillea,Fevillea trilobata
1324592439,Brazil,0,0,2,2013,PRESERVED_SPECIMEN,JPB - Herbário Lauro Pires Xavier,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Fevillea,Fevillea trilobata
1135939278,Brazil,,,3,2012,PRESERVED_SPECIMEN,ESA - Herbário da Escola Superior de Agricultura Luiz de Queiroz,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Fevillea,Fevillea trilobata
1424462819,Brazil,-9.457778,-64.817222,6,2012,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Fevillea,Fevillea trilobata
1840923668,Brazil,,,6,2012,PRESERVED_SPECIMEN,MPUC - Herbário do Museu da Pontifícia Universidade Católica do Rio Grande do Sul,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Fevillea,Fevillea trilobata
1095632299,Brazil,-24.100556,-50.706944,8,2012,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Fevillea,Fevillea trilobata
1265933210,Brazil,,,8,2012,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Fevillea,Fevillea trilobata
1095638404,Brazil,-24.100556,-50.706944,8,2012,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Fevillea,Fevillea trilobata
1587316508,Brazil,0,0,3,2011,PRESERVED_SPECIMEN,MAC - Herbário do Instituto do Meio Ambiente do Estado de Alagoas,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Fevillea,Fevillea trilobata
1587316443,Brazil,0,0,3,2011,PRESERVED_SPECIMEN,MAC - Herbário do Instituto do Meio Ambiente do Estado de Alagoas,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Fevillea,Fevillea trilobata
1096932848,Brazil,-19.171198,-39.912081,8,2011,PRESERVED_SPECIMEN,CVRD - Herbário da Reserva Natural Vale,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Fevillea,Fevillea trilobata
1094897085,Brazil,-6.78,-35.553611,12,2011,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Fevillea,Fevillea trilobata
1086732614,Brazil,-7.3,-35.926667,12,2011,PRESERVED_SPECIMEN,HTSA - Herbário do Trópico Semiárido,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Fevillea,Fevillea trilobata
1094917735,Brazil,-9.457778,-64.817222,6,2010,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Fevillea,Fevillea trilobata
1095252564,Brazil,-9.457778,-64.817222,6,2010,PRESERVED_SPECIMEN,CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Fevillea,Fevillea trilobata
1077288908,Brazil,0,0,2,2009,PRESERVED_SPECIMEN,CESJ - Herbário Leopoldo Krieger,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Fevillea,Fevillea trilobata
1097122015,Brazil,-15.27,-39.42,1,2008,PRESERVED_SPECIMEN,Vascular plants,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Fevillea,Fevillea trilobata
1090694412,Brazil,-15.266667,-39.416667,1,2008,PRESERVED_SPECIMEN,HRCB - Herbário Rioclarense,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Fevillea,Fevillea trilobata
1424239379,Brazil,-22.936389,-42.293889,3,2008,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Fevillea,Fevillea trilobata
1090626419,Brazil,-22.937222,-42.291389,3,2008,PRESERVED_SPECIMEN,SPF - Herbário da Universidade de São Paulo,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Fevillea,Fevillea trilobata
