key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1913600542,Brazil,-24.281139,-52.450861,7,2018,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Hebanthe,Hebanthe eriantha
1913600917,Brazil,-24.018417,-52.405167,8,2018,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Hebanthe,Hebanthe eriantha
1837388872,Brazil,-22.9239,-45.4617,8,2017,PRESERVED_SPECIMEN,IAC - Herbário do Instituto Agronômico de Campinas,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Hebanthe,Hebanthe eriantha
1702772104,Brazil,-21.1144,-56.7188,8,2017,PRESERVED_SPECIMEN,NMNH Extant Biology,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Hebanthe,Hebanthe eriantha
1837388870,Brazil,-22.9239,-45.4617,8,2017,PRESERVED_SPECIMEN,IAC - Herbário do Instituto Agronômico de Campinas,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Hebanthe,Hebanthe eriantha
1889166210,Brazil,0,0,9,2017,PRESERVED_SPECIMEN,HUEM - Herbário UEM,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Hebanthe,Hebanthe eriantha
1423925534,Brazil,,,8,2016,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Hebanthe,Hebanthe eriantha
1324950434,Brazil,,,8,2016,PRESERVED_SPECIMEN,CVRD - Herbário da Reserva Natural Vale,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Hebanthe,Hebanthe eriantha
1449783320,Brazil,,,9,2016,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Hebanthe,Hebanthe eriantha
1424730755,Brazil,-20.688889,-41.845278,9,2016,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Hebanthe,Hebanthe eriantha
1234560163,Brazil,-23.544569,-48.1075,6,2015,PRESERVED_SPECIMEN,UEC - Herbário da Universidade Estadual de Campinas,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Hebanthe,Hebanthe eriantha
1303603718,Brazil,-11.835556,-42.471389,6,2015,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Hebanthe,Hebanthe eriantha
1208843677,Brazil,-11.835556,-42.471389,6,2015,PRESERVED_SPECIMEN,ALCB - Herbário Alexandre Leal Costa,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Hebanthe,Hebanthe eriantha
1423898564,Brazil,,,6,2015,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Hebanthe,Hebanthe eriantha
1423899157,Brazil,,,7,2015,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Hebanthe,Hebanthe eriantha
1143430947,Brazil,-25.620556,-54.477278,7,2015,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Hebanthe,Hebanthe eriantha
1264698344,Brazil,,,7,2015,PRESERVED_SPECIMEN,SPSF - Herbário Dom Bento José Pickel,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Hebanthe,Hebanthe eriantha
1226941204,Brazil,-25.620556,-54.477278,7,2015,PRESERVED_SPECIMEN,FUEL - Herbário da Universidade Estadual de Londrina,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Hebanthe,Hebanthe eriantha
1252600285,Brazil,0,0,7,2015,PRESERVED_SPECIMEN,UEC - Herbário da Universidade Estadual de Campinas,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Hebanthe,Hebanthe eriantha
1837840986,Brazil,,,7,2015,PRESERVED_SPECIMEN,VIES - Herbário Central da Universidade Federal do Espírito Santo VIES,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Hebanthe,Hebanthe eriantha
1423909702,Brazil,,,7,2015,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Hebanthe,Hebanthe eriantha
1500373375,Brazil,-24.753056,-52.450556,8,2015,PRESERVED_SPECIMEN,ICN - Herbário do Instituto de Ciências Naturais,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Hebanthe,Hebanthe eriantha
1208837370,Brazil,-24.747111,-52.242583,8,2015,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Hebanthe,Hebanthe eriantha
1703307226,Brazil,-24.371417,-51.956583,8,2015,PRESERVED_SPECIMEN,UFMT - Herbário UFMT,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Hebanthe,Hebanthe eriantha
1208837388,Brazil,-24.768028,-52.137889,8,2015,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Hebanthe,Hebanthe eriantha
1143431015,Brazil,-24.371417,-51.956583,8,2015,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Hebanthe,Hebanthe eriantha
1324597349,Brazil,-24.753056,-52.450556,8,2015,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Hebanthe,Hebanthe eriantha
1658213751,Brazil,-24.753056,-52.450556,8,2015,PRESERVED_SPECIMEN,HUEM - Herbário UEM,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Hebanthe,Hebanthe eriantha
1234555152,Brazil,-24.753056,-52.450556,8,2015,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Hebanthe,Hebanthe eriantha
1208837523,Brazil,-24.762972,-52.132917,9,2015,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Hebanthe,Hebanthe eriantha
1837840354,Brazil,,,9,2015,PRESERVED_SPECIMEN,VIES - Herbário Central da Universidade Federal do Espírito Santo VIES,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Hebanthe,Hebanthe eriantha
1802964470,Brazil,,,9,2015,PRESERVED_SPECIMEN,PACA-AGP - Herbarium Anchieta,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Hebanthe,Hebanthe eriantha
1275070751,Brazil,-22.783333,-47.1,5,2014,PRESERVED_SPECIMEN,UEC - Herbário da Universidade Estadual de Campinas,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Hebanthe,Hebanthe eriantha
1424499579,Brazil,-22.883333,-43.033333,7,2014,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Hebanthe,Hebanthe eriantha
1143436570,Brazil,-22.783333,-47.1,8,2014,PRESERVED_SPECIMEN,UEC - Herbário da Universidade Estadual de Campinas,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Hebanthe,Hebanthe eriantha
1889175546,Brazil,,,8,2014,PRESERVED_SPECIMEN,HERBAM - Herbário da Amazônia Meridional,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Hebanthe,Hebanthe eriantha
