key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1571566468,Brazil,0,0,4,2017,PRESERVED_SPECIMEN,UFMT - Herbário UFMT,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Pfaffia,Pfaffia glomerata
1585209031,Brazil,-0.756331,-48.515453,5,2017,PRESERVED_SPECIMEN,MFS - Herbário Profª. Drª. Marlene Freitas da Silva,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Pfaffia,Pfaffia glomerata
1705511101,Brazil,,,6,2017,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Pfaffia,Pfaffia glomerata
1676474981,Brazil,-22.717778,-53.285,7,2017,PRESERVED_SPECIMEN,HUEM - Herbário UEM,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Pfaffia,Pfaffia glomerata
1801175390,Brazil,-15.098611,-39.175,9,2017,PRESERVED_SPECIMEN,UESC - Herbário Universidade Estadual de Santa Cruz,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Pfaffia,Pfaffia glomerata
1801175360,Brazil,-15.299167,-39.045556,9,2017,PRESERVED_SPECIMEN,UESC - Herbário Universidade Estadual de Santa Cruz,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Pfaffia,Pfaffia glomerata
1702829511,Brazil,-19.2611,-57.1879,9,2017,PRESERVED_SPECIMEN,NMNH Extant Biology,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Pfaffia,Pfaffia glomerata
1801175385,Brazil,-15.004167,-39.001667,9,2017,PRESERVED_SPECIMEN,UESC - Herbário Universidade Estadual de Santa Cruz,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Pfaffia,Pfaffia glomerata
1801175400,Brazil,-15.098611,-39.175,9,2017,PRESERVED_SPECIMEN,UESC - Herbário Universidade Estadual de Santa Cruz,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Pfaffia,Pfaffia glomerata
1265917706,Brazil,-26.682222,-49.838611,1,2016,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Pfaffia,Pfaffia glomerata
1840930166,Brazil,-26.682222,-49.838611,1,2016,PRESERVED_SPECIMEN,CRI - Herbário Pe. Dr. Raulino Reitz,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Pfaffia,Pfaffia glomerata
1913582581,Brazil,-23.554166,-52.322222,12,2016,PRESERVED_SPECIMEN,CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Pfaffia,Pfaffia glomerata
1424504123,Brazil,,,2,2015,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Pfaffia,Pfaffia glomerata
1913582495,Brazil,-15.728611,-47.902222,5,2015,PRESERVED_SPECIMEN,CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Pfaffia,Pfaffia glomerata
1303603725,Brazil,-11.743056,-42.527778,6,2015,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Pfaffia,Pfaffia glomerata
1208843692,Brazil,-11.743056,-42.527778,6,2015,PRESERVED_SPECIMEN,ALCB - Herbário Alexandre Leal Costa,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Pfaffia,Pfaffia glomerata
1270108815,Brazil,0,0,6,2015,PRESERVED_SPECIMEN,IPA - Herbário - IPA Dárdano de Andrade Lima,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Pfaffia,Pfaffia glomerata
1913573514,Brazil,-19.021139,-57.515139,8,2015,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Pfaffia,Pfaffia glomerata
1208834903,Brazil,-26.790278,-48.621944,8,2015,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Pfaffia,Pfaffia glomerata
1802964411,Brazil,,,9,2015,PRESERVED_SPECIMEN,PACA-AGP - Herbarium Anchieta,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Pfaffia,Pfaffia glomerata
1802964432,Brazil,,,9,2015,PRESERVED_SPECIMEN,PACA-AGP - Herbarium Anchieta,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Pfaffia,Pfaffia glomerata
1291041201,Brazil,0,0,10,2015,PRESERVED_SPECIMEN,HUEM - Herbário UEM,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Pfaffia,Pfaffia glomerata
