key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1853947371,Brazil,-14.641944,-39.551944,6,2018,PRESERVED_SPECIMEN,UESC - Herbário Universidade Estadual de Santa Cruz,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Operculina,Operculina hamiltonii
1840925609,Brazil,-12.785044,-54.680831,2,2017,PRESERVED_SPECIMEN,CNMT - Herbário Centro Norte Mato Grossense,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Operculina,Operculina hamiltonii
1889178194,Brazil,-9.586472,-55.917611,3,2017,PRESERVED_SPECIMEN,HERBAM - Herbário da Amazônia Meridional,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Operculina,Operculina hamiltonii
1806847317,Brazil,-1.058333,-46.817306,4,2017,PRESERVED_SPECIMEN,HBRA - Herbário do Instituto de Estudos Costeiros da Universidade Federal do Pará,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Operculina,Operculina hamiltonii
1848112097,Brazil,-3.956889,-40.820528,6,2017,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Operculina,Operculina hamiltonii
1423930288,Brazil,-14.650556,-39.561944,2,2016,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Operculina,Operculina hamiltonii
1252587091,Brazil,-14.650556,-39.561944,2,2016,PRESERVED_SPECIMEN,UESC - Herbário Universidade Estadual de Santa Cruz,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Operculina,Operculina hamiltonii
1638342126,Brazil,,,5,2016,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Operculina,Operculina hamiltonii
1571775613,Brazil,-3.049444,-41.254722,6,2016,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Operculina,Operculina hamiltonii
1316173531,Brazil,-3.356361,-41.713611,7,2015,PRESERVED_SPECIMEN,TEPB - Herbário Graziela Barroso,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Operculina,Operculina hamiltonii
1087693053,Brazil,-10.718167,-37.131417,1,2014,PRESERVED_SPECIMEN,ASE - Herbário da Universidade Federal de Sergipe,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Operculina,Operculina hamiltonii
1090155591,Brazil,-2.325206,-49.376692,4,2014,PRESERVED_SPECIMEN,MFS - Herbário Profª. Drª. Marlene Freitas da Silva,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Operculina,Operculina hamiltonii
1086983116,Brazil,,,1,2013,PRESERVED_SPECIMEN,TEPB - Herbário Graziela Barroso,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Operculina,Operculina hamiltonii
1213660232,Brazil,-14.501389,-59.8025,5,2013,PRESERVED_SPECIMEN,UB - Herbário da Universidade de Brasília,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Operculina,Operculina hamiltonii
1587318655,Brazil,-9.530556,-36.085278,11,2013,PRESERVED_SPECIMEN,MAC - Herbário do Instituto do Meio Ambiente do Estado de Alagoas,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Operculina,Operculina hamiltonii
1135817592,Brazil,-3.676417,-40.944,4,2012,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Operculina,Operculina hamiltonii
