key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1853954699,Brazil,-29.109444,-49.675833,1,2018,PRESERVED_SPECIMEN,CRI - Herbário Pe. Dr. Raulino Reitz,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Emilia,Emilia sonchifolia
1853943963,Brazil,-9.357167,-40.424222,4,2018,PRESERVED_SPECIMEN,HVASF - Herbário Vale do São Francisco,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Emilia,Emilia sonchifolia
1889173627,Brazil,,,4,2018,PRESERVED_SPECIMEN,HURB - Herbário do Recôncavo da Bahia,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Emilia,Emilia sonchifolia
1913600550,Brazil,-24.50625,-52.574833,7,2018,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Emilia,Emilia sonchifolia
1658215406,Brazil,,,2,2017,PRESERVED_SPECIMEN,HST - Herbário Sérgio Tavares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Emilia,Emilia sonchifolia
1503379092,Brazil,-19.981111,-40.649444,3,2017,PRESERVED_SPECIMEN,MBML-Herbario - Herbário Mello Leitão,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Emilia,Emilia sonchifolia
1676572460,Brazil,-2.672933,-48.239353,4,2017,PRESERVED_SPECIMEN,MFS - Herbário Profª. Drª. Marlene Freitas da Silva,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Emilia,Emilia sonchifolia
1676572548,Brazil,-1.518283,-48.037025,4,2017,PRESERVED_SPECIMEN,MFS - Herbário Profª. Drª. Marlene Freitas da Silva,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Emilia,Emilia sonchifolia
1702645785,Brazil,-3.101944,-40.0675,5,2017,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Emilia,Emilia sonchifolia
1702659758,Brazil,-24.017778,-52.405194,10,2017,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Emilia,Emilia sonchifolia
