key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1702645217,Brazil,0,0,2,2016,PRESERVED_SPECIMEN,VIC - Herbário da Universidade Federal de Viçosa,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Blainvillea,Blainvillea dichotoma
1638347309,Brazil,-13.113333,-38.895555,2,2016,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Blainvillea,Blainvillea dichotoma
1264693684,Brazil,-7.200017,-38.7,5,2014,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Blainvillea,Blainvillea dichotoma
1455707668,Brazil,-6.66,-37.44,5,2014,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Blainvillea,Blainvillea dichotoma
1702645387,Brazil,,,6,2014,PRESERVED_SPECIMEN,TEPB - Herbário Graziela Barroso,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Blainvillea,Blainvillea dichotoma
1424509335,Brazil,,,9,2014,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Blainvillea,Blainvillea dichotoma
1087695252,Brazil,-9.66,-37.789167,9,2014,PRESERVED_SPECIMEN,ASE - Herbário da Universidade Federal de Sergipe,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Blainvillea,Blainvillea dichotoma
1424509399,Brazil,,,9,2014,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Blainvillea,Blainvillea dichotoma
1087695238,Brazil,-9.66,-37.789167,9,2014,PRESERVED_SPECIMEN,ASE - Herbário da Universidade Federal de Sergipe,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Blainvillea,Blainvillea dichotoma
1424509391,Brazil,,,9,2014,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Blainvillea,Blainvillea dichotoma
1087695229,Brazil,-9.66,-37.789167,9,2014,PRESERVED_SPECIMEN,ASE - Herbário da Universidade Federal de Sergipe,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Blainvillea,Blainvillea dichotoma
1275054560,Brazil,-10.0819,-36.5428,12,2014,PRESERVED_SPECIMEN,ASE - Herbário da Universidade Federal de Sergipe,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Blainvillea,Blainvillea dichotoma
1086983619,Brazil,-50.333333,-41.25,6,2013,PRESERVED_SPECIMEN,TEPB - Herbário Graziela Barroso,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Blainvillea,Blainvillea dichotoma
1135949772,Brazil,,,4,2012,PRESERVED_SPECIMEN,ESA - Herbário da Escola Superior de Agricultura Luiz de Queiroz,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Blainvillea,Blainvillea dichotoma
1090828933,Brazil,0,0,4,2012,PRESERVED_SPECIMEN,HUFU - Herbarium Uberlandense,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Blainvillea,Blainvillea dichotoma
1087688046,Brazil,-9.917222,-37.278056,8,2012,PRESERVED_SPECIMEN,ASE - Herbário da Universidade Federal de Sergipe,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Blainvillea,Blainvillea dichotoma
1087688775,Brazil,-10.536861,-37.054667,8,2012,PRESERVED_SPECIMEN,ASE - Herbário da Universidade Federal de Sergipe,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Blainvillea,Blainvillea dichotoma
1087690191,Brazil,-10.915228,-37.663792,9,2012,PRESERVED_SPECIMEN,ASE - Herbário da Universidade Federal de Sergipe,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Blainvillea,Blainvillea dichotoma
1090150485,Brazil,-6.398783,-48.571944,1,2011,PRESERVED_SPECIMEN,MFS - Herbário Profª. Drª. Marlene Freitas da Silva,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Blainvillea,Blainvillea dichotoma
911923081,Brazil,-7.007617,-37.400083,4,2011,PRESERVED_SPECIMEN,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Blainvillea,Blainvillea dichotoma
1087687601,Brazil,-10.1035,-37.419861,7,2011,PRESERVED_SPECIMEN,ASE - Herbário da Universidade Federal de Sergipe,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Blainvillea,Blainvillea dichotoma
1087682108,Brazil,-10.918056,-37.65,8,2010,PRESERVED_SPECIMEN,ASE - Herbário da Universidade Federal de Sergipe,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Blainvillea,Blainvillea dichotoma
1123821330,Brazil,-18.7825,-40.432778,4,2009,PRESERVED_SPECIMEN,MBML-Herbario - Herbário Mello Leitão,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Blainvillea,Blainvillea dichotoma
1099326858,Brazil,-6.333333,-39.383333,5,2009,PRESERVED_SPECIMEN,MOSS - Herbário Dárdano de Andrade Lima,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Blainvillea,Blainvillea dichotoma
1099326544,Brazil,,,5,2009,PRESERVED_SPECIMEN,MOSS - Herbário Dárdano de Andrade Lima,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Blainvillea,Blainvillea dichotoma
1077577477,Brazil,-6.198333,-36.155833,8,2009,PRESERVED_SPECIMEN,IPA - Herbário - IPA Dárdano de Andrade Lima,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Blainvillea,Blainvillea dichotoma
