key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1840924073,Brazil,-18.149306,-53.405222,10,2017,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Tanaecium,Tanaecium pyramidatum
1853954685,Brazil,,,11,2017,PRESERVED_SPECIMEN,CRI - Herbário Pe. Dr. Raulino Reitz,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Tanaecium,Tanaecium pyramidatum
1913570804,Brazil,-26.957222,-49.087222,12,2017,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Tanaecium,Tanaecium pyramidatum
1889177017,Brazil,-9.209167,-56.963611,2,2016,PRESERVED_SPECIMEN,HERBAM - Herbário da Amazônia Meridional,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Tanaecium,Tanaecium pyramidatum
1913592537,Brazil,-25.433333,-54.55,4,2016,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Tanaecium,Tanaecium pyramidatum
1801096792,Brazil,-14.193889,-49.276944,8,2016,PRESERVED_SPECIMEN,HDJF - Herbário Dendrológico Jeanine Felfili,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Tanaecium,Tanaecium pyramidatum
1423914890,Brazil,,,1,2015,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Tanaecium,Tanaecium pyramidatum
1829084974,Brazil,0,0,1,2015,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Tanaecium,Tanaecium pyramidatum
1675143384,Brazil,-29.976944,-50.212778,4,2015,PRESERVED_SPECIMEN,MBML-Herbario - Herbário Mello Leitão,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Tanaecium,Tanaecium pyramidatum
1587295374,Brazil,-29.976883,-50.212736,4,2015,PRESERVED_SPECIMEN,HUCS - Herbário da Universidade de Caxias do Sul,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Tanaecium,Tanaecium pyramidatum
1829093408,Brazil,0,0,7,2015,PRESERVED_SPECIMEN,SPF - Herbário da Universidade de São Paulo,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Tanaecium,Tanaecium pyramidatum
1423893520,Brazil,,,9,2015,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Tanaecium,Tanaecium pyramidatum
1423903339,Brazil,-3.359167,-52.025,9,2015,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Tanaecium,Tanaecium pyramidatum
1423903340,Brazil,-3.265833,-51.785555,9,2015,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Tanaecium,Tanaecium pyramidatum
1424486608,Brazil,-9.970278,-70.063611,1,2014,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Tanaecium,Tanaecium pyramidatum
1424486551,Brazil,-9.633889,-70.010556,1,2014,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Tanaecium,Tanaecium pyramidatum
1424498867,Brazil,-15.045555,-59.9725,3,2014,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Tanaecium,Tanaecium pyramidatum
1095262453,Brazil,-15.045555,-59.9725,3,2014,PRESERVED_SPECIMEN,CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Tanaecium,Tanaecium pyramidatum
