key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1090893613,Brazil,-1.658417,-44.852861,8,2014,PRESERVED_SPECIMEN,MAR - Herbário do Maranhão,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Rhabdadenia,Rhabdadenia biflora
1314849037,Brazil,,,7,2013,UNKNOWN,,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Rhabdadenia,Rhabdadenia biflora
1314848764,Brazil,-0.682778,-48.495278,2,2012,UNKNOWN,,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Rhabdadenia,Rhabdadenia biflora
1090152612,Brazil,-0.588736,-47.57455,9,2012,PRESERVED_SPECIMEN,MFS - Herbário Profª. Drª. Marlene Freitas da Silva,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Rhabdadenia,Rhabdadenia biflora
1314848513,Brazil,,,5,2011,UNKNOWN,,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Rhabdadenia,Rhabdadenia biflora
1314848632,Brazil,,,7,2011,UNKNOWN,,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Rhabdadenia,Rhabdadenia biflora
1314848733,Brazil,-1.324444,-49.239722,11,2011,UNKNOWN,,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Rhabdadenia,Rhabdadenia biflora
1424303518,Brazil,-1.335555,-46.106111,5,2010,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Rhabdadenia,Rhabdadenia biflora
1314848953,Brazil,,,7,2010,UNKNOWN,,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Rhabdadenia,Rhabdadenia biflora
1314848459,Brazil,,,3,2009,UNKNOWN,,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Rhabdadenia,Rhabdadenia biflora
1314847360,Brazil,,,5,2008,UNKNOWN,,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Rhabdadenia,Rhabdadenia biflora
1314847021,Brazil,,,2,2007,UNKNOWN,,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Rhabdadenia,Rhabdadenia biflora
1314849226,Brazil,1.682778,-49.952778,11,2007,UNKNOWN,,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Rhabdadenia,Rhabdadenia biflora
1090583942,Brazil,1.682778,-49.952833,11,2007,PRESERVED_SPECIMEN,HBRA - Herbário do Instituto de Estudos Costeiros da Universidade Federal do Pará,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Rhabdadenia,Rhabdadenia biflora
