key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1913585975,Brazil,-7.516306,-39.506667,2,2016,PRESERVED_SPECIMEN,HCDAL - Herbário Caririense Dárdano de Andrade-Lima,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Wedelia,Wedelia calycina
1264694328,Brazil,0,0,3,2015,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Wedelia,Wedelia calycina
1424510380,Brazil,-16.514722,-56.297778,5,2015,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Wedelia,Wedelia calycina
1264693654,Brazil,-4.140006,-40.86,1,2014,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Wedelia,Wedelia calycina
1264693643,Brazil,-5.039981,-39.059983,3,2014,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Wedelia,Wedelia calycina
1089260881,Brazil,-5.405317,-40.064678,4,2014,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Wedelia,Wedelia calycina
1090761458,Brazil,-20.077667,-56.760472,12,2014,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Wedelia,Wedelia calycina
1089260166,Brazil,-3.631944,-39.541389,9,2013,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Wedelia,Wedelia calycina
1089260143,Brazil,-3.631944,-39.541389,9,2013,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Wedelia,Wedelia calycina
1848742157,Brazil,-1.625278,-48.954167,5,2012,PRESERVED_SPECIMEN,R - Herbário do Museu Nacional,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Wedelia,Wedelia calycina
1090151818,Brazil,-1.625278,-48.954194,5,2012,PRESERVED_SPECIMEN,MFS - Herbário Profª. Drª. Marlene Freitas da Silva,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Wedelia,Wedelia calycina
1095258898,Brazil,-9.519444,-64.815277,10,2012,PRESERVED_SPECIMEN,CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Wedelia,Wedelia calycina
1089195612,Brazil,-6.392778,-36.0425,8,2011,PRESERVED_SPECIMEN,JPB - Herbário Lauro Pires Xavier,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Wedelia,Wedelia calycina
1094916701,Brazil,-6.206667,-36.029722,8,2011,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Wedelia,Wedelia calycina
1089255257,Brazil,-4.254444,-38.992083,3,2009,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Wedelia,Wedelia calycina
1089255487,Brazil,-4.193972,-38.99,7,2009,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Wedelia,Wedelia calycina
1275067876,Brazil,-4.193889,-38.99,7,2009,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Wedelia,Wedelia calycina
1094864536,Brazil,,,12,2008,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Wedelia,Wedelia calycina
1089250168,Brazil,-3.798611,-38.486111,12,2008,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Wedelia,Wedelia calycina
1413722220,Brazil,0,0,1,2007,PRESERVED_SPECIMEN,"SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas",Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Wedelia,Wedelia calycina
1086982202,Brazil,,,5,2007,PRESERVED_SPECIMEN,TEPB - Herbário Graziela Barroso,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Wedelia,Wedelia calycina
1086982235,Brazil,,,5,2007,PRESERVED_SPECIMEN,TEPB - Herbário Graziela Barroso,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Wedelia,Wedelia calycina
1086982174,Brazil,,,5,2007,PRESERVED_SPECIMEN,TEPB - Herbário Graziela Barroso,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Wedelia,Wedelia calycina
1090935076,Brazil,-5.2825,-35.741111,5,2007,PRESERVED_SPECIMEN,HST - Herbário Sérgio Tavares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Wedelia,Wedelia calycina
1086982185,Brazil,,,7,2007,PRESERVED_SPECIMEN,TEPB - Herbário Graziela Barroso,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Wedelia,Wedelia calycina
1086982268,Brazil,,,7,2007,PRESERVED_SPECIMEN,TEPB - Herbário Graziela Barroso,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Wedelia,Wedelia calycina
1086981227,Brazil,,,4,2005,PRESERVED_SPECIMEN,TEPB - Herbário Graziela Barroso,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Wedelia,Wedelia calycina
1089236687,Brazil,0,0,4,2000,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Wedelia,Wedelia calycina
1094798663,Brazil,,,4,2000,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Wedelia,Wedelia calycina
1089231789,Brazil,0,0,5,1997,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Wedelia,Wedelia calycina
1099316905,Brazil,,,7,1991,PRESERVED_SPECIMEN,MOSS - Herbário Dárdano de Andrade Lima,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Wedelia,Wedelia calycina
1086974019,Brazil,,,7,1991,PRESERVED_SPECIMEN,TEPB - Herbário Graziela Barroso,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Wedelia,Wedelia calycina
1796631020,Brazil,3.58,-61.83,3,1987,PRESERVED_SPECIMEN,Vascular plants,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Wedelia,Wedelia calycina
1042542600,Brazil,-3.239167,-59.94,1,1983,PRESERVED_SPECIMEN,"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Wedelia,Wedelia calycina
1042542576,Brazil,-3.239167,-59.94,1,1983,PRESERVED_SPECIMEN,"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Wedelia,Wedelia calycina
1090942085,Brazil,,,4,1983,PRESERVED_SPECIMEN,PEUFR - Herbário Professor Vasconcelos Sobrinho,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Wedelia,Wedelia calycina
1265482440,Brazil,,,6,1983,PRESERVED_SPECIMEN,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Wedelia,Wedelia calycina
1456071872,Brazil,-4.03,-59.07,6,1983,PRESERVED_SPECIMEN,NMNH Extant Biology,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Wedelia,Wedelia calycina
1042542625,Brazil,-3.239167,-59.94,12,1982,PRESERVED_SPECIMEN,"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Wedelia,Wedelia calycina
1099315669,Brazil,-6.058333,-37.933333,2,1980,PRESERVED_SPECIMEN,MOSS - Herbário Dárdano de Andrade Lima,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Wedelia,Wedelia calycina
1099315644,Brazil,-6.058333,-37.933333,2,1980,PRESERVED_SPECIMEN,MOSS - Herbário Dárdano de Andrade Lima,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Wedelia,Wedelia calycina
1099315637,Brazil,-6.077778,-36.366667,2,1980,PRESERVED_SPECIMEN,MOSS - Herbário Dárdano de Andrade Lima,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Wedelia,Wedelia calycina
1099315693,Brazil,-6.141667,-36.683333,3,1980,PRESERVED_SPECIMEN,MOSS - Herbário Dárdano de Andrade Lima,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Wedelia,Wedelia calycina
1099323702,Brazil,-5.233333,-37.1,5,1979,PRESERVED_SPECIMEN,MOSS - Herbário Dárdano de Andrade Lima,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Wedelia,Wedelia calycina
1099315668,Brazil,-5.233333,-37.1,5,1979,PRESERVED_SPECIMEN,MOSS - Herbário Dárdano de Andrade Lima,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Wedelia,Wedelia calycina
1089214053,Brazil,0,0,10,1979,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Wedelia,Wedelia calycina
