key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1913591621,Brazil,-10.5537,-37.61,1,2018,PRESERVED_SPECIMEN,ASE - Herbário da Universidade Federal de Sergipe,Plantae,Tracheophyta,Liliopsida,Zingiberales,Cannaceae,Canna,Canna indica
1837392494,Brazil,-25.472444,-54.024056,3,2018,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Liliopsida,Zingiberales,Cannaceae,Canna,Canna indica
1889173456,Brazil,-24.288639,-51.692583,6,2018,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Liliopsida,Zingiberales,Cannaceae,Canna,Canna indica
1889173613,Brazil,-24.282694,-52.450528,7,2018,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Liliopsida,Zingiberales,Cannaceae,Canna,Canna indica
1913600581,Brazil,-24.509556,-52.573722,7,2018,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Liliopsida,Zingiberales,Cannaceae,Canna,Canna indica
1913600802,Brazil,-24.407306,-52.041389,8,2018,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Liliopsida,Zingiberales,Cannaceae,Canna,Canna indica
1570755808,Brazil,-24.439583,-51.845861,5,2017,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Liliopsida,Zingiberales,Cannaceae,Canna,Canna indica
1801102371,Brazil,-27.473333,-48.381111,9,2017,PRESERVED_SPECIMEN,FLOR - Herbário do Departamento de Botânica da Universidade Federal de Santa Catarina,Plantae,Tracheophyta,Liliopsida,Zingiberales,Cannaceae,Canna,Canna indica
1801099064,Brazil,-26.166389,-48.530278,9,2017,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Liliopsida,Zingiberales,Cannaceae,Canna,Canna indica
1840928956,Brazil,-25.1797,-48.3005,9,2017,PRESERVED_SPECIMEN,EFC - Herbário Escola de Florestas Curitiba,Plantae,Tracheophyta,Liliopsida,Zingiberales,Cannaceae,Canna,Canna indica
1853943477,Brazil,,,9,2017,PRESERVED_SPECIMEN,HPBR - Herbário Padre Balduino Rambo,Plantae,Tracheophyta,Liliopsida,Zingiberales,Cannaceae,Canna,Canna indica
1676469398,Brazil,-26.773333,-49.036944,9,2017,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Liliopsida,Zingiberales,Cannaceae,Canna,Canna indica
1676469205,Brazil,-26.923611,-49.187222,9,2017,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Liliopsida,Zingiberales,Cannaceae,Canna,Canna indica
1702659665,Brazil,-24.017278,-52.405139,10,2017,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Liliopsida,Zingiberales,Cannaceae,Canna,Canna indica
1837380680,Brazil,-27.0225,-48.579167,10,2017,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Liliopsida,Zingiberales,Cannaceae,Canna,Canna indica
1265917753,Brazil,-26.28,-49.363056,3,2016,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Liliopsida,Zingiberales,Cannaceae,Canna,Canna indica
1324589623,Brazil,-10.2759,-36.2917,5,2016,PRESERVED_SPECIMEN,ASE - Herbário da Universidade Federal de Sergipe,Plantae,Tracheophyta,Liliopsida,Zingiberales,Cannaceae,Canna,Canna indica
1324595793,Brazil,-24.370667,-51.952528,6,2016,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Liliopsida,Zingiberales,Cannaceae,Canna,Canna indica
1423926653,Brazil,-22.958056,-43.445555,7,2016,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Zingiberales,Cannaceae,Canna,Canna indica
1077408964,Brazil,-26.945833,-49.3725,7,2016,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Liliopsida,Zingiberales,Cannaceae,Canna,Canna indica
1324596019,Brazil,,,8,2016,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Liliopsida,Zingiberales,Cannaceae,Canna,Canna indica
1324596952,Brazil,-24.771833,-52.133,9,2016,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Liliopsida,Zingiberales,Cannaceae,Canna,Canna indica
1563170767,Brazil,-26.278333,-49.370556,11,2016,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Liliopsida,Zingiberales,Cannaceae,Canna,Canna indica
1563170980,Brazil,-28.934444,-49.363611,12,2016,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Liliopsida,Zingiberales,Cannaceae,Canna,Canna indica
1913147205,Brazil,-21.078746,-47.049063,1,2015,HUMAN_OBSERVATION,iNaturalist research-grade observations,Plantae,Tracheophyta,Liliopsida,Zingiberales,Cannaceae,Canna,Canna indica
1077509092,Brazil,-29.133419,-51.832647,2,2015,PRESERVED_SPECIMEN,HVAT - Herbário do Vale do Taquari,Plantae,Tracheophyta,Liliopsida,Zingiberales,Cannaceae,Canna,Canna indica
1095182595,Brazil,-24.557056,-48.10725,3,2015,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Liliopsida,Zingiberales,Cannaceae,Canna,Canna indica
1135826056,Brazil,-25.154056,-53.841111,6,2015,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Liliopsida,Zingiberales,Cannaceae,Canna,Canna indica
1135086571,Brazil,-25.687139,-54.435,6,2015,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Liliopsida,Zingiberales,Cannaceae,Canna,Canna indica
1829094772,Brazil,-23.427194,-46.591722,6,2015,PRESERVED_SPECIMEN,"SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas",Plantae,Tracheophyta,Liliopsida,Zingiberales,Cannaceae,Canna,Canna indica
1423895407,Brazil,0,0,6,2015,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Zingiberales,Cannaceae,Canna,Canna indica
1413715602,Brazil,0,0,7,2015,PRESERVED_SPECIMEN,"EAFM - Herbário do Instituto Federal de Educação, Ciência e Tecnologia do Amazonas",Plantae,Tracheophyta,Liliopsida,Zingiberales,Cannaceae,Canna,Canna indica
1848248880,Brazil,-24.846944,-48.243889,7,2015,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Liliopsida,Zingiberales,Cannaceae,Canna,Canna indica
1143431003,Brazil,-24.370694,-51.952722,8,2015,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Liliopsida,Zingiberales,Cannaceae,Canna,Canna indica
