key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1123830250,Brazil,-22.286389,-41.730556,4,2014,PRESERVED_SPECIMEN,MBML-Herbario - Herbário Mello Leitão,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Conyza,Conyza sumatrensis
1135926676,Brazil,,,3,2008,PRESERVED_SPECIMEN,ESA - Herbário da Escola Superior de Agricultura Luiz de Queiroz,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Conyza,Conyza sumatrensis
1095186087,Brazil,-8.979501,-35.937693,6,2002,PRESERVED_SPECIMEN,HUCPE - Herbário da Universidade Católica de Pernambuco,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Conyza,Conyza sumatrensis
1260722534,Brazil,-7.186111,-37.431389,2,1998,PRESERVED_SPECIMEN,Tropicos,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Conyza,Conyza sumatrensis
1260721987,Brazil,-13.3,-41.8,,1992,PRESERVED_SPECIMEN,Tropicos,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Conyza,Conyza sumatrensis
1260723829,Brazil,,,12,1991,PRESERVED_SPECIMEN,Tropicos,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Conyza,Conyza sumatrensis
1260288630,Brazil,,,7,1989,PRESERVED_SPECIMEN,Tropicos,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Conyza,Conyza sumatrensis
1123784777,Brazil,-19.931111,-40.620556,10,1984,PRESERVED_SPECIMEN,MBML-Herbario - Herbário Mello Leitão,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Conyza,Conyza sumatrensis
1258096517,Brazil,,,9,1980,PRESERVED_SPECIMEN,Tropicos,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Conyza,Conyza sumatrensis
1258096506,Brazil,-11.633333,-41.033333,3,1977,PRESERVED_SPECIMEN,Tropicos,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Conyza,Conyza sumatrensis
1258096358,Brazil,,,11,1947,PRESERVED_SPECIMEN,Tropicos,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Conyza,Conyza sumatrensis
416888298,Brazil,,,,,PRESERVED_SPECIMEN,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Conyza,Conyza sumatrensis
1258086297,Brazil,,,,,PRESERVED_SPECIMEN,Tropicos,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Conyza,Conyza sumatrensis
1258086479,Brazil,,,,,PRESERVED_SPECIMEN,Tropicos,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Conyza,Conyza sumatrensis
