key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1802631290,Brazil,-12.86535,-38.397963,8,2017,HUMAN_OBSERVATION,iNaturalist research-grade observations,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Merremia,Merremia umbellata
1668835342,Brazil,-17.29923,-56.837793,8,2017,HUMAN_OBSERVATION,iNaturalist research-grade observations,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Merremia,Merremia umbellata
1702777619,Brazil,-18.9621,-57.6775,9,2017,PRESERVED_SPECIMEN,NMNH Extant Biology,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Merremia,Merremia umbellata
1802642827,Brazil,-17.26645,-56.895575,9,2017,HUMAN_OBSERVATION,iNaturalist research-grade observations,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Merremia,Merremia umbellata
1702848041,Brazil,-19.3129,-57.0546,9,2017,PRESERVED_SPECIMEN,NMNH Extant Biology,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Merremia,Merremia umbellata
1086730506,Brazil,0,0,9,2008,PRESERVED_SPECIMEN,HTSA - Herbário do Trópico Semiárido,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Merremia,Merremia umbellata
1135931352,Brazil,,,7,2006,PRESERVED_SPECIMEN,ESA - Herbário da Escola Superior de Agricultura Luiz de Queiroz,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Merremia,Merremia umbellata
1086730633,Brazil,0,0,9,2006,PRESERVED_SPECIMEN,HTSA - Herbário do Trópico Semiárido,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Merremia,Merremia umbellata
1086729932,Brazil,0,0,5,2002,PRESERVED_SPECIMEN,HTSA - Herbário do Trópico Semiárido,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Merremia,Merremia umbellata
1086729710,Brazil,0,0,4,2001,PRESERVED_SPECIMEN,HTSA - Herbário do Trópico Semiárido,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Merremia,Merremia umbellata
1135889354,Brazil,,,7,2000,PRESERVED_SPECIMEN,ESA - Herbário da Escola Superior de Agricultura Luiz de Queiroz,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Merremia,Merremia umbellata
1099306998,Brazil,,,4,1999,PRESERVED_SPECIMEN,HPL - Herbário do Jardim Botânico Plantarum,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Merremia,Merremia umbellata
1086980825,Brazil,,,7,1999,PRESERVED_SPECIMEN,TEPB - Herbário Graziela Barroso,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Merremia,Merremia umbellata
1135902984,Brazil,,,8,1997,PRESERVED_SPECIMEN,ESA - Herbário da Escola Superior de Agricultura Luiz de Queiroz,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Merremia,Merremia umbellata
1135878239,Brazil,,,,,PRESERVED_SPECIMEN,ESA - Herbário da Escola Superior de Agricultura Luiz de Queiroz,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Merremia,Merremia umbellata
1086729895,Brazil,0,0,,,PRESERVED_SPECIMEN,HTSA - Herbário do Trópico Semiárido,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Merremia,Merremia umbellata
