Nome entrada,Status,Nome,Sinonimos
Nelsonia brunelloides (Lam.) Kuntz,,,[]
Echinodorus andrieuxii (Hook et Arn.) Smal,,,[]
Echinodorus aschersonianus Graebn.,,,[]
Justia pectoralis Jacq.,,,[]
Hygrophila guianensis Nees,SINONIMO,Hygrophila guianensis Nees,[]
Echinodorus floribundus (Seub.) Seub.,accepted,Echinodorus floribundus (Seub.) Seub.,"['Alisma floribundum Seub.', 'Alisma pubescens var. claussenii Seub.', 'Echinodorus grandiflorus var. aureus Fassett', 'Echinodorus grandiflorus subsp. aureus (Fassett) R.R.Haynes & Holm-Niels.', 'Echinodorus grandiflorus var. claussenii (Seub.) Hoehne', 'Echinodorus grandiflorus var. floribundus (Seub.) Micheli', 'Echinodorus grandiflorus var. longibracteatus Rataj', 'Echinodorus macrophyllus var. muricatus (Griseb.) Micheli', 'Echinodorus muricatus Griseb.', 'Echinodorus punctatus Micheli', 'Sagittaria brasiliensis Mart. ex Micheli']"
Dyschoriste maranhonis Kuntze,accepted,Dyschoriste maranhonis (Nees) Kuntze,"['Calophanes maranhonis Nees', 'Zahlbrucknera maranhonis Pohl ex Nees']"
Echinodorus argentinensis Rataj.,SINONIMO,Echinodorus argentinensis Rataj,[]
Hygrophila costata Nees,accepted,Hygrophila costata Nees,"['Ecbolium lithospermifolium (Vahl) Kuntze', 'Hygrophila acutangula Nees ex Mart.', 'Hygrophila atricheta Bridar.', 'Hygrophila brasiliensis (Spreng.) Lindau', 'Hygrophila conferta Nees', 'Hygrophila guianensis Nees', 'Hygrophila helodes Nees', 'Hygrophila lacustris (Cham. & Schltdl.) Nees', 'Hygrophila latifolia Nees', 'Hygrophila pubescens Nees', 'Hygrophila rivularis (Schltdl.) Nees', 'Hygrophila verticillata (Spreng.) Herter', 'Justicia lithospermifolia Vahl', 'Justicia marrubiastrum Blanch. ex Nees', 'Pedicularis sessilis Vell.', 'Ruellia brasiliensis Spreng.', 'Ruellia filicifolia Salzm. ex Nees', 'Ruellia lacustris Cham. & Schltdl.', 'Ruellia rivularis Schltdl.', 'Ruellia verticillata Spreng.', 'Zahlbrucknera conferta Pohl ex Nees [Invalid]', 'Zahlbrucknera longifolia Pohl ex Nees', 'Zahlbrucknera micrantha Pohl ex Nees', 'Zahlbrucknera oblongifolia Pohl ex Nees']"
Hygrophila helodes Nees ,SINONIMO,Hygrophila helodes Nees,[]
Echinodorus glandulosus Rataj,SINONIMO,Echinodorus glandulosus Rataj,"['Dianthera comata L.', 'Dianthera decumbens Sw. ex Nees', 'Dianthera humifusa J.F.Gmel.', 'Ecbolium comatum (L.) Kuntze', 'Ecbolium havanense Kuntze', 'Justicia humifusa Sw.', 'Justicia parviflora (Nees) Lindau', 'Leptostachya comata (L.) Kostel.', 'Leptostachya comata (L.) Nees', 'Leptostachya martiana Nees', 'Leptostachya martiniana Nees', 'Leptostachya parviflora Nees', 'Psacadocalymma comatum (L.) Bremek.', 'Rhytiglossa acuminata Nees', 'Rhytiglossa havanensis Nees', 'Stethoma comata (L.) Britton', 'Thalestris graminiformis Rizzini']"
Justicia comata (L.) Lam.,accepted,Justicia comata (L.) Lam.,"['Dianthera comata L.', 'Dianthera decumbens Sw. ex Nees', 'Dianthera humifusa J.F.Gmel.', 'Ecbolium comatum (L.) Kuntze', 'Ecbolium havanense Kuntze', 'Justicia humifusa Sw.', 'Justicia parviflora (Nees) Lindau', 'Leptostachya comata (L.) Kostel.', 'Leptostachya comata (L.) Nees', 'Leptostachya martiana Nees', 'Leptostachya martiniana Nees', 'Leptostachya parviflora Nees', 'Psacadocalymma comatum (L.) Bremek.', 'Rhytiglossa acuminata Nees', 'Rhytiglossa havanensis Nees', 'Stethoma comata (L.) Britton', 'Thalestris graminiformis Rizzini']"
Ruellia bahiensis (Nees) Morong,accepted,Ruellia bahiensis (Nees) Morong,['Dipteracanthus bahiensis Nees']
