Nome entrada,Status_plant,Nome_plant,Status_flora,Nome_flora,Flora x Plant
Abildgaardia ovata (Burm. f.) Kral ,Sinonimo,Abildgaardia ovata (Burm.f.) Kral,Aceito,Abildgaardia ovata (Burm.f.) Kral,Diferente
Acalypha arvensis Poepp. ,,,Aceito,Acalypha arvensis Poepp.,Diferente
Acalypha poiretii Spreng. ,Aceito,Acalypha poiretii Spreng.,Aceito,Acalypha poiretii Spreng.,Igual
Acanthospermum australe (Loef.) Kuntze,Aceito,Acanthospermum australe (Loefl.) Kuntze,Aceito,Acanthospermum australe (Loefl.) Kuntze,Igual
Acanthospermum hispidum DC. ,Aceito,Acanthospermum hispidum DC.,Aceito,Acanthospermum hispidum DC.,Igual
Achetaria ocymoides (Cham. & Schltdl.) Wettst. ,Aceito,Achetaria ocymoides (Cham. & Schltdl.) Wettst.,Aceito,Achetaria ocymoides (Cham. & Schltdl.) Wettst.,Igual
Achyrocline alata (Kunth) DC. ,Aceito,Achyrocline alata (Kunth) DC.,Aceito,Achyrocline alata (Kunth) DC.,Igual
Acilepdopsis echitifolia (Mart. Ex DC.) H. Rob.,,,,,Diferente
Aciotis acuminifolia (Mart. ex DC.) Triana ,Aceito,Aciotis acuminifolia (Mart. ex DC.) Triana,Aceito,Aciotis acuminifolia (Mart. ex DC.) Triana,Igual
Aciotis ornata (Miq.) Gleason ,Aceito,Aciotis ornata (Miq.) Gleason,Aceito,Aciotis ornata (Miq.) Gleason,Igual
Acisanthera alsinaefolia (DC.) Triana,Aceito,Acisanthera alsinaefolia (DC.) Triana,,,Diferente
Acisanthera divaricarta Cogn.,Sinonimo,Acisanthera alata Cogn.,,,Diferente
Acisanthera fluitans Cogn.,Sinonimo,Acisanthera fluitans Cogn.,Sinonimo,Acisanthera fluitans Cogn.,Igual
Acisanthera limnobios (DC.) Triana ,Aceito,Acisanthera limnobios (DC.) Triana,Sinonimo,Acisanthera limnobios (Schrank & Mart. ex DC.) Triana,Diferente
Acisanthera variabilis (DC.) Triana,Aceito,Acisanthera variabilis (DC.) Triana,Aceito,Acisanthera variabilis (Naud.) Triana,Diferente
Acmella uliginosa (Sw.) Cass.,Aceito,Acmella uliginosa (Sw.) Cass.,Aceito,Acmella uliginosa (Sw.) Cass.,Igual
Acroceras zizanioides (Kunth) Dandy,Aceito,Acroceras zizanioides (Kunth) Dandy,Aceito,Acroceras zizanioides (Kunth) Dandy,Igual
