key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1853947461,Brazil,-15.434167,-39.648056,6,2018,PRESERVED_SPECIMEN,UESC - Herbário Universidade Estadual de Santa Cruz,Plantae,Tracheophyta,Liliopsida,Zingiberales,Costaceae,Costus,Costus arabicus
1840925662,Brazil,-12.746836,-54.336272,2,2017,PRESERVED_SPECIMEN,CNMT - Herbário Centro Norte Mato Grossense,Plantae,Tracheophyta,Liliopsida,Zingiberales,Costaceae,Costus,Costus arabicus
1840911511,Brazil,-2.875556,-54.939722,2,2017,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Zingiberales,Costaceae,Costus,Costus arabicus
1840925639,Brazil,-12.761828,-54.312606,2,2017,PRESERVED_SPECIMEN,CNMT - Herbário Centro Norte Mato Grossense,Plantae,Tracheophyta,Liliopsida,Zingiberales,Costaceae,Costus,Costus arabicus
1889178217,Brazil,-9.586,-55.917667,2,2017,PRESERVED_SPECIMEN,HERBAM - Herbário da Amazônia Meridional,Plantae,Tracheophyta,Liliopsida,Zingiberales,Costaceae,Costus,Costus arabicus
1676572763,Brazil,-3.198667,-52.2104,3,2017,PRESERVED_SPECIMEN,MFS - Herbário Profª. Drª. Marlene Freitas da Silva,Plantae,Tracheophyta,Liliopsida,Zingiberales,Costaceae,Costus,Costus arabicus
1676473030,Brazil,-15.360278,-38.990556,6,2017,PRESERVED_SPECIMEN,UESC - Herbário Universidade Estadual de Santa Cruz,Plantae,Tracheophyta,Liliopsida,Zingiberales,Costaceae,Costus,Costus arabicus
1658212430,Brazil,,,7,2017,PRESERVED_SPECIMEN,UESC - Herbário Universidade Estadual de Santa Cruz,Plantae,Tracheophyta,Liliopsida,Zingiberales,Costaceae,Costus,Costus arabicus
1801175414,Brazil,-15.098611,-39.175,9,2017,PRESERVED_SPECIMEN,UESC - Herbário Universidade Estadual de Santa Cruz,Plantae,Tracheophyta,Liliopsida,Zingiberales,Costaceae,Costus,Costus arabicus
1499624274,Brazil,-1.916667,-47.778333,10,2016,PRESERVED_SPECIMEN,MFS - Herbário Profª. Drª. Marlene Freitas da Silva,Plantae,Tracheophyta,Liliopsida,Zingiberales,Costaceae,Costus,Costus arabicus
1638350021,Brazil,-1.916667,-47.778333,10,2016,PRESERVED_SPECIMEN,HEPH - Herbário Ezechias Paulo Heringer,Plantae,Tracheophyta,Liliopsida,Zingiberales,Costaceae,Costus,Costus arabicus
1638350086,Brazil,-1.916667,-47.778333,10,2016,PRESERVED_SPECIMEN,HEPH - Herbário Ezechias Paulo Heringer,Plantae,Tracheophyta,Liliopsida,Zingiberales,Costaceae,Costus,Costus arabicus
1499624194,Brazil,-1.916667,-47.778333,10,2016,PRESERVED_SPECIMEN,MFS - Herbário Profª. Drª. Marlene Freitas da Silva,Plantae,Tracheophyta,Liliopsida,Zingiberales,Costaceae,Costus,Costus arabicus
1889175754,Brazil,,,1,2015,PRESERVED_SPECIMEN,HERBAM - Herbário da Amazônia Meridional,Plantae,Tracheophyta,Liliopsida,Zingiberales,Costaceae,Costus,Costus arabicus
1848246835,Brazil,-10.978056,-55.513889,1,2015,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Liliopsida,Zingiberales,Costaceae,Costus,Costus arabicus
1423901967,Brazil,,,1,2015,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Zingiberales,Costaceae,Costus,Costus arabicus
1291822675,Brazil,,,1,2015,PRESERVED_SPECIMEN,MBML-Herbario - Herbário Mello Leitão,Plantae,Tracheophyta,Liliopsida,Zingiberales,Costaceae,Costus,Costus arabicus
1095182342,Brazil,-26.838611,-48.655833,1,2015,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Liliopsida,Zingiberales,Costaceae,Costus,Costus arabicus
1077425124,Brazil,-26.831111,-48.638333,1,2015,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Liliopsida,Zingiberales,Costaceae,Costus,Costus arabicus
1853945516,Brazil,-10.978056,-55.513889,1,2015,PRESERVED_SPECIMEN,CNMT - Herbário Centro Norte Mato Grossense,Plantae,Tracheophyta,Liliopsida,Zingiberales,Costaceae,Costus,Costus arabicus
1424504824,Brazil,,,3,2015,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Zingiberales,Costaceae,Costus,Costus arabicus
1658342907,Brazil,-2.073611,-61.158889,5,2015,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Zingiberales,Costaceae,Costus,Costus arabicus
1424510360,Brazil,-16.514722,-56.297778,5,2015,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Zingiberales,Costaceae,Costus,Costus arabicus
1423925025,Brazil,-3.261667,-52.091667,7,2015,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Zingiberales,Costaceae,Costus,Costus arabicus
1423925164,Brazil,-3.343055,-51.952222,12,2015,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Zingiberales,Costaceae,Costus,Costus arabicus
1213674725,Brazil,0,0,1,2014,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Liliopsida,Zingiberales,Costaceae,Costus,Costus arabicus
1213674517,Brazil,0,0,1,2014,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Liliopsida,Zingiberales,Costaceae,Costus,Costus arabicus
1423916553,Brazil,,,1,2014,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Zingiberales,Costaceae,Costus,Costus arabicus
1841166359,Brazil,9.581128,0,1,2014,PRESERVED_SPECIMEN,,Plantae,Tracheophyta,Liliopsida,Zingiberales,Costaceae,Costus,Costus arabicus
1213519985,Brazil,-10.116111,-36.231389,2,2014,PRESERVED_SPECIMEN,MAC - Herbário do Instituto do Meio Ambiente do Estado de Alagoas,Plantae,Tracheophyta,Liliopsida,Zingiberales,Costaceae,Costus,Costus arabicus
1291822710,Brazil,,,8,2014,PRESERVED_SPECIMEN,MBML-Herbario - Herbário Mello Leitão,Plantae,Tracheophyta,Liliopsida,Zingiberales,Costaceae,Costus,Costus arabicus
1889175731,Brazil,,,12,2014,PRESERVED_SPECIMEN,HERBAM - Herbário da Amazônia Meridional,Plantae,Tracheophyta,Liliopsida,Zingiberales,Costaceae,Costus,Costus arabicus
1848246592,Brazil,-11.023333,-55.427778,12,2014,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Liliopsida,Zingiberales,Costaceae,Costus,Costus arabicus
1853945381,Brazil,-10.814444,-55.468889,12,2014,PRESERVED_SPECIMEN,CNMT - Herbário Centro Norte Mato Grossense,Plantae,Tracheophyta,Liliopsida,Zingiberales,Costaceae,Costus,Costus arabicus
1848246831,Brazil,-10.954444,-55.746389,12,2014,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Liliopsida,Zingiberales,Costaceae,Costus,Costus arabicus
1853945520,Brazil,-11.006944,-55.500278,12,2014,PRESERVED_SPECIMEN,CNMT - Herbário Centro Norte Mato Grossense,Plantae,Tracheophyta,Liliopsida,Zingiberales,Costaceae,Costus,Costus arabicus
1848246596,Brazil,-10.814444,-55.468889,12,2014,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Liliopsida,Zingiberales,Costaceae,Costus,Costus arabicus
1042711309,Brazil,-5.454167,-57.07,2,2013,PRESERVED_SPECIMEN,"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",Plantae,Tracheophyta,Liliopsida,Zingiberales,Costaceae,Costus,Costus arabicus
1213675847,Brazil,-25.987628,-48.891364,2,2013,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Liliopsida,Zingiberales,Costaceae,Costus,Costus arabicus
1094886580,Brazil,,,3,2013,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Liliopsida,Zingiberales,Costaceae,Costus,Costus arabicus
1042710478,Brazil,-5.428611,-56.9,4,2013,PRESERVED_SPECIMEN,"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",Plantae,Tracheophyta,Liliopsida,Zingiberales,Costaceae,Costus,Costus arabicus
1087539708,Brazil,-14.797222,-39.171667,4,2013,PRESERVED_SPECIMEN,HUESB - Herbário da Universidade Estadual do Sudoeste da Bahia,Plantae,Tracheophyta,Liliopsida,Zingiberales,Costaceae,Costus,Costus arabicus
1094176841,Brazil,-14.797222,-39.171667,4,2013,PRESERVED_SPECIMEN,UESC - Herbário Universidade Estadual de Santa Cruz,Plantae,Tracheophyta,Liliopsida,Zingiberales,Costaceae,Costus,Costus arabicus
1424505569,Brazil,-21.755556,-41.050278,8,2013,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Zingiberales,Costaceae,Costus,Costus arabicus
1090755133,Brazil,-16.823064,-57.558028,11,2013,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Zingiberales,Costaceae,Costus,Costus arabicus
