key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1424484760,Brazil,-9.270556,-64.641944,1,2009,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Aneilema,Aneilema umbrosum
1089140688,Brazil,,,6,2004,PRESERVED_SPECIMEN,EAN - Herbário Jaime Coelho de Moraes,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Aneilema,Aneilema umbrosum
1090926463,Brazil,,,7,1998,PRESERVED_SPECIMEN,HST - Herbário Sérgio Tavares,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Aneilema,Aneilema umbrosum
1801103214,Brazil,0,0,7,1998,PRESERVED_SPECIMEN,HCDAL - Herbário Caririense Dárdano de Andrade-Lima,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Aneilema,Aneilema umbrosum
1077597050,Brazil,0,0,7,1998,PRESERVED_SPECIMEN,MAC - Herbário do Instituto do Meio Ambiente do Estado de Alagoas,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Aneilema,Aneilema umbrosum
1795920142,Brazil,0,0,8,1987,PRESERVED_SPECIMEN,Vascular plants,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Aneilema,Aneilema umbrosum
1260391901,Brazil,-3.33333,-64.83333,12,1982,PRESERVED_SPECIMEN,Tropicos,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Aneilema,Aneilema umbrosum
1424208134,Brazil,-3.333333,-64.833333,12,1982,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Aneilema,Aneilema umbrosum
1097956653,Brazil,-3.345023,-64.823928,12,1982,PRESERVED_SPECIMEN,Vascular plants,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Aneilema,Aneilema umbrosum
1319904746,Brazil,,,12,1982,PRESERVED_SPECIMEN,NMNH Extant Biology,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Aneilema,Aneilema umbrosum
1318182908,Brazil,,,7,1981,PRESERVED_SPECIMEN,NMNH Extant Biology,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Aneilema,Aneilema umbrosum
1318403363,Brazil,,,7,1981,PRESERVED_SPECIMEN,NMNH Extant Biology,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Aneilema,Aneilema umbrosum
1797339982,Brazil,-0.92,-54.43,7,1981,PRESERVED_SPECIMEN,Vascular plants,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Aneilema,Aneilema umbrosum
1796667298,Brazil,-0.92,-54.43,7,1981,PRESERVED_SPECIMEN,Vascular plants,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Aneilema,Aneilema umbrosum
1795908432,Brazil,-1.07,-46.98,4,1980,PRESERVED_SPECIMEN,Vascular plants,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Aneilema,Aneilema umbrosum
1259037757,Brazil,-1.066667,-46.983333,4,1980,PRESERVED_SPECIMEN,Tropicos,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Aneilema,Aneilema umbrosum
1321736576,Brazil,,,4,1980,PRESERVED_SPECIMEN,NMNH Extant Biology,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Aneilema,Aneilema umbrosum
1322955766,Brazil,,,6,1980,PRESERVED_SPECIMEN,NMNH Extant Biology,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Aneilema,Aneilema umbrosum
1424208158,Brazil,,,6,1980,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Aneilema,Aneilema umbrosum
1796235839,Brazil,-1.149973,-57.007794,6,1980,PRESERVED_SPECIMEN,Vascular plants,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Aneilema,Aneilema umbrosum
1260394181,Brazil,0.41666,-64.41666,6,1979,PRESERVED_SPECIMEN,Tropicos,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Aneilema,Aneilema umbrosum
