key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1829088344,Brazil,-21.271969,-44.518361,1,2018,PRESERVED_SPECIMEN,HUFSJ - Herbário da Universidade Federal de São João Del Rei,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1913601111,Brazil,-15.016667,-42.366667,2,2018,PRESERVED_SPECIMEN,HURB - Herbário do Recôncavo da Bahia,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1890644085,Brazil,0,0,2,2018,PRESERVED_SPECIMEN,HEPH - Herbário Ezechias Paulo Heringer,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1837382035,Brazil,-2.894167,-41.625778,2,2018,PRESERVED_SPECIMEN,TEPB - Herbário Graziela Barroso,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1837392790,Brazil,-12.7275,-39.569722,2,2018,PRESERVED_SPECIMEN,HURB - Herbário do Recôncavo da Bahia,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1889188644,Brazil,-15.016667,-42.366667,2,2018,PRESERVED_SPECIMEN,ALCB - Herbário Alexandre Leal Costa,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1847971908,Brazil,,,3,2018,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1889166411,Brazil,0,0,3,2018,PRESERVED_SPECIMEN,HUEM - Herbário UEM,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1837750820,Brazil,-9.956388,-67.869479,4,2018,HUMAN_OBSERVATION,iNaturalist research-grade observations,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1889189008,Brazil,-11.933333,-39.466667,4,2018,PRESERVED_SPECIMEN,ALCB - Herbário Alexandre Leal Costa,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1838022662,Brazil,-22.887965,-47.035723,4,2018,HUMAN_OBSERVATION,iNaturalist research-grade observations,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1880512261,Brazil,-3.684459,-39.585029,5,2018,HUMAN_OBSERVATION,iNaturalist research-grade observations,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1889173985,Brazil,-12.493611,-41.328889,6,2018,PRESERVED_SPECIMEN,HURB - Herbário do Recôncavo da Bahia,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1889173667,Brazil,,,6,2018,PRESERVED_SPECIMEN,HURB - Herbário do Recôncavo da Bahia,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1913601088,Brazil,-11.56,-41.148889,7,2018,PRESERVED_SPECIMEN,HURB - Herbário do Recôncavo da Bahia,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1585333609,Brazil,,,1,2017,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1571563040,Brazil,0,0,1,2017,PRESERVED_SPECIMEN,UEC - Herbário da Universidade Estadual de Campinas,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1880800093,Brazil,-26.296111,-49.389722,1,2017,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1801099230,Brazil,-26.296111,-49.389722,1,2017,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1455393180,Brazil,-8.501944,-35.003333,1,2017,PRESERVED_SPECIMEN,HURB - Herbário do Recôncavo da Bahia,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1801103595,Brazil,-30.324547,-52.485831,2,2017,PRESERVED_SPECIMEN,HVAT - Herbário do Vale do Taquari,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1657213046,Brazil,-10.4923,-37.0939,2,2017,PRESERVED_SPECIMEN,ASE - Herbário da Universidade Federal de Sergipe,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1702658134,Brazil,,,2,2017,PRESERVED_SPECIMEN,SLUI - Herbário Rosa Mochel,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1563174997,Brazil,0,0,3,2017,PRESERVED_SPECIMEN,HUSC - Herbário Unisanta,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1455708196,Brazil,-21.216667,-43.75,3,2017,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1699901671,Brazil,-8.81,-36.406111,3,2017,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1699901584,Brazil,-7.968056,-38.384167,3,2017,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1853943855,Brazil,-11.211167,-41.364667,4,2017,PRESERVED_SPECIMEN,HVASF - Herbário Vale do São Francisco,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1901019209,Brazil,-11.211111,-41.364722,4,2017,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1801101729,Brazil,,,4,2017,PRESERVED_SPECIMEN,FLOR - Herbário do Departamento de Botânica da Universidade Federal de Santa Catarina,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1913603407,Brazil,,,4,2017,PRESERVED_SPECIMEN,CRI - Herbário Pe. Dr. Raulino Reitz,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1840912113,Brazil,-27,-51.48,5,2017,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1702645797,Brazil,-3.101944,-40.0675,5,2017,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1570750341,Brazil,-26.996389,-52.651111,5,2017,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1570750402,Brazil,-27,-51.48,5,2017,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1587321793,Brazil,-12.945278,-39.545556,6,2017,PRESERVED_SPECIMEN,HURB - Herbário do Recôncavo da Bahia,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1587298697,Brazil,,,7,2017,PRESERVED_SPECIMEN,TEPB - Herbário Graziela Barroso,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1889169797,Brazil,-2.731944,-42.183611,7,2017,PRESERVED_SPECIMEN,MAR - Herbário do Maranhão,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1587321877,Brazil,-12.778056,-39.562778,7,2017,PRESERVED_SPECIMEN,HURB - Herbário do Recôncavo da Bahia,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1836618056,Brazil,-2.932992,-59.975413,8,2017,HUMAN_OBSERVATION,iNaturalist research-grade observations,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1835178669,Brazil,,,9,2017,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1676475447,Brazil,-13.215111,-40.014833,9,2017,PRESERVED_SPECIMEN,HUESB - Herbário da Universidade Estadual do Sudoeste da Bahia,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1802760130,Brazil,-19.956532,-56.233983,9,2017,HUMAN_OBSERVATION,iNaturalist research-grade observations,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1802721638,Brazil,-20.10545,-56.633208,9,2017,HUMAN_OBSERVATION,iNaturalist research-grade observations,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1702659033,Brazil,,,9,2017,PRESERVED_SPECIMEN,HST - Herbário Sérgio Tavares,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1827467452,Brazil,,,9,2017,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1702826277,Brazil,-19.5592,-57.0385,9,2017,PRESERVED_SPECIMEN,NMNH Extant Biology,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1806874648,Brazil,,,10,2017,PRESERVED_SPECIMEN,HURB - Herbário do Recôncavo da Bahia,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1806874843,Brazil,,,10,2017,PRESERVED_SPECIMEN,HURB - Herbário do Recôncavo da Bahia,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1806874747,Brazil,-13.770556,-39.156667,10,2017,PRESERVED_SPECIMEN,HURB - Herbário do Recôncavo da Bahia,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1889188551,Brazil,-12.35,-40.9,11,2017,PRESERVED_SPECIMEN,ALCB - Herbário Alexandre Leal Costa,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1703146199,Brazil,-22.870952,-47.029682,11,2017,HUMAN_OBSERVATION,iNaturalist research-grade observations,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1829088594,Brazil,,,12,2017,PRESERVED_SPECIMEN,HURB - Herbário do Recôncavo da Bahia,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1829088351,Brazil,-21.223839,-44.502567,12,2017,PRESERVED_SPECIMEN,HUFSJ - Herbário da Universidade Federal de São João Del Rei,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1840926665,Brazil,-2.531278,-44.335556,2,2016,PRESERVED_SPECIMEN,MAR - Herbário do Maranhão,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1801179424,Brazil,-2.533111,-44.349361,2,2016,PRESERVED_SPECIMEN,MAR - Herbário do Maranhão,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1889169759,Brazil,-2.554222,-44.047278,2,2016,PRESERVED_SPECIMEN,MAR - Herbário do Maranhão,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
1264697472,Brazil,-10.649444,-41.670833,2,2016,PRESERVED_SPECIMEN,HURB - Herbário do Recôncavo da Bahia,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta
