key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1806847252,Brazil,-18.113247,-53.731092,10,2017,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Helanthium,Helanthium bolivianum
1806847283,Brazil,-18.157056,-53.412417,10,2017,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Helanthium,Helanthium bolivianum
1853942844,Brazil,-21.381278,-56.577778,10,2016,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Helanthium,Helanthium bolivianum
1837382826,Brazil,-21.392083,-56.611056,10,2016,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Helanthium,Helanthium bolivianum
1270117433,Brazil,-6.399722,-50.370833,9,2015,PRESERVED_SPECIMEN,BHZB - Herbário do Jardim Botânico da Fundação Zoo-Botânica de Belo Horizonte,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Helanthium,Helanthium bolivianum
1270117445,Brazil,-6.356667,-50.3925,9,2015,PRESERVED_SPECIMEN,BHZB - Herbário do Jardim Botânico da Fundação Zoo-Botânica de Belo Horizonte,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Helanthium,Helanthium bolivianum
1303590546,Brazil,-18.157278,-53.412972,11,2015,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Helanthium,Helanthium bolivianum
1090148296,Brazil,0,0,10,2014,PRESERVED_SPECIMEN,HUFSJ - Herbário da Universidade Federal de São João Del Rei,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Helanthium,Helanthium bolivianum
1095637539,Brazil,-25.596111,-48.390833,10,2014,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Helanthium,Helanthium bolivianum
1853941529,Brazil,-25.596111,-48.390833,10,2014,PRESERVED_SPECIMEN,HUEM - Herbário UEM,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Helanthium,Helanthium bolivianum
1324595555,Brazil,-25.596111,-48.390833,10,2014,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Helanthium,Helanthium bolivianum
1585202673,Brazil,-25.3546,-48.2327,10,2014,PRESERVED_SPECIMEN,EFC - Herbário Escola de Florestas Curitiba,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Helanthium,Helanthium bolivianum
1314815387,Brazil,-6.303056,-50.461389,4,2012,UNKNOWN,,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Helanthium,Helanthium bolivianum
1213669236,Brazil,-17.6873,-50.0803,8,2012,PRESERVED_SPECIMEN,UB - Herbário da Universidade de Brasília,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Helanthium,Helanthium bolivianum
1213667835,Brazil,-17.7189,-50.0937,8,2012,PRESERVED_SPECIMEN,UB - Herbário da Universidade de Brasília,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Helanthium,Helanthium bolivianum
