key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1837438705,Brazil,-9.653056,-40.456389,2,2014,PRESERVED_SPECIMEN,ICN - Herbário do Instituto de Ciências Naturais,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Hydrocleys,Hydrocleys parviflora
1086733330,Brazil,-9.524722,-40.115,2,2014,PRESERVED_SPECIMEN,HTSA - Herbário do Trópico Semiárido,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Hydrocleys,Hydrocleys parviflora
1840940615,Brazil,-9.653056,-40.456389,2,2014,PRESERVED_SPECIMEN,ICN - Herbário do Instituto de Ciências Naturais,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Hydrocleys,Hydrocleys parviflora
1420312722,Brazil,,,2,2014,PRESERVED_SPECIMEN,PEUFR - Herbário Professor Vasconcelos Sobrinho,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Hydrocleys,Hydrocleys parviflora
1086733266,Brazil,-9.653056,-40.456389,2,2014,PRESERVED_SPECIMEN,HTSA - Herbário do Trópico Semiárido,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Hydrocleys,Hydrocleys parviflora
1837438658,Brazil,-9.524722,-40.115,2,2014,PRESERVED_SPECIMEN,ICN - Herbário do Instituto de Ciências Naturais,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Hydrocleys,Hydrocleys parviflora
1086733532,Brazil,-9.453889,-41.006944,2,2014,PRESERVED_SPECIMEN,HTSA - Herbário do Trópico Semiárido,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Hydrocleys,Hydrocleys parviflora
1086733455,Brazil,-9.614722,-40.327778,4,2014,PRESERVED_SPECIMEN,HTSA - Herbário do Trópico Semiárido,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Hydrocleys,Hydrocleys parviflora
1303590326,Brazil,-7.0525,-41.419389,4,2014,PRESERVED_SPECIMEN,HUEM - Herbário UEM,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Hydrocleys,Hydrocleys parviflora
1889171131,Brazil,,,4,2014,PRESERVED_SPECIMEN,PEUFR - Herbário Professor Vasconcelos Sobrinho,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Hydrocleys,Hydrocleys parviflora
1086733493,Brazil,-9.257222,-40.059444,4,2014,PRESERVED_SPECIMEN,HTSA - Herbário do Trópico Semiárido,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Hydrocleys,Hydrocleys parviflora
1086733511,Brazil,-9.453889,-41.006944,5,2014,PRESERVED_SPECIMEN,HTSA - Herbário do Trópico Semiárido,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Hydrocleys,Hydrocleys parviflora
1840940576,Brazil,-9.453889,-41.006944,5,2014,PRESERVED_SPECIMEN,ICN - Herbário do Instituto de Ciências Naturais,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Hydrocleys,Hydrocleys parviflora
1570744382,Brazil,,,6,2014,PRESERVED_SPECIMEN,PEUFR - Herbário Professor Vasconcelos Sobrinho,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Hydrocleys,Hydrocleys parviflora
1086733414,Brazil,-9.337222,-40.656667,6,2014,PRESERVED_SPECIMEN,HTSA - Herbário do Trópico Semiárido,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Hydrocleys,Hydrocleys parviflora
1086733426,Brazil,-9.653056,-40.456389,6,2014,PRESERVED_SPECIMEN,HTSA - Herbário do Trópico Semiárido,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Hydrocleys,Hydrocleys parviflora
1086733645,Brazil,-9.753056,-41.356944,9,2014,PRESERVED_SPECIMEN,HTSA - Herbário do Trópico Semiárido,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Hydrocleys,Hydrocleys parviflora
1077250079,Brazil,-11.981389,-41.258333,7,2013,PRESERVED_SPECIMEN,ALCB - Herbário Alexandre Leal Costa,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Hydrocleys,Hydrocleys parviflora
1094914117,Brazil,-11.981389,-40.130278,7,2013,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Hydrocleys,Hydrocleys parviflora
1094903281,Brazil,-12.765278,-41.314444,4,2012,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Hydrocleys,Hydrocleys parviflora
1087694136,Brazil,-9.4,-37.4139,4,2012,PRESERVED_SPECIMEN,ASE - Herbário da Universidade Federal de Sergipe,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Hydrocleys,Hydrocleys parviflora
1077242302,Brazil,-12.55,-41.383333,4,2012,PRESERVED_SPECIMEN,ALCB - Herbário Alexandre Leal Costa,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Hydrocleys,Hydrocleys parviflora
1702656379,Brazil,-6.683333,-37.169444,3,2011,PRESERVED_SPECIMEN,HURB - Herbário do Recôncavo da Bahia,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Hydrocleys,Hydrocleys parviflora
1264702459,Brazil,-6.683333,-37.169444,3,2011,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Hydrocleys,Hydrocleys parviflora
1423934277,Brazil,-6.683333,-37.169444,3,2011,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Hydrocleys,Hydrocleys parviflora
1423893011,Brazil,-6.683333,-37.169444,3,2011,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Hydrocleys,Hydrocleys parviflora
1090748915,Brazil,-18.482511,-57.019739,6,2011,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Hydrocleys,Hydrocleys parviflora
1089195410,Brazil,-6.402103,-38.087661,8,2011,PRESERVED_SPECIMEN,JPB - Herbário Lauro Pires Xavier,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Hydrocleys,Hydrocleys parviflora
1077609673,Brazil,-10.036111,-37.409722,8,2011,PRESERVED_SPECIMEN,MAC - Herbário do Instituto do Meio Ambiente do Estado de Alagoas,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Hydrocleys,Hydrocleys parviflora
1658213375,Brazil,-6.383056,-36.986667,8,2009,PRESERVED_SPECIMEN,HURB - Herbário do Recôncavo da Bahia,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Hydrocleys,Hydrocleys parviflora
1099323101,Brazil,-6.1,-38.316667,7,2007,PRESERVED_SPECIMEN,MOSS - Herbário Dárdano de Andrade Lima,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Hydrocleys,Hydrocleys parviflora
1090737818,Brazil,-19.436028,-57.079861,7,2007,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Hydrocleys,Hydrocleys parviflora
1077574821,Brazil,-6.590556,-37.267667,5,2006,PRESERVED_SPECIMEN,IPA - Herbário - IPA Dárdano de Andrade Lima,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Hydrocleys,Hydrocleys parviflora
1089246303,Brazil,-6.574889,-37.267667,5,2006,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Hydrocleys,Hydrocleys parviflora
1089175489,Brazil,-6.574889,-37.267667,6,2006,PRESERVED_SPECIMEN,JPB - Herbário Lauro Pires Xavier,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Hydrocleys,Hydrocleys parviflora
1086731382,Brazil,0,0,6,2006,PRESERVED_SPECIMEN,HTSA - Herbário do Trópico Semiárido,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Hydrocleys,Hydrocleys parviflora
1099327942,Brazil,-6.58,-37.196111,7,2006,PRESERVED_SPECIMEN,MOSS - Herbário Dárdano de Andrade Lima,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Hydrocleys,Hydrocleys parviflora
1090958661,Brazil,-6.580111,-37.248806,7,2006,PRESERVED_SPECIMEN,PEUFR - Herbário Professor Vasconcelos Sobrinho,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Hydrocleys,Hydrocleys parviflora
1420314442,Brazil,0,0,2,2005,PRESERVED_SPECIMEN,UFP - Herbário UFP - Geraldo Mariz,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Hydrocleys,Hydrocleys parviflora
1265930331,Brazil,,,2,2005,PRESERVED_SPECIMEN,HST - Herbário Sérgio Tavares,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Hydrocleys,Hydrocleys parviflora
1077363859,Brazil,-9.259167,-36.430833,2,2005,PRESERVED_SPECIMEN,FLOR - Herbário do Departamento de Botânica da Universidade Federal de Santa Catarina,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Hydrocleys,Hydrocleys parviflora
