key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1638347960,Brazil,-6.080278,-37.056944,4,2017,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1671706255,Brazil,-6.080278,-37.056944,4,2017,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1837392267,Brazil,-6.080278,-37.056944,4,2017,PRESERVED_SPECIMEN,HST - Herbário Sérgio Tavares,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1801099526,Brazil,-26.288889,-49.347222,12,2016,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1275065475,Brazil,-29.863114,-50.191136,9,2015,PRESERVED_SPECIMEN,HUCS - Herbário da Universidade de Caxias do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1264701401,Brazil,-29.885056,-50.270472,11,2015,PRESERVED_SPECIMEN,HUCS - Herbário da Universidade de Caxias do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1213674781,Brazil,0,0,4,2014,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1801100732,Brazil,-28.622222,-49.400833,10,2013,PRESERVED_SPECIMEN,FLOR - Herbário do Departamento de Botânica da Universidade Federal de Santa Catarina,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1090696913,Brazil,-23.825417,-46.9455,3,2011,PRESERVED_SPECIMEN,HRCB - Herbário Rioclarense,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1837383170,Brazil,-10.051636,-41.338433,7,2011,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1837383138,Brazil,-9.881281,-41.293122,7,2011,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1658211018,Brazil,,,7,2011,PRESERVED_SPECIMEN,HVASF - Herbário Vale do São Francisco,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1658210969,Brazil,,,7,2011,PRESERVED_SPECIMEN,HVASF - Herbário Vale do São Francisco,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1086678182,Brazil,,,10,2011,PRESERVED_SPECIMEN,UPCB - Herbário do Departamento de Botânica,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1090746802,Brazil,,,10,2011,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1090746814,Brazil,,,10,2011,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1848242984,Brazil,0,0,10,2011,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1094884030,Brazil,-12.248056,-39.811944,6,2010,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1086678199,Brazil,,,2,2009,PRESERVED_SPECIMEN,UPCB - Herbário do Departamento de Botânica,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1095346757,Brazil,-30.180833,-51.386111,8,2009,PRESERVED_SPECIMEN,ICN - Herbário do Instituto de Ciências Naturais,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1094874454,Brazil,-8.881389,-38.923333,10,2009,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1086678163,Brazil,,,11,2009,PRESERVED_SPECIMEN,UPCB - Herbário do Departamento de Botânica,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1890642149,Brazil,,,6,2007,PRESERVED_SPECIMEN,R - Herbário do Museu Nacional,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1094845790,Brazil,-11.186944,-40.557222,10,2007,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1890642143,Brazil,,,9,2006,PRESERVED_SPECIMEN,R - Herbário do Museu Nacional,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1420314475,Brazil,0,0,9,2006,PRESERVED_SPECIMEN,UFP - Herbário UFP - Geraldo Mariz,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1077574509,Brazil,-8.801389,-35.838889,9,2006,PRESERVED_SPECIMEN,IPA - Herbário - IPA Dárdano de Andrade Lima,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1094819706,Brazil,-12.838611,-39.969444,3,2005,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1094819661,Brazil,-12.815833,-40.084167,7,2005,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1094810720,Brazil,-11.471389,-38.788333,7,2004,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1094810725,Brazil,-11.471389,-38.788333,7,2004,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1094810772,Brazil,-11.471389,-38.788333,7,2004,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1094810782,Brazil,-7.254167,-40.851389,8,2004,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1094810754,Brazil,-12.275556,-39.052778,9,2004,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1094810757,Brazil,-12.275556,-39.052778,9,2004,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1094810767,Brazil,-12.275556,-39.052778,9,2004,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1094810790,Brazil,-12.243333,-39.075556,11,2004,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1094810777,Brazil,-12.243333,-39.075556,11,2004,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1094810774,Brazil,-12.243333,-39.075556,11,2004,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1089237507,Brazil,0,0,3,2002,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1890641987,Brazil,,,1,2001,PRESERVED_SPECIMEN,R - Herbário do Museu Nacional,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1086650886,Brazil,,,8,2000,PRESERVED_SPECIMEN,UPCB - Herbário do Departamento de Botânica,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1420319103,Brazil,-21.433333,-56.416667,11,2000,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1077323844,Brazil,-21.433333,-56.416667,11,2000,PRESERVED_SPECIMEN,CPAP - Herbário CPAP,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1077321501,Brazil,-19.45,-57.483333,5,1999,PRESERVED_SPECIMEN,CPAP - Herbário CPAP,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1095365679,Brazil,-29.711667,-50.924722,3,1998,PRESERVED_SPECIMEN,ICN - Herbário do Instituto de Ciências Naturais,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1077319892,Brazil,-19.954444,-56.305278,4,1998,PRESERVED_SPECIMEN,CPAP - Herbário CPAP,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1094748993,Brazil,-12.166667,-39.21,1,1997,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1094748977,Brazil,-12.223333,-39.116389,1,1997,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1094748980,Brazil,-12.193889,-39.151944,1,1997,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1094748967,Brazil,-12.25,-38.966667,1,1997,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1094748999,Brazil,-12.166667,-39.21,2,1997,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1094749004,Brazil,-12.193889,-39.151944,2,1997,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1094748968,Brazil,-12.25,-38.966667,2,1997,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1094749012,Brazil,-12.223333,-39.116389,3,1997,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1094748996,Brazil,-12.25,-38.966667,3,1997,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1094749042,Brazil,-12.166667,-39.21,3,1997,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1094749033,Brazil,-12.25,-38.966667,4,1997,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
1094749046,Brazil,-12.193889,-39.151944,4,1997,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna valdiviana
