key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1303206387,Brazil,-6.4,-39.170556,5,2015,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna minuta
1303206381,Brazil,-6.424722,-39.148056,5,2015,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna minuta
1853942634,Brazil,-19.085472,-57.521056,8,2015,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna minuta
1853942488,Brazil,-19.021139,-57.515139,8,2015,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna minuta
1089260904,Brazil,0,0,5,2014,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna minuta
1234553924,Brazil,-26.937194,-51.262519,6,2014,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna minuta
1658212174,Brazil,,,7,2014,PRESERVED_SPECIMEN,HVASF - Herbário Vale do São Francisco,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna minuta
1095854329,Brazil,-12.438139,-41.015472,12,2014,PRESERVED_SPECIMEN,HUESB - Herbário da Universidade Estadual do Sudoeste da Bahia,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna minuta
1423938404,Brazil,-10.343889,-41.761111,3,2012,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna minuta
1840931995,Brazil,0,0,6,2012,PRESERVED_SPECIMEN,UFP - Herbário UFP - Geraldo Mariz,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna minuta
1077504949,Brazil,0,0,7,2012,PRESERVED_SPECIMEN,HUCS - Herbário da Universidade de Caxias do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna minuta
1087705091,Brazil,-12.515233,-39.186783,8,2012,PRESERVED_SPECIMEN,HURB - Herbário do Recôncavo da Bahia,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna minuta
1089257349,Brazil,-4.290056,-39.8625,5,2011,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna minuta
1890642139,Brazil,,,2,2010,PRESERVED_SPECIMEN,R - Herbário do Museu Nacional,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna minuta
1077360903,Brazil,,,5,2009,PRESERVED_SPECIMEN,FLOR - Herbário do Departamento de Botânica da Universidade Federal de Santa Catarina,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna minuta
1420314660,Brazil,0,0,4,2007,PRESERVED_SPECIMEN,UFP - Herbário UFP - Geraldo Mariz,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna minuta
1890642172,Brazil,,,5,2007,PRESERVED_SPECIMEN,R - Herbário do Museu Nacional,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna minuta
1087640420,Brazil,0,0,11,2007,PRESERVED_SPECIMEN,BHCB - Herbário da Universidade Federal de Minas Gerais,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna minuta
1095242883,Brazil,-28.116944,-50.8525,2,2006,PRESERVED_SPECIMEN,CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna minuta
1090742433,Brazil,,,12,2006,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna minuta
1090742436,Brazil,,,12,2006,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna minuta
1090742425,Brazil,,,12,2006,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna minuta
