key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1853945955,Brazil,-11.671944,-55.713333,1,2015,PRESERVED_SPECIMEN,CNMT - Herbário Centro Norte Mato Grossense,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Montrichardia,Montrichardia arborescens
1853945975,Brazil,-11.539444,-55.3925,1,2015,PRESERVED_SPECIMEN,CNMT - Herbário Centro Norte Mato Grossense,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Montrichardia,Montrichardia arborescens
1424730450,Brazil,-2.504444,-54.946111,5,2015,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Montrichardia,Montrichardia arborescens
1089260970,Brazil,0,0,4,2014,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Montrichardia,Montrichardia arborescens
1424490703,Brazil,-2.338611,-57.585555,5,2014,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Montrichardia,Montrichardia arborescens
1585336341,Brazil,,,10,2014,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Montrichardia,Montrichardia arborescens
1848245325,Brazil,-11.0625,-55.280278,10,2014,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Montrichardia,Montrichardia arborescens
1848245585,Brazil,-11.091389,-55.3075,10,2014,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Montrichardia,Montrichardia arborescens
1423937335,Brazil,,,10,2014,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Montrichardia,Montrichardia arborescens
1090155337,Brazil,-0.728889,-47.848056,7,2013,PRESERVED_SPECIMEN,MFS - Herbário Profª. Drª. Marlene Freitas da Silva,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Montrichardia,Montrichardia arborescens
1089259349,Brazil,0,0,10,2013,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Montrichardia,Montrichardia arborescens
1424432294,Brazil,0.801389,-61.660278,3,2012,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Montrichardia,Montrichardia arborescens
1265933531,Brazil,,,8,2012,PRESERVED_SPECIMEN,TEPB - Herbário Graziela Barroso,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Montrichardia,Montrichardia arborescens
1455403193,Brazil,,,11,2012,PRESERVED_SPECIMEN,SLUI - Herbário Rosa Mochel,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Montrichardia,Montrichardia arborescens
1042687342,Brazil,-10.109525,-57,3,2011,PRESERVED_SPECIMEN,"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Montrichardia,Montrichardia arborescens
1042690790,Brazil,-0.335208,-61.48,7,2011,PRESERVED_SPECIMEN,"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Montrichardia,Montrichardia arborescens
