key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1831169537,Brazil,-2.47883,-54.637268,2,2018,HUMAN_OBSERVATION,iNaturalist research-grade observations,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Pistia,Pistia stratiotes
1829085096,Brazil,-3.750278,-39.773056,5,2017,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Pistia,Pistia stratiotes
1829085018,Brazil,-3.751111,-39.982222,5,2017,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Pistia,Pistia stratiotes
1829085305,Brazil,-4.625833,-39.389167,6,2017,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Pistia,Pistia stratiotes
1829085214,Brazil,-4.334167,-39.2875,6,2017,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Pistia,Pistia stratiotes
1829085069,Brazil,-3.494444,-39.506667,7,2017,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Pistia,Pistia stratiotes
1829085039,Brazil,-3.722778,-39.370556,7,2017,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Pistia,Pistia stratiotes
1802726156,Brazil,-20.081378,-56.614897,9,2017,HUMAN_OBSERVATION,iNaturalist research-grade observations,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Pistia,Pistia stratiotes
1837388020,Brazil,-27,-48,1,2016,PRESERVED_SPECIMEN,"EAFM - Herbário do Instituto Federal de Educação, Ciência e Tecnologia do Amazonas",Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Pistia,Pistia stratiotes
1585201679,Brazil,-25.507,-49.2129,1,2016,PRESERVED_SPECIMEN,EFC - Herbário Escola de Florestas Curitiba,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Pistia,Pistia stratiotes
1265936426,Brazil,-12.366667,-39.194722,3,2016,PRESERVED_SPECIMEN,ALCB - Herbário Alexandre Leal Costa,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Pistia,Pistia stratiotes
1275065677,Brazil,,,3,2016,PRESERVED_SPECIMEN,SLUI - Herbário Rosa Mochel,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Pistia,Pistia stratiotes
1270106602,Brazil,-11.843056,-37.665556,4,2016,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Pistia,Pistia stratiotes
1303206395,Brazil,-3.642778,-40.297222,5,2016,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Pistia,Pistia stratiotes
1829085112,Brazil,-3.684722,-39.252222,6,2016,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Pistia,Pistia stratiotes
1829085019,Brazil,-3.025556,-39.871667,6,2016,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Pistia,Pistia stratiotes
