key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1913566442,Brazil,-17.826669,-41.47475,2,2018,PRESERVED_SPECIMEN,HDJF - Herbário Dendrológico Jeanine Felfili,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Luffa,Luffa operculata
1913577837,Brazil,-4.159222,-38.690444,5,2017,PRESERVED_SPECIMEN,EAC - Herbário Prisco Bezerra,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Luffa,Luffa operculata
1275065911,Brazil,,,4,2016,PRESERVED_SPECIMEN,TEPB - Herbário Graziela Barroso,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Luffa,Luffa operculata
1424507946,Brazil,,,3,2015,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Luffa,Luffa operculata
1424508915,Brazil,,,5,2015,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Luffa,Luffa operculata
1252590605,Brazil,-6.373889,-38.332778,6,2014,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Luffa,Luffa operculata
1423934869,Brazil,-6.373889,-38.332778,6,2014,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Luffa,Luffa operculata
1090915598,Brazil,-6.714411,-38.913683,7,2013,PRESERVED_SPECIMEN,HVASF - Herbário Vale do São Francisco,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Luffa,Luffa operculata
1090154917,Brazil,-0.668956,-48.484525,11,2013,PRESERVED_SPECIMEN,MFS - Herbário Profª. Drª. Marlene Freitas da Silva,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Luffa,Luffa operculata
1090911684,Brazil,-7.102667,-38.629194,8,2012,PRESERVED_SPECIMEN,HVASF - Herbário Vale do São Francisco,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Luffa,Luffa operculata
