key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1901018958,Brazil,-9.643056,-41.346389,3,2016,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,Ipomoea setifera
1840924496,Brazil,-20.495306,-54.294944,3,2016,PRESERVED_SPECIMEN,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,Ipomoea setifera
1853945928,Brazil,-11.722778,-55.728611,6,2016,PRESERVED_SPECIMEN,CNMT - Herbário Centro Norte Mato Grossense,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,Ipomoea setifera
1889177158,Brazil,-9.231667,-57.013333,6,2016,PRESERVED_SPECIMEN,HERBAM - Herbário da Amazônia Meridional,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,Ipomoea setifera
1426660767,Brazil,-1.489894,-48.463047,8,2016,PRESERVED_SPECIMEN,MFS - Herbário Profª. Drª. Marlene Freitas da Silva,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,Ipomoea setifera
1423925197,Brazil,-3.423889,-51.964722,7,2015,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,Ipomoea setifera
1423903278,Brazil,-3.416389,-51.926944,9,2015,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,Ipomoea setifera
1423903289,Brazil,-3.359167,-52.025,9,2015,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,Ipomoea setifera
1423903313,Brazil,-3.371667,-51.981944,9,2015,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,Ipomoea setifera
1135828349,Brazil,-1.312122,-51.515008,11,2015,PRESERVED_SPECIMEN,MFS - Herbário Profª. Drª. Marlene Freitas da Silva,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,Ipomoea setifera
1314910656,Brazil,,,9,2014,UNKNOWN,,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,Ipomoea setifera
1090151657,Brazil,-1.52225,-48.613836,2,2012,PRESERVED_SPECIMEN,MFS - Herbário Profª. Drª. Marlene Freitas da Silva,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,Ipomoea setifera
1090151811,Brazil,-1.625278,-48.954194,5,2012,PRESERVED_SPECIMEN,MFS - Herbário Profª. Drª. Marlene Freitas da Silva,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,Ipomoea setifera
1314910310,Brazil,,,6,2012,UNKNOWN,,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,Ipomoea setifera
1090891074,Brazil,-2.465722,-44.196833,7,2012,PRESERVED_SPECIMEN,MAR - Herbário do Maranhão,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,Ipomoea setifera
